nearest_10,distance_nat,distance_past,distance_plant,closest_type,freq_category,dist_road_cat
0,31944.5412395949,37916.4870390285,121330.623619911,Natural_Regeneration,0-1 kHz,Low
10,39786.9694014688,42481.0697538719,123414.20887383,Natural_Regeneration,0-1 kHz,Low
20,27403.3765207377,34930.9938889531,132789.250403736,Natural_Regeneration,0-1 kHz,Low
30,22513.6665587316,35953.1863913148,126309.130937761,Natural_Regeneration,0-1 kHz,Low
40,21650.4679159669,19949.1191946536,143284.143793349,Pasture,0-1 kHz,Low
50,14619.0811629802,25816.2279429843,145210.749582763,Natural_Regeneration,0-1 kHz,Low
60,15685.9593968064,35348.0380596375,140356.61023685,Natural_Regeneration,0-1 kHz,Low
70,16036.8599016424,24127.9250500729,127646.609696068,Natural_Regeneration,0-1 kHz,Low
80,19075.9778035981,28805.193200054,120716.969224057,Natural_Regeneration,0-1 kHz,Low
90,27017.6959735094,39721.1818032516,145584.746252282,Natural_Regeneration,0-1 kHz,Low
100,24493.0944990168,64595.2147103421,165154.594118512,Natural_Regeneration,0-1 kHz,Low
110,31631.2513649298,68944.5060069057,176126.274446821,Natural_Regeneration,0-1 kHz,Low
120,27047.5834010329,41360.0558740459,158378.198593448,Natural_Regeneration,0-1 kHz,Low
130,30197.3950099811,37899.5331686702,143264.753822324,Natural_Regeneration,0-1 kHz,Low
140,33865.9370922656,23043.3523747254,166333.368689231,Pasture,0-1 kHz,Low
150,40367.8353184932,45325.6910421736,134315.400983825,Natural_Regeneration,0-1 kHz,Low
160,44924.2061681621,36997.0979217713,130202.808362305,Pasture,0-1 kHz,Low
170,40750.3657594366,34013.9988967183,137585.930032308,Pasture,0-1 kHz,Low
180,46900.1630504309,42732.8629721692,139102.837049255,Pasture,0-1 kHz,Low
190,29196.1587408908,34153.5637682113,142071.840730736,Natural_Regeneration,0-1 kHz,Low
200,46121.1395195948,37345.2699334907,137413.275368502,Pasture,0-1 kHz,Low
210,55448.8024435808,39749.7520488607,117171.776030395,Pasture,0-1 kHz,Low
220,61942.9103173596,55756.9313013122,123611.931081688,Pasture,0-1 kHz,Low
230,59504.598614118,51890.0026710211,122659.95216409,Pasture,0-1 kHz,Low
240,66772.9317620793,63886.6355754277,112336.732207191,Pasture,0-1 kHz,Low
250,58601.9396127869,59664.1819506991,114579.698170602,Natural_Regeneration,0-1 kHz,Low
260,52456.0263426172,54498.9769231334,100272.940594933,Natural_Regeneration,0-1 kHz,Low
270,55156.2219937372,39460.6062390233,100514.105380955,Pasture,0-1 kHz,Low
280,48113.8716604719,48468.6367949927,99201.7896250499,Natural_Regeneration,0-1 kHz,Low
290,111768.51923946,74745.874464302,75583.2371051391,Pasture,0-1 kHz,Low
300,196128.731665117,102086.619384833,135754.736343349,Pasture,0-1 kHz,Low
310,164940.418627137,104128.949594812,103105.324117766,Plantation,0-1 kHz,Low
320,144258.927885989,95965.0243211125,63305.8999906258,Plantation,0-1 kHz,Low
330,90175.7546241073,94285.9760682351,44549.840691552,Plantation,0-1 kHz,Low
340,45056.9885721607,57625.5859373042,31526.6203584977,Plantation,0-1 kHz,Low
350,61544.1233425734,51225.5508760883,32478.4035200283,Plantation,0-1 kHz,Low
360,46817.8466780024,42582.3905958188,45729.1045190747,Pasture,0-1 kHz,Low
370,38781.5041195787,33010.0648028755,30751.4693112809,Plantation,0-1 kHz,Low
380,34140.5092414765,34675.9217739417,40004.9631018064,Natural_Regeneration,0-1 kHz,Low
390,17266.2256292056,50978.3910771903,34066.206373507,Natural_Regeneration,0-1 kHz,Low
400,21427.8126352797,62902.1040833401,41411.4548708189,Natural_Regeneration,0-1 kHz,Low
410,32822.5560782539,25299.4309670723,36508.4410119447,Pasture,0-1 kHz,Low
420,39093.1424965539,60820.9022793476,22254.2831220253,Plantation,0-1 kHz,Low
430,44151.4474454149,55606.4269513645,32015.6476222898,Plantation,0-1 kHz,Low
440,36465.0751945317,62830.4770087931,35282.5841073283,Plantation,0-1 kHz,Low
450,39202.2393158769,40645.7917688744,32609.9044258301,Plantation,0-1 kHz,Low
460,32324.5055799195,56139.5367545927,37988.194822442,Natural_Regeneration,0-1 kHz,Low
470,32198.5821674984,48617.0504631541,31809.8597075257,Plantation,0-1 kHz,Low
