nearest_10,distance_nat,distance_past,distance_plant,closest_type,freq_category,slope_cat
0,72319.6075246426,53903.1944351582,37556.9025331253,Plantation,0-1 kHz,Low
10,92215.0459953168,55384.8718345825,46645.6592089173,Plantation,0-1 kHz,Low
20,70167.979633144,48977.1249527403,59285.1518479723,Pasture,0-1 kHz,Low
30,64068.6489139323,58219.0896873094,38918.6081325984,Plantation,0-1 kHz,Low
40,49149.4244341968,48206.1086989645,33602.4896394863,Plantation,0-1 kHz,Low
50,42182.6541086477,53378.9085379029,50727.8919464667,Natural_Regeneration,0-1 kHz,Low
60,42378.153490072,34954.2673261213,55692.017436657,Pasture,0-1 kHz,Low
70,50722.0874764493,48192.4494845644,37024.4656108144,Plantation,0-1 kHz,Low
80,40985.8315486018,32018.6874231362,49164.7612960854,Pasture,0-1 kHz,Low
90,37586.9993525167,21427.9184201657,76583.7864156691,Pasture,0-1 kHz,Low
100,45170.089947507,31847.3902383815,85689.9432033091,Pasture,0-1 kHz,Low
110,58094.2143291074,40905.8238646185,96744.6276523404,Pasture,0-1 kHz,Low
120,77335.6796761686,67248.1980810499,70055.0458465484,Pasture,0-1 kHz,Low
130,57589.824210394,54129.7280110185,57067.0903942973,Pasture,0-1 kHz,Low
140,31098.0197883463,36330.866531263,83639.5257077795,Natural_Regeneration,0-1 kHz,Low
150,57336.5435168359,49944.0764624717,49246.522896291,Plantation,0-1 kHz,Low
160,63772.4616686762,51116.2891596633,48153.7773964357,Plantation,0-1 kHz,Low
170,67708.6656387476,41410.2604527042,47724.3490635054,Pasture,0-1 kHz,Low
180,103663.267980792,95236.0948550053,47464.6196953874,Plantation,0-1 kHz,Low
190,62326.4319526781,54057.2013364215,44678.8770318314,Plantation,0-1 kHz,Low
200,60295.0782861618,70469.1391620342,33806.3909991834,Plantation,0-1 kHz,Low
210,46604.5780639987,50760.1469524859,27420.2590584185,Plantation,0-1 kHz,Low
220,78581.3832229735,72248.5656621527,31901.3968947599,Plantation,0-1 kHz,Low
230,138567.336858389,114402.664235689,68557.6137853157,Plantation,0-1 kHz,Low
240,103256.971453307,102788.589373071,65244.8608516141,Plantation,0-1 kHz,Low
250,117848.771472503,104009.569168567,71455.7068345486,Plantation,0-1 kHz,Low
260,147152.506663113,150339.704319888,107267.929002354,Plantation,0-1 kHz,Low
270,55001.7657755649,87844.7526093572,74392.6252990531,Natural_Regeneration,0-1 kHz,Low
280,57773.197088813,65318.2176029156,67206.1186677254,Natural_Regeneration,0-1 kHz,Low
290,130316.519048431,143282.014691053,159964.295343531,Natural_Regeneration,0-1 kHz,Low
300,174635.860477077,158978.172286186,182465.010177706,Pasture,0-1 kHz,Low
310,106615.649720428,70765.7187637281,94111.2613192322,Pasture,0-1 kHz,Low
320,128532.261002931,54523.1185306094,65307.5180568463,Pasture,0-1 kHz,Low
330,80412.6544444956,106994.789235733,83149.886578141,Natural_Regeneration,0-1 kHz,Low
340,70325.9245959416,74545.9624709974,56522.3048804403,Plantation,0-1 kHz,Low
350,63103.2688476038,90623.7265724469,40350.0393205657,Plantation,0-1 kHz,Low
360,45940.8403418992,53569.2151045845,32419.2509000213,Plantation,0-1 kHz,Low
370,51362.3580526659,54785.3767492876,35395.01840297,Plantation,0-1 kHz,Low
380,60190.3824794469,92234.950666853,60959.2073890723,Natural_Regeneration,0-1 kHz,Low
390,75155.16002353,100506.041289238,72242.6865639265,Plantation,0-1 kHz,Low
400,70890.7328489976,108700.195553599,81036.5468080281,Natural_Regeneration,0-1 kHz,Low
410,67041.1574848819,91136.6875435794,79037.945160993,Natural_Regeneration,0-1 kHz,Low
420,38358.1530704819,78210.9640001149,88603.5194904654,Natural_Regeneration,0-1 kHz,Low
430,76380.6901899936,67956.2131806339,83706.6615754626,Pasture,0-1 kHz,Low
440,91842.7955076611,78547.1144309705,87426.7115865517,Pasture,0-1 kHz,Low
450,112438.616064997,83623.795982807,110339.302794964,Pasture,0-1 kHz,Low
460,104365.402130671,70291.4407292153,96921.0927188854,Pasture,0-1 kHz,Low
470,97993.98123894,71531.9043002494,98469.8971195368,Pasture,0-1 kHz,Low
480,94353.9902540067,68104.5185890689,110439.242949875,Pasture,0-1 kHz,Low
490,64583.1999456676,51775.206587557,71682.9339728245,Pasture,0-1 kHz,Low
500,76442.0598396387,38236.422115014,75318.7001314223,Pasture,0-1 kHz,Low
510,86280.2344645202,38804.9185706048,74658.3862865487,Pasture,0-1 kHz,Low
520,129911.738992445,31108.1989041338,104432.88460309,Pasture,0-1 kHz,Low
530,109655.460041018,36669.5058936909,88202.6038701024,Pasture,0-1 kHz,Low
540,76321.2238283788,54772.775985239,53201.3789851118,Plantation,0-1 kHz,Low
550,84080.9923735572,58487.3837730861,62199.2170313897,Pasture,0-1 kHz,Low
560,50298.5450064939,60818.3705437396,54842.8100777431,Natural_Regeneration,0-1 kHz,Low
570,50112.9270238208,91570.5472579246,52974.2063507562,Natural_Regeneration,0-1 kHz,Low
580,87445.4267433195,54788.6494706648,95128.2810300463,Pasture,0-1 kHz,Low
590,57153.1829906448,57327.4203159499,93207.270187153,Natural_Regeneration,0-1 kHz,Low
600,70016.9632928918,75651.2695706535,96581.9426456353,Natural_Regeneration,0-1 kHz,Low
610,100405.505838495,71583.3398825014,84769.050419088,Pasture,0-1 kHz,Low
620,82868.4426132946,99331.1540434012,93515.2835278334,Natural_Regeneration,0-1 kHz,Low
630,87192.8061791203,114766.263662337,117069.348049264,Natural_Regeneration,0-1 kHz,Low
640,55022.115311522,146491.728610042,63524.849819059,Natural_Regeneration,0-1 kHz,Low
650,43540.9024258007,148498.022185912,37352.4960224896,Plantation,0-1 kHz,Low
660,37861.0554832396,139668.80434127,48899.383644692,Natural_Regeneration,0-1 kHz,Low
670,57902.5554219061,126860.761311811,69277.2556663679,Natural_Regeneration,0-1 kHz,Low
680,58320.9727771765,150771.276930781,63631.0162016088,Natural_Regeneration,0-1 kHz,Low
690,44635.1200878181,185144.144061458,37788.6499438719,Plantation,0-1 kHz,Low
700,57003.7470957019,127673.183981651,66367.1740358914,Natural_Regeneration,0-1 kHz,Low
710,78286.7064482033,156233.91159652,62898.7015189654,Plantation,0-1 kHz,Low
720,65138.05716703,110818.101588679,67787.4580482274,Natural_Regeneration,0-1 kHz,Low
730,56090.9280140584,133608.226597804,55527.5302265029,Plantation,0-1 kHz,Low
740,64971.7800273603,130661.029429469,32260.9731537735,Plantation,0-1 kHz,Low
750,43488.5531382322,124539.427578153,37861.2763343193,Plantation,0-1 kHz,Low
760,98559.919143739,125914.510698787,81231.1974754765,Plantation,0-1 kHz,Low
770,40699.2073074462,191845.223557089,31705.3457984766,Plantation,0-1 kHz,Low
780,42113.5034908793,150657.577523357,27288.3709723646,Plantation,0-1 kHz,Low
790,30434.4452077334,178502.048667949,42360.7810255611,Natural_Regeneration,0-1 kHz,Low
800,41708.1424208902,190926.306942172,36188.193635765,Plantation,0-1 kHz,Low
810,39742.7967330957,145534.065478398,35515.4063625068,Plantation,0-1 kHz,Low
820,45341.0609025906,133062.536802672,20493.6665608699,Plantation,0-1 kHz,Low
830,71967.8003834116,115242.022574285,35130.851024613,Plantation,0-1 kHz,Low
840,46072.3564242631,148153.559405633,34982.4192741523,Plantation,0-1 kHz,Low
850,29205.139856364,188395.214126371,35420.0190435578,Natural_Regeneration,0-1 kHz,Low
860,31178.9757706781,168065.249036465,28641.851006745,Plantation,0-1 kHz,Low
870,33015.5081379379,150883.837067153,35169.5416321662,Natural_Regeneration,0-1 kHz,Low
880,40653.2802351362,149748.922947392,44075.3809401813,Natural_Regeneration,0-1 kHz,Low
890,54335.6971742285,112036.541530937,44615.7533032826,Plantation,0-1 kHz,Low
900,54866.9834323278,96157.4482005309,50048.0049724387,Plantation,0-1 kHz,Low
910,59463.4766819361,115377.199739347,63040.6014647856,Natural_Regeneration,0-1 kHz,Low
920,69687.1941461369,112001.130704861,54129.7994992721,Plantation,0-1 kHz,Low
930,81614.004007784,123902.121922447,59802.9631552176,Plantation,0-1 kHz,Low
940,41930.9173041621,157809.772705732,56349.6688845496,Natural_Regeneration,0-1 kHz,Low
950,39618.8818831393,161056.057509807,53631.6676119794,Natural_Regeneration,0-1 kHz,Low
960,31874.080164539,127423.489127596,52547.1212116742,Natural_Regeneration,0-1 kHz,Low
970,33766.5501670556,147676.198112865,41051.942929318,Natural_Regeneration,0-1 kHz,Low
980,50796.4455193551,114278.655919499,57230.3136893828,Natural_Regeneration,0-1 kHz,Low
990,97019.374741827,85134.0708929339,72932.2299178651,Plantation,0-1 kHz,Low
1000,49201.818250818,96147.9168451709,45492.8481265178,Plantation,0-1 kHz,Low
1010,51366.3325363229,111883.513695312,36861.3448371289,Plantation,0-1 kHz,Low
1020,51134.8288254436,104939.116745202,30005.3085702618,Plantation,0-1 kHz,Low
1030,67078.92989381,94237.6629150962,41761.960250777,Plantation,0-1 kHz,Low
1040,56297.7249281624,94129.5275384782,47843.0518375411,Plantation,0-1 kHz,Low
1050,66886.9303601197,121921.843004289,58940.636797878,Plantation,0-1 kHz,Low
1060,43839.9553412292,77831.3361053213,47320.7789646702,Natural_Regeneration,0-1 kHz,Low
1070,31745.5731903258,59034.1379156219,41417.750783967,Natural_Regeneration,0-1 kHz,Low
1080,47442.8973464661,46928.4000193921,58875.5487244317,Pasture,0-1 kHz,Low
1090,41004.4678534054,42473.4084088205,56817.0857364457,Natural_Regeneration,0-1 kHz,Low
1100,75933.3234386081,59625.6467462077,66868.2728798577,Pasture,0-1 kHz,Low
1110,47102.5977315296,102878.40110046,67529.5299797122,Natural_Regeneration,0-1 kHz,Low
1120,38946.8864441435,102153.911127142,72213.7884871146,Natural_Regeneration,0-1 kHz,Low
1130,47031.6836600194,96488.0592644648,69071.8106639907,Natural_Regeneration,0-1 kHz,Low
1140,57441.2034674741,89407.3987237235,60042.8781546153,Natural_Regeneration,0-1 kHz,Low
1150,37098.6345842556,81473.9901989734,56267.0306953948,Natural_Regeneration,0-1 kHz,Low
1160,31585.1993271697,91904.3985014782,58504.475182403,Natural_Regeneration,0-1 kHz,Low
1170,49096.5055609567,70119.5021614272,60229.080267005,Natural_Regeneration,0-1 kHz,Low
1180,42895.7543176324,96515.3959762583,61853.2419660728,Natural_Regeneration,0-1 kHz,Low
1190,63107.3094545696,100066.230844325,82194.0042160773,Natural_Regeneration,0-1 kHz,Low
1200,57238.6685725016,79281.945991005,76118.5601017025,Natural_Regeneration,0-1 kHz,Low
1210,53628.110732534,77455.9388552386,83425.8084988446,Natural_Regeneration,0-1 kHz,Low
1220,65223.0247977188,67855.8791071113,86043.2058472725,Natural_Regeneration,0-1 kHz,Low
1230,54325.2271554667,78327.6851065182,87203.2908557622,Natural_Regeneration,0-1 kHz,Low
1240,42985.7832373858,63442.9615067332,68599.1272746263,Natural_Regeneration,0-1 kHz,Low
1250,30670.1386459903,67024.9263546122,65680.3922231008,Natural_Regeneration,0-1 kHz,Low
1260,23776.2948362023,51665.4235529824,57609.9514518108,Natural_Regeneration,0-1 kHz,Low
1270,40629.9767978998,46961.2783065976,73304.4664537202,Natural_Regeneration,0-1 kHz,Low
1280,26882.4532155283,50349.9455523709,52733.4401165087,Natural_Regeneration,0-1 kHz,Low
1290,52468.6091018951,49931.6940068661,41780.9617478725,Plantation,0-1 kHz,Low
1300,32456.0219257732,60709.2515668577,41183.2982906397,Natural_Regeneration,0-1 kHz,Low
1310,39522.997986854,73933.4233357806,45775.5832034173,Natural_Regeneration,0-1 kHz,Low
1320,49734.9063457618,78295.7367316435,49110.1021950555,Plantation,0-1 kHz,Low
1330,34853.2666331648,60951.4674790975,46040.4357805164,Natural_Regeneration,0-1 kHz,Low
1340,29675.132808695,49125.7616792909,36676.1836683748,Natural_Regeneration,0-1 kHz,Low
1350,49346.3569331613,49387.0421954237,48129.6708935271,Plantation,0-1 kHz,Low
1360,37363.5847308956,58163.9181055536,35815.2647955999,Plantation,0-1 kHz,Low
1370,58382.9722871423,23527.7557728949,42542.876808449,Pasture,0-1 kHz,Low
1380,37919.410071825,19971.7062126093,38136.8471011085,Pasture,0-1 kHz,Low
1390,43655.51495106,31354.3118835693,30670.1789973605,Plantation,0-1 kHz,Low
1400,69367.060505866,34841.3238586824,43596.516278924,Pasture,0-1 kHz,Low
1410,72807.6135202166,53095.9780128731,38282.6254042288,Plantation,0-1 kHz,Low
1420,57261.7068988607,41554.6856424199,50864.9826919788,Pasture,0-1 kHz,Low
1430,45577.7070161707,30387.4341517694,48423.0476284612,Pasture,0-1 kHz,Low
1440,71581.3637434287,41797.3792663014,49241.6497024106,Pasture,0-1 kHz,Low
0,69863.0592458205,168041.185266075,44973.3801323183,Plantation,1-2 kHz,Low
10,94011.0201589959,154365.385682307,54417.3025562054,Plantation,1-2 kHz,Low
20,86322.1368565519,130038.310466379,45650.5063498221,Plantation,1-2 kHz,Low
30,70060.5936426728,139934.031362252,46356.6022700629,Plantation,1-2 kHz,Low
40,54233.5380434181,147516.938560926,32496.1547368548,Plantation,1-2 kHz,Low
50,65874.1321345362,141406.841210808,42090.4336095059,Plantation,1-2 kHz,Low
60,50590.5806757206,148930.650821233,27920.8582559029,Plantation,1-2 kHz,Low
