nearest_10,distance_nat,distance_ref,distance_plant,closest_type,freq_category,slope_cat
0,40075.8766868735,37916.4870390285,150322.764083725,Reference_Forest,0-1 kHz,Low
10,27587.7631830987,42481.0697538719,152936.636658703,Natural_Regeneration,0-1 kHz,Low
20,21145.9653425118,34930.9938889531,148148.256849191,Natural_Regeneration,0-1 kHz,Low
30,30064.0918395885,35953.1863913148,140882.273124115,Natural_Regeneration,0-1 kHz,Low
40,19125.7520946819,19949.1191946536,137335.502615825,Natural_Regeneration,0-1 kHz,Low
50,35981.7590780098,25816.2279429843,164819.675778119,Reference_Forest,0-1 kHz,Low
60,26998.6009382543,35348.0380596375,124249.996605068,Natural_Regeneration,0-1 kHz,Low
70,30101.6315950829,24127.9250500729,112409.397726511,Reference_Forest,0-1 kHz,Low
80,25946.1213600341,28805.193200054,107288.140049302,Natural_Regeneration,0-1 kHz,Low
90,39620.2850662902,39721.1818032516,107919.983222334,Natural_Regeneration,0-1 kHz,Low
100,44032.180985358,64595.2147103421,102892.511767872,Natural_Regeneration,0-1 kHz,Low
110,71368.0507116926,68944.5060069057,111453.339449922,Reference_Forest,0-1 kHz,Low
120,35659.9878424189,41360.0558740459,129195.166850202,Natural_Regeneration,0-1 kHz,Low
130,26550.5580820066,37899.5331686702,166764.993845638,Natural_Regeneration,0-1 kHz,Low
140,42162.7565349972,23043.3523747254,176118.982467998,Reference_Forest,0-1 kHz,Low
150,55839.0637999411,45325.6910421736,173662.210084909,Reference_Forest,0-1 kHz,Low
160,31223.3559032759,36997.0979217713,148000.289723271,Natural_Regeneration,0-1 kHz,Low
170,31842.504387242,34013.9988967183,145217.764978176,Natural_Regeneration,0-1 kHz,Low
180,37044.4198822778,42732.8629721692,137242.114317111,Natural_Regeneration,0-1 kHz,Low
190,32307.839857168,34153.5637682113,144959.096691595,Natural_Regeneration,0-1 kHz,Low
200,43285.1455107407,37345.2699334907,120984.369448048,Reference_Forest,0-1 kHz,Low
210,57955.0211282999,39749.7520488607,106847.152685238,Reference_Forest,0-1 kHz,Low
220,62204.4580830518,55756.9313013122,117465.652359299,Reference_Forest,0-1 kHz,Low
230,59340.2438523857,51890.0026710211,145396.662133968,Reference_Forest,0-1 kHz,Low
240,55310.5562922807,63886.6355754277,134947.719948085,Natural_Regeneration,0-1 kHz,Low
250,51327.8638067568,59664.1819506991,130747.27544051,Natural_Regeneration,0-1 kHz,Low
260,55266.2836132936,54498.9769231334,115566.051616072,Reference_Forest,0-1 kHz,Low
270,76639.1697459159,39460.6062390233,121270.655116816,Reference_Forest,0-1 kHz,Low
280,39741.7705467989,48468.6367949927,92024.2583131691,Natural_Regeneration,0-1 kHz,Low
290,92815.4968335984,74745.874464302,56264.1648326424,Plantation,0-1 kHz,Low
300,99737.2709578798,102086.619384833,49461.178792005,Plantation,0-1 kHz,Low
310,176245.366921588,104128.949594812,70377.8057854739,Plantation,0-1 kHz,Low
320,83346.4048609521,95965.0243211125,50867.4450208389,Plantation,0-1 kHz,Low
330,141602.147615632,94285.9760682351,89554.2611401646,Plantation,0-1 kHz,Low
340,66735.9159090068,57625.5859373042,58613.448376936,Reference_Forest,0-1 kHz,Low
350,43346.6771737252,51225.5508760883,68116.4878760245,Natural_Regeneration,0-1 kHz,Low
360,65856.4418614055,42582.3905958188,85500.900880156,Reference_Forest,0-1 kHz,Low
370,62188.1562956262,33010.0648028755,58915.7451800155,Reference_Forest,0-1 kHz,Low
380,41652.8018131262,34675.9217739417,39633.820460253,Reference_Forest,0-1 kHz,Low
390,49416.6826816662,50978.3910771903,26091.8685198232,Plantation,0-1 kHz,Low
400,52961.0858881495,62902.1040833401,33681.0594824149,Plantation,0-1 kHz,Low
410,25185.1970479315,25299.4309670723,35286.1823124202,Natural_Regeneration,0-1 kHz,Low
420,53902.6689382918,60820.9022793476,54507.063820279,Natural_Regeneration,0-1 kHz,Low
430,41507.7980940832,55606.4269513645,51456.1031344832,Natural_Regeneration,0-1 kHz,Low
440,39016.530493531,62830.4770087931,34532.9706711114,Plantation,0-1 kHz,Low
450,45194.3316478346,40645.7917688744,38289.2295391935,Plantation,0-1 kHz,Low
460,78544.3529833999,56139.5367545927,87366.3158532277,Reference_Forest,0-1 kHz,Low
470,65126.3451889885,48617.0504631541,67902.1240351175,Reference_Forest,0-1 kHz,Low
480,119906.287408233,88452.9909573936,132196.237702385,Reference_Forest,0-1 kHz,Low
490,123496.816522939,107021.889273248,120847.78866237,Reference_Forest,0-1 kHz,Low
500,136074.045673192,121770.741316189,119192.671501731,Plantation,0-1 kHz,Low
510,153908.293622875,137829.181759161,133772.628424591,Plantation,0-1 kHz,Low
520,141489.718088925,132405.23078309,104352.794099927,Plantation,0-1 kHz,Low
530,140971.747900988,117250.040113062,124283.925364363,Reference_Forest,0-1 kHz,Low
540,134763.117426974,125815.617711419,122795.483731431,Plantation,0-1 kHz,Low
550,219740.046104405,219727.975741981,211484.112032581,Plantation,0-1 kHz,Low
560,226631.368745238,221464.814127955,242119.28102973,Reference_Forest,0-1 kHz,Low
570,217266.235052237,171380.322639005,214289.390512147,Reference_Forest,0-1 kHz,Low
580,180815.500472514,153705.046758893,207441.945140371,Reference_Forest,0-1 kHz,Low
590,186458.350648063,172420.634533467,187028.711251031,Reference_Forest,0-1 kHz,Low
600,227863.152350223,218729.156121711,222754.793844184,Reference_Forest,0-1 kHz,Low
610,207897.37337944,189801.653519071,161548.797265152,Plantation,0-1 kHz,Low
620,225520.621846551,218337.095450551,214925.889255472,Plantation,0-1 kHz,Low
630,200807.504530639,204988.963182515,208112.009319405,Natural_Regeneration,0-1 kHz,Low
640,247500.755566091,265611.521183264,219853.698221908,Plantation,0-1 kHz,Low
650,247854.524083904,283337.982462909,270648.718341962,Natural_Regeneration,0-1 kHz,Low
660,263364.74854218,290992.555770263,283795.684132029,Natural_Regeneration,0-1 kHz,Low
670,245690.897518931,277793.253314105,284493.038397151,Natural_Regeneration,0-1 kHz,Low
680,240306.322345859,237060.550813461,244777.748192966,Reference_Forest,0-1 kHz,Low
690,284757.720528959,277740.697010985,283929.791710414,Reference_Forest,0-1 kHz,Low
700,258306.833914463,242449.276574616,252473.863733279,Reference_Forest,0-1 kHz,Low
710,282454.891993052,278703.018874348,263906.619361993,Plantation,0-1 kHz,Low
720,194670.408768106,196134.417026368,170379.494535189,Plantation,0-1 kHz,Low
