nearest_10,distance_nat,distance_ref,distance_plant,closest_type,freq_category,slope_cat
0,36427.864957884,53903.1944351582,82726.2686232886,Natural_Regeneration,0-1 kHz,Low
10,40422.011079577,55384.8718345825,85883.3528110612,Natural_Regeneration,0-1 kHz,Low
20,26110.5234566216,48977.1249527403,104195.834090684,Natural_Regeneration,0-1 kHz,Low
30,19835.376158783,58219.0896873094,84973.1346285778,Natural_Regeneration,0-1 kHz,Low
40,31846.4055133799,48206.1086989645,79734.8713288429,Natural_Regeneration,0-1 kHz,Low
50,31320.019528446,53378.9085379029,98831.6860482035,Natural_Regeneration,0-1 kHz,Low
60,32006.5556935305,34954.2673261213,87980.8155111435,Natural_Regeneration,0-1 kHz,Low
70,18948.0318863971,48192.4494845644,74909.2232417812,Natural_Regeneration,0-1 kHz,Low
80,22861.3454076005,32018.6874231362,75747.3101470764,Natural_Regeneration,0-1 kHz,Low
90,35958.0393755135,21427.9184201657,75062.5505360917,Reference_Forest,0-1 kHz,Low
100,34002.6313566242,31847.3902383815,101074.412366768,Reference_Forest,0-1 kHz,Low
110,29007.159706907,40905.8238646185,134721.096862712,Natural_Regeneration,0-1 kHz,Low
120,39919.3464242709,67248.1980810499,129188.348750639,Natural_Regeneration,0-1 kHz,Low
130,22884.5633969729,54129.7280110185,105930.597461872,Natural_Regeneration,0-1 kHz,Low
140,23689.295841983,36330.866531263,107831.068604391,Natural_Regeneration,0-1 kHz,Low
150,23779.6887190008,49944.0764624717,93984.6378293204,Natural_Regeneration,0-1 kHz,Low
160,32219.5539656887,51116.2891596633,77852.3384057315,Natural_Regeneration,0-1 kHz,Low
170,40226.0881516632,41410.2604527042,82388.0516389116,Natural_Regeneration,0-1 kHz,Low
180,34215.0035735098,95236.0948550053,91514.2976635135,Natural_Regeneration,0-1 kHz,Low
190,26370.0795704466,54057.2013364215,84274.2861447692,Natural_Regeneration,0-1 kHz,Low
200,49336.2443173539,70469.1391620342,73919.051799685,Natural_Regeneration,0-1 kHz,Low
210,37259.2586611783,50760.1469524859,61795.0122389103,Natural_Regeneration,0-1 kHz,Low
220,23955.2794043443,72248.5656621527,58769.4647554418,Natural_Regeneration,0-1 kHz,Low
230,28201.7948313119,114402.664235689,61656.1111324377,Natural_Regeneration,0-1 kHz,Low
240,16674.0697521851,102788.589373071,75332.5148266619,Natural_Regeneration,0-1 kHz,Low
250,39184.7891013873,104009.569168567,68546.3403036244,Natural_Regeneration,0-1 kHz,Low
260,30124.1925275615,150339.704319888,80205.2678186603,Natural_Regeneration,0-1 kHz,Low
270,48621.2218041111,87844.7526093572,73577.9161783223,Natural_Regeneration,0-1 kHz,Low
280,45209.9464407551,65318.2176029156,57052.6127940652,Natural_Regeneration,0-1 kHz,Low
290,47805.2135500312,143282.014691053,27857.3232555231,Plantation,0-1 kHz,Low
300,52216.4806405261,158978.172286186,36019.7184523786,Plantation,0-1 kHz,Low
310,98503.5316905143,70765.7187637281,55287.32691874,Plantation,0-1 kHz,Low
320,116791.167350606,54523.1185306094,48419.5751793559,Plantation,0-1 kHz,Low
330,113185.076607731,106994.789235733,42108.0462866703,Plantation,0-1 kHz,Low
340,25156.4913356284,74545.9624709974,38080.1000062075,Natural_Regeneration,0-1 kHz,Low
350,58541.9303203655,90623.7265724469,56331.2861089538,Plantation,0-1 kHz,Low
360,75867.29266062,53569.2151045845,62543.2378123748,Reference_Forest,0-1 kHz,Low
370,92507.716658068,54785.3767492876,63330.0360640709,Reference_Forest,0-1 kHz,Low
380,47223.5503956599,92234.950666853,40946.1631899767,Plantation,0-1 kHz,Low
390,56896.2192660061,100506.041289238,32451.0141066437,Plantation,0-1 kHz,Low
400,70458.2507565068,108700.195553599,42159.0434340183,Plantation,0-1 kHz,Low
410,62194.1330880319,91136.6875435794,30604.6902071865,Plantation,0-1 kHz,Low
420,59609.0315513099,78210.9640001149,35372.3193384158,Plantation,0-1 kHz,Low
430,37663.187628226,67956.2131806339,52349.6313740109,Natural_Regeneration,0-1 kHz,Low
440,32131.7447628014,78547.1144309705,44807.2583793282,Natural_Regeneration,0-1 kHz,Low
450,33708.3619645372,83623.795982807,51784.2759983676,Natural_Regeneration,0-1 kHz,Low
460,64141.9498723366,70291.4407292153,68559.8677891868,Natural_Regeneration,0-1 kHz,Low
470,47671.3214079295,71531.9043002494,60035.9657806484,Natural_Regeneration,0-1 kHz,Low
480,43216.6095281272,68104.5185890689,56864.2595049833,Natural_Regeneration,0-1 kHz,Low
490,40475.6577720717,51775.206587557,66521.6140761487,Natural_Regeneration,0-1 kHz,Low
500,56672.7537875781,38236.422115014,60542.5763282915,Reference_Forest,0-1 kHz,Low
510,71998.7359898973,38804.9185706048,80961.6406575104,Reference_Forest,0-1 kHz,Low
520,121768.927532486,31108.1989041338,100135.275716621,Reference_Forest,0-1 kHz,Low
530,109928.300460769,36669.5058936909,88134.9538979227,Reference_Forest,0-1 kHz,Low
540,99801.6630062919,54772.775985239,66944.3185977923,Reference_Forest,0-1 kHz,Low
550,124283.551531637,58487.3837730861,108660.404717862,Reference_Forest,0-1 kHz,Low
560,91809.8399137955,60818.3705437396,102413.707365152,Reference_Forest,0-1 kHz,Low
570,139955.559358603,91570.5472579246,128521.910696023,Reference_Forest,0-1 kHz,Low
580,104970.01685812,54788.6494706648,138655.677608249,Reference_Forest,0-1 kHz,Low
590,94950.9185092913,57327.4203159499,142480.300805141,Reference_Forest,0-1 kHz,Low
600,130508.955593955,75651.2695706535,158596.724762288,Reference_Forest,0-1 kHz,Low
610,171988.845720997,71583.3398825014,156352.390301589,Reference_Forest,0-1 kHz,Low
620,167072.496243687,99331.1540434012,176547.049168194,Reference_Forest,0-1 kHz,Low
630,196685.177515871,114766.263662337,205378.135849344,Reference_Forest,0-1 kHz,Low
640,198947.321450513,146491.728610042,176936.797836008,Reference_Forest,0-1 kHz,Low
650,183706.197570585,148498.022185912,169299.367481619,Reference_Forest,0-1 kHz,Low
660,173197.50097938,139668.80434127,154539.102930621,Reference_Forest,0-1 kHz,Low
670,163673.483959395,126860.761311811,175985.685688071,Reference_Forest,0-1 kHz,Low
680,202581.368769494,150771.276930781,171307.466142124,Reference_Forest,0-1 kHz,Low
690,185909.324937217,185144.144061458,181002.459897045,Plantation,0-1 kHz,Low
700,140245.904650355,127673.183981651,167247.48729829,Reference_Forest,0-1 kHz,Low
710,221396.699119291,156233.91159652,198915.134057286,Reference_Forest,0-1 kHz,Low
720,166587.290378324,110818.101588679,137422.310523818,Reference_Forest,0-1 kHz,Low
730,174677.74327273,133608.226597804,180331.443323825,Reference_Forest,0-1 kHz,Low
740,194646.326847962,130661.029429469,142249.243436786,Reference_Forest,0-1 kHz,Low
750,134126.979678052,124539.427578153,146319.19161127,Reference_Forest,0-1 kHz,Low
