StartTime,EndTime,LowFreq,HighFreq,DeltaTime,DeltaFreq,AvgPowerDensity,Annotation
0.105538289,2.8495338,7741.935,10092.166,2.744,2350.231,-77.72,Insects
4.517038765,9.625091948,8073.733,9898.618,5.1081,1824.885,-76.7,Insects
10.36385997,13.88883882,8149.254,9970.149,3.525,1820.895,-77.27,Insects
15.30305189,17.81486317,8000,9761.194,2.5118,1761.194,-76.23,Insects
18.32596497,27.06453529,8000,9910.448,8.7386,1910.448,-76.87,Insects
27.80330331,33.39683263,7910.448,9910.448,5.5935,2000,-76.82,Insects
54.70613902,59.98305347,7910.448,9850.746,5.2769,1940.298,-78.76,Insects
33.52278308,33.75496731,5223.881,9671.642,0.2322,4447.761,-71.34,Insects
0,0.11194026,2406.274,3313.903,0.1119,907.629,-69.46,Birds
2.104476881,2.231342509,2490.704,3440.549,0.1269,949.845,-65.19,Birds
3.268655581,3.417909261,2511.812,3736.057,0.1493,1224.245,-65.35,Birds
3.522386837,3.671640516,2638.458,4221.533,0.1493,1583.075,-67.34,Birds
3.634327096,3.805968828,1097.599,2174.09,0.1716,1076.491,-71.98,Birds
3.985073243,4.216416446,1203.137,2258.52,0.2313,1055.383,-73.19,Birds
3.955222507,4.141789607,2743.996,4411.502,0.1866,1667.506,-71.78,Birds
4.626864065,4.858207268,2554.027,4580.363,0.2313,2026.336,-70.89,Birds
4.619401381,4.835819216,1160.922,2300.735,0.2164,1139.813,-73.56,Birds
5.051191789,5.342236465,1266.46,4517.04,0.291,3250.58,-70.29,Birds
5.625818456,5.782534819,3187.257,4685.902,0.1567,1498.645,-67.93,Birds
5.849698975,6.088504862,1308.675,4664.794,0.2388,3356.119,-67.8,Birds
6.603430056,6.9094001,1266.46,4517.04,0.306,3250.58,-69.03,Birds
7.006414991,7.200444775,2617.35,3356.119,0.194,738.769,-71.23,Birds
6.10343023,6.521340533,2364.058,4474.825,0.4179,2110.767,-72.35,Birds
7.939250488,8.245220531,1266.46,4538.148,0.306,3271.688,-69.81,Birds
8.401936895,8.633280098,2532.92,3820.487,0.2313,1287.567,-73.36,Birds
