Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	10500.000000000	10559.999979167	7674.912	12848.057	60.0000	5173.145	-57.10	Insects
2	Spectrogram 1	1	10500.667205057	10500.853629999	1314.488	1643.110	0.1864	328.622	-75.75	Birds
3	Spectrogram 1	1	10501.383469309	10501.550270573	1844.523	2332.155	0.1668	487.633	-74.98	Birds
4	Spectrogram 1	1	10502.060486205	10502.168416435	1547.703	1823.322	0.1079	275.618	-74.99	Birds
5	Spectrogram 1	1	10503.090729307	10503.198659537	1526.502	1770.318	0.1079	243.816	-74.41	Birds
6	Spectrogram 1	1	10503.571509422	10503.865864594	1378.092	1855.124	0.2944	477.032	-76.78	Birds
7	Spectrogram 1	1	10504.268149996	10504.444763099	1452.297	1982.332	0.1766	530.035	-75.43	Birds
8	Spectrogram 1	1	10505.268957581	10505.376887811	1335.689	1749.117	0.1079	413.428	-73.32	Birds
9	Spectrogram 1	1	10506.122587580	10506.240329649	1409.894	1791.519	0.1177	381.625	-74.21	Birds
10	Spectrogram 1	1	10506.485625625	10506.564120338	1144.876	1526.502	0.0785	381.625	-73.23	Birds
11	Spectrogram 1	1	10507.103771487	10507.211701717	1144.876	1600.707	0.1079	455.830	-73.22	Birds
12	Spectrogram 1	1	10504.856860340	10505.229710224	975.265	1388.693	0.3728	413.428	-75.86	Birds
13	Spectrogram 1	1	10505.367075971	10506.063716545	381.625	667.845	0.6966	286.219	-67.64	Birds
14	Spectrogram 1	1	10507.417750337	10507.535492406	1420.495	1791.519	0.1177	371.025	-75.36	Birds
15	Spectrogram 1	1	10507.946824408	10508.162684867	1406.250	1781.250	0.2159	375.000	-75.95	Birds
16	Spectrogram 1	1	10508.437416361	10508.604217625	1229.167	1812.500	0.1668	583.333	-75.56	Birds
17	Spectrogram 1	1	10508.977067510	10509.124245096	1260.417	1791.667	0.1472	531.250	-74.59	Birds
18	Spectrogram 1	1	10509.781638314	10510.007310612	1395.833	1802.083	0.2257	406.250	-76.52	Birds
19	Spectrogram 1	1	10509.536342337	10509.742390958	1343.750	1708.333	0.2060	364.583	-76.88	Birds
20	Spectrogram 1	1	10510.841316933	10510.988494519	1354.167	1708.333	0.1472	354.167	-75.59	Birds
21	Spectrogram 1	1	10513.058792563	10513.264841184	1989.583	2500.000	0.2060	510.417	-75.67	Birds
22	Spectrogram 1	1	10507.730963948	10507.966448086	1989.583	2385.417	0.2355	395.833	-76.21	Birds
23	Spectrogram 1	1	10512.028549461	10512.195350725	1302.083	1718.750	0.1668	416.667	-77.18	Birds
24	Spectrogram 1	1	10513.961481758	10514.039976470	1447.917	1666.667	0.0785	218.750	-73.54	Birds
25	Spectrogram 1	1	10514.961524071	10515.550234415	375.000	635.417	0.5887	260.417	-66.90	Birds
26	Spectrogram 1	1	10515.452116024	10515.618917289	2979.167	3177.083	0.1668	197.917	-74.03	Birds
27	Spectrogram 1	1	10515.864213265	10516.021202690	2875.000	3250.000	0.1570	375.000	-76.34	Birds
28	Spectrogram 1	1	10515.658164645	10515.854401426	2708.333	2947.917	0.1962	239.583	-75.47	Birds
29	Spectrogram 1	1	10515.441796725	10515.853893966	1322.917	2093.750	0.4121	770.833	-75.42	Birds
30	Spectrogram 1	1	10518.699327296	10518.915187756	1885.417	2354.167	0.2159	468.750	-77.09	Birds
