Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	14460.042426392	14460.237587796	137.136	617.111	0.1952	479.976	-56.45	Birds
2	Spectrogram 1	1	14460.432749200	14460.585484212	171.420	719.963	0.1527	548.543	-56.75	Birds
3	Spectrogram 1	1	14461.060659803	14461.484923725	4594.051	6513.953	0.4243	1919.902	-57.83	Birds
4	Spectrogram 1	1	14461.400070941	14461.892217089	2777.001	5142.595	0.4921	2365.594	-52.81	Birds
5	Spectrogram 1	1	14461.824334862	14462.240113505	4525.483	7988.164	0.4158	3462.680	-64.46	Birds
6	Spectrogram 1	1	14464.005051418	14464.624476743	137.136	754.247	0.6194	617.111	-60.52	Birds
7	Spectrogram 1	1	14464.989343716	14466.643973009	2537.013	4079.792	1.6546	1542.778	-62.12	Birds
8	Spectrogram 1	1	14464.921461488	14465.235416790	4148.360	5211.163	0.3140	1062.803	-72.10	Birds
9	Spectrogram 1	1	14467.416133346	14467.950705887	171.420	651.395	0.5346	479.976	-58.54	Birds
10	Spectrogram 1	1	14464.344462555	14464.599020908	2571.297	3736.952	0.2546	1165.655	-74.87	Birds
11	Spectrogram 1	1	14469.057775541	14469.473554184	4079.792	6959.645	0.4158	2879.853	-53.92	Birds
12	Spectrogram 1	1	14469.295363337	14469.804480043	2777.001	5142.595	0.5091	2365.594	-49.01	Birds
13	Spectrogram 1	1	14469.694171423	14470.177832294	4422.632	8022.448	0.4837	3599.816	-62.49	Birds
14	Spectrogram 1	1	14469.295363337	14469.515980576	7199.633	10285.190	0.2206	3085.557	-72.56	Birds
15	Spectrogram 1	1	14470.882110403	14471.399712387	171.420	719.963	0.5176	548.543	-58.85	Birds
16	Spectrogram 1	1	14474.615632912	14475.175661288	239.988	651.395	0.5600	411.408	-58.45	Birds
17	Spectrogram 1	1	14475.829027727	14476.236321091	308.556	651.395	0.4073	342.840	-68.16	Birds
18	Spectrogram 1	1	14470.712404835	14470.941507352	2845.569	3874.088	0.2291	1028.519	-74.97	Birds
19	Spectrogram 1	1	14472.910091948	14473.147679744	2708.433	3702.668	0.2376	994.235	-74.48	Birds
20	Spectrogram 1	1	14473.521031994	14473.767105069	4114.076	4731.187	0.2461	617.111	-74.79	Birds
21	Spectrogram 1	1	14474.148942598	14474.395015672	2708.433	3599.816	0.2461	891.383	-74.73	Birds
22	Spectrogram 1	1	14475.090808504	14475.328396299	2914.137	3496.964	0.2376	582.827	-74.90	Birds
23	Spectrogram 1	1	14477.522855633	14478.235619021	1234.223	1885.618	0.7128	651.395	-68.68	Birds
24	Spectrogram 1	1	14477.845296214	14478.456236260	308.556	685.679	0.6109	377.124	-57.52	Birds
25	Spectrogram 1	1	14479.033235194	14479.381131609	274.272	548.543	0.3479	274.272	-67.70	Birds
26	Spectrogram 1	1	14478.269560135	14478.880500182	3016.989	3428.397	0.6109	411.408	-73.10	Birds
27	Spectrogram 1	1	14479.389616888	14479.550837178	2537.013	3565.532	0.1612	1028.519	-74.03	Birds
28	Spectrogram 1	1	14479.576293013	14480.424820856	1234.223	1817.050	0.8485	582.827	-67.31	Birds
29	Spectrogram 1	1	14481.061216738	14481.638215671	308.556	617.111	0.5770	308.556	-56.15	Birds
30	Spectrogram 1	1	14481.952170973	14482.792213537	1268.507	1851.334	0.8400	582.827	-68.18	Birds
31	Spectrogram 1	1	14481.061216738	14481.426083710	2777.001	3359.829	0.3649	582.827	-74.73	Birds
32	Spectrogram 1	1	14482.563111020	14482.809184094	2777.001	3462.680	0.2461	685.679	-72.63	Birds
33	Spectrogram 1	1	14482.317037945	14482.707360753	205.704	617.111	0.3903	411.408	-68.99	Birds
34	Spectrogram 1	1	14484.558340006	14485.109883104	205.704	651.395	0.5515	445.692	-56.81	Birds
