Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	7383.375272640	7383.885488272	6335.135	7156.757	0.5102	821.622	-65.14	Inscets
2	Spectrogram 1	1	7384.788177466	7386.632803211	6378.378	7286.486	1.8446	908.108	-62.80	Insects
3	Spectrogram 1	1	7393.363724814	7395.659695156	6400.000	7329.730	2.2960	929.730	-63.08	Insects
4	Spectrogram 1	1	7391.970443666	7392.343293550	6227.027	7221.622	0.3728	994.595	-64.36	Insects
5	Spectrogram 1	1	7395.926500685	7398.202847349	6335.135	7048.649	2.2763	713.514	-72.08	Insects
6	Spectrogram 1	1	7400.439946657	7402.991024816	6335.135	7329.730	2.5511	994.595	-62.99	Insects
7	Spectrogram 1	1	7406.994255156	7409.721946418	6291.892	7351.351	2.7277	1059.459	-63.32	Insects
8	Spectrogram 1	1	7409.976784688	7413.881896638	6616.216	6940.541	3.9051	324.324	-72.56	Insects
9	Spectrogram 1	1	7414.137004454	7416.805824681	6335.135	7286.486	2.6688	951.351	-62.65	insects
10	Spectrogram 1	1	7416.982437785	7420.809055022	6400.000	6854.054	3.8266	454.054	-71.70	insects
11	Spectrogram 1	1	7420.985668125	7423.811477778	6356.757	7416.216	2.8258	1059.459	-63.76	insects
12	Spectrogram 1	1	7423.754739648	7426.325441484	6227.027	6897.297	2.5707	670.270	-71.26	insects
13	Spectrogram 1	1	7428.723953314	7433.237399286	6400.000	6897.297	4.5134	497.297	-72.77	insects
14	Spectrogram 1	1	7433.629872849	7435.337132847	6183.784	6897.297	1.7073	713.514	-72.12	insects
15	Spectrogram 1	1	7436.122079973	7439.968320888	6378.378	7027.027	3.8462	648.649	-72.17	insects
16	Spectrogram 1	1	7389.125010335	7391.970443666	6378.378	6940.541	2.8454	562.162	-74.10	innsects
17	Spectrogram 1	1	7398.936849406	7399.761043888	627.027	1340.541	0.8242	713.514	-61.80	Domestic mammals
18	Spectrogram 1	1	7382.227287469	7382.462771607	3481.081	5621.622	0.2355	2140.541	-73.03	Birds
20	Spectrogram 1	1	7384.032665858	7384.297585513	3654.054	5275.676	0.2649	1621.622	-72.86	Birds
22	Spectrogram 1	1	7386.034281028	7386.377695396	3578.378	5362.162	0.3434	1783.784	-73.04	Birds
23	Spectrogram 1	1	7382.639384710	7383.080917468	1491.892	1924.324	0.4415	432.432	-71.97	Birds
24	Spectrogram 1	1	7385.985221833	7386.171646775	2443.243	2681.081	0.1864	237.838	-74.42	Birds
25	Spectrogram 1	1	7387.329443785	7387.849471256	2963.447	5914.799	0.5200	2951.351	-63.39	Birds
26	Spectrogram 1	1	7388.389122405	7388.752160451	2866.150	5147.231	0.3630	2281.081	-65.47	Birds
27	Spectrogram 1	1	7386.887911027	7387.162642521	1145.946	1394.595	0.2747	248.649	-68.19	Birds
28	Spectrogram 1	1	7392.407097624	7392.622958084	3232.432	5589.189	0.2159	2356.757	-74.68	Birds
29	Spectrogram 1	1	7392.485592337	7392.750511992	1632.432	1859.459	0.2649	227.027	-70.86	Birds
