Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	20100.000000000	20100.186424942	2248.749	4707.382	0.1864	2458.633	-68.66	Birds
2	Spectrogram 1	1	20100.372849885	20100.618145861	2068.850	3807.882	0.2453	1739.033	-72.64	Birds
3	Spectrogram 1	1	20100.726076091	20100.912501034	1828.983	3448.083	0.1864	1619.100	-68.91	Birds
4	Spectrogram 1	1	20101.265727240	20101.511023217	2698.499	4467.516	0.2453	1769.016	-70.55	Birds
5	Spectrogram 1	1	20102.227287469	20102.472583446	2728.483	4527.482	0.2453	1799.000	-72.49	Birds
6	Spectrogram 1	1	20102.521642641	20102.786562296	2158.800	4407.549	0.2649	2248.749	-66.70	Birds
7	Spectrogram 1	1	20103.267342410	20103.522450226	2428.649	4257.632	0.2551	1828.983	-72.41	Birds
8	Spectrogram 1	1	20104.327021030	20104.572317007	3238.199	4887.282	0.2453	1649.083	-73.81	Birds
9	Spectrogram 1	1	20104.640999880	20104.797989305	2998.333	4947.249	0.1570	1948.916	-73.08	Birds
10	Spectrogram 1	1	20104.866672179	20105.023661604	3118.266	3927.816	0.1570	809.550	-74.63	Birds
11	Spectrogram 1	1	20103.856052755	20104.336832869	2038.866	2758.466	0.4808	719.600	-75.17	Birds
12	Spectrogram 1	1	20104.974602409	20105.249333903	2518.599	3178.233	0.2747	659.633	-71.30	Birds
13	Spectrogram 1	1	20105.857667925	20106.142211258	2188.783	4707.382	0.2845	2518.599	-71.33	Birds
14	Spectrogram 1	1	20106.770168958	20107.005653096	1978.900	3418.099	0.2355	1439.200	-73.16	Birds
15	Spectrogram 1	1	20107.074335970	20107.309820107	2428.649	3867.849	0.2355	1439.200	-73.11	Birds
16	Spectrogram 1	1	20107.829847578	20108.055519877	4047.749	5337.032	0.2257	1289.283	-72.28	Birds
17	Spectrogram 1	1	20108.291004014	20108.555923669	2488.616	4077.732	0.2649	1589.116	-71.69	Birds
18	Spectrogram 1	1	20108.477428957	20108.820843324	2818.433	3807.882	0.3434	989.450	-66.97	Birds
19	Spectrogram 1	1	20101.049866781	20101.236291723	5426.982	7795.665	0.1864	2368.683	-74.23	Birds
20	Spectrogram 1	1	20101.265727240	20101.393281148	5217.099	8215.431	0.1276	2998.333	-73.53	Birds
21	Spectrogram 1	1	20101.452152182	20101.648388964	4887.282	8665.181	0.1962	3777.899	-75.00	Birds
22	Spectrogram 1	1	20100.009811839	20100.333602528	6896.165	7405.882	0.3238	509.717	-73.49	Birds
23	Spectrogram 1	1	20102.217475630	20102.305782182	5546.915	7525.815	0.0883	1978.900	-73.78	Birds
24	Spectrogram 1	1	20106.348259878	20106.554308499	5606.882	6866.182	0.2060	1259.300	-74.19	Birds
25	Spectrogram 1	1	20106.632803211	20106.809416315	4977.232	5456.965	0.1766	479.733	-71.03	Birds
26	Spectrogram 1	1	20106.132399419	20106.318824361	5187.115	6476.399	0.1864	1289.283	-76.29	Birds
27	Spectrogram 1	1	20106.515061143	20106.750545280	3508.049	4737.366	0.2355	1229.316	-75.95	Birds
28	Spectrogram 1	1	20108.595171026	20108.703101255	2098.833	2728.483	0.1079	629.650	-71.98	Birds
29	Spectrogram 1	1	20108.918961715	20109.380118151	2128.816	2788.449	0.4612	659.633	-76.39	Birds
30	Spectrogram 1	1	20109.193693209	20109.438989186	2758.466	4617.432	0.2453	1858.966	-74.03	Birds
31	Spectrogram 1	1	20109.517483898	20109.870710105	1799.000	4677.399	0.3532	2878.399	-71.25	Birds
32	Spectrogram 1	1	20109.478236542	20109.723532519	5067.182	5726.815	0.2453	659.633	-75.88	Birds
33	Spectrogram 1	1	20110.125817921	20110.508479644	2578.566	4647.416	0.3827	2068.850	-72.70	Birds
34	Spectrogram 1	1	20110.516003995	20110.584686868	5576.899	6176.565	0.0687	599.667	-74.47	Birds
35	Spectrogram 1	1	20110.702428937	20110.820171006	5007.216	5307.049	0.1177	299.833	-72.73	Birds
36	Spectrogram 1	1	20110.986972270	20111.173397213	5307.049	5876.732	0.1864	569.683	-75.15	Birds
37	Spectrogram 1	1	20111.379445833	20111.556058936	5486.949	7915.598	0.1766	2428.649	-72.49	Birds
38	Spectrogram 1	1	20111.575682615	20111.722860201	5127.149	8155.465	0.1472	3028.316	-72.56	Birds
39	Spectrogram 1	1	20111.781731235	20111.928908821	5157.132	8365.348	0.1472	3208.216	-73.29	Birds
40	Spectrogram 1	1	20112.154581120	20112.409688936	5606.882	6116.599	0.2551	509.717	-73.79	Birds
41	Spectrogram 1	1	20111.006595949	20111.261703764	1828.983	4647.416	0.2551	2818.433	-68.43	Birds
42	Spectrogram 1	1	20111.605118132	20111.919096982	2578.566	4707.382	0.3140	2128.816	-72.59	Birds
43	Spectrogram 1	1	20112.242887671	20112.439124453	1948.916	4617.432	0.1962	2668.516	-76.81	Birds
44	Spectrogram 1	1	20112.635361234	20112.978775602	2308.716	4977.232	0.3434	2668.516	-67.02	Birds
45	Spectrogram 1	1	20113.744099049	20114.018830543	2848.416	5546.915	0.2747	2698.499	-71.59	Birds
46	Spectrogram 1	1	20114.322997554	20114.529046175	1918.933	3568.016	0.2060	1649.083	-67.69	Birds
47	Spectrogram 1	1	20114.941143416	20115.215874910	2188.783	5756.799	0.2747	3568.016	-65.70	Birds
48	Spectrogram 1	1	20115.382676174	20115.706466863	2518.599	4107.716	0.3238	1589.116	-73.38	Birds
49	Spectrogram 1	1	20115.784961576	20115.941951001	5786.782	7195.998	0.1570	1409.216	-68.59	Birds
50	Spectrogram 1	1	20115.977459187	20116.271814359	2128.816	4467.516	0.2944	2338.699	-61.65	Birds
51	Spectrogram 1	1	20116.536734014	20116.821277347	2308.716	4467.516	0.2845	2158.800	-72.81	Birds
52	Spectrogram 1	1	20117.086197002	20117.302057462	1978.900	3268.183	0.2159	1289.283	-63.75	Birds
53	Spectrogram 1	1	20116.899772060	20117.302057462	4587.449	5486.949	0.4023	899.500	-74.73	Birds
54	Spectrogram 1	1	20117.910391484	20118.116440105	2008.883	4857.299	0.2060	2848.416	-64.51	Birds
55	Spectrogram 1	1	20117.184315393	20117.684719185	5546.915	8035.531	0.5004	2488.616	-73.04	Birds
56	Spectrogram 1	1	20117.812273093	20118.567784702	5007.216	5996.665	0.7555	989.450	-71.32	Birds
57	Spectrogram 1	1	20118.253805851	20118.587408380	2368.683	3867.849	0.3336	1499.166	-71.52	Birds
58	Spectrogram 1	1	20117.586600795	20117.822084932	3028.316	4227.649	0.2355	1199.333	-72.83	Birds
59	Spectrogram 1	1	20119.078000333	20119.450850218	2218.766	4347.582	0.3728	2128.816	-63.35	Birds
60	Spectrogram 1	1	20119.902194815	20120.196549987	3418.099	5307.049	0.2944	1888.950	-71.69	Birds
61	Spectrogram 1	1	20120.068996079	20120.275044700	5696.832	6116.599	0.2060	419.767	-73.34	Birds
