Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	12600.000000000	12659.999979167	8131.765	10390.588	60.0000	2258.824	-70.42	Insects
2	Spectrogram 1	1	12602.342950014	12602.680672538	4512.173	5809.922	0.3377	1297.749	-77.32	Birds
3	Spectrogram 1	1	12604.738669172	12604.960299579	3813.385	4731.792	0.2216	918.407	-75.55	Birds
4	Spectrogram 1	1	12609.311708196	12609.417246485	4172.762	6129.368	0.1055	1956.606	-71.16	Birds
5	Spectrogram 1	1	12609.459461800	12609.554446260	4272.589	5889.784	0.0950	1617.195	-69.71	Birds
6	Spectrogram 1	1	12609.607215405	12609.691646036	4112.866	5630.234	0.0844	1517.368	-70.65	Birds
7	Spectrogram 1	1	12609.754969009	12609.839399640	3773.455	5430.580	0.0844	1657.126	-71.19	Birds
8	Spectrogram 1	1	12609.923830271	12610.018814731	3673.628	5171.030	0.0950	1497.403	-74.91	Birds
9	Spectrogram 1	1	12607.947033155	12608.073679101	3633.697	5210.961	0.1266	1577.264	-77.14	Birds
10	Spectrogram 1	1	12608.253094192	12608.400847797	3553.835	5051.238	0.1478	1497.403	-76.18	Birds
11	Spectrogram 1	1	12611.418496047	12611.756218572	3693.593	4651.931	0.3377	958.338	-76.85	Birds
12	Spectrogram 1	1	12614.479106426	12614.658521517	3493.939	4052.970	0.1794	559.030	-75.63	Birds
13	Spectrogram 1	1	12621.240855325	12621.568024020	4777.749	5599.521	0.3272	821.773	-73.24	Birds
14	Spectrogram 1	1	12621.050886405	12621.409716587	5886.186	6555.071	0.3588	668.885	-72.04	Birds
15	Spectrogram 1	1	12621.536362534	12621.694669967	5943.519	6555.071	0.1583	611.552	-73.78	Birds
16	Spectrogram 1	1	12623.026644364	12623.216613284	3745.755	4070.642	0.1900	324.887	-73.92	Birds
17	Spectrogram 1	1	12622.942213733	12623.132182653	3287.091	3631.089	0.1900	343.998	-76.06	Birds
18	Spectrogram 1	1	12630.809606156	12631.052344221	3715.902	4443.759	0.2427	727.857	-74.85	Birds
19	Spectrogram 1	1	12631.664466296	12632.054957965	6225.094	6665.639	0.3905	440.545	-74.02	Birds
20	Spectrogram 1	1	12633.099787025	12633.469171037	6129.323	6799.718	0.3694	670.395	-70.80	Birds
21	Spectrogram 1	1	12632.276588372	12632.772618330	3064.661	5727.086	0.4960	2662.425	-75.75	Birds
22	Spectrogram 1	1	12634.853597927	12635.170212793	6110.169	7087.030	0.3166	976.861	-68.46	Birds
23	Spectrogram 1	1	12636.209188523	12636.441372759	5401.466	5937.782	0.2322	536.316	-74.54	Birds
24	Spectrogram 1	1	12636.578572534	12637.148479295	4252.218	6167.631	0.5699	1915.413	-75.84	Birds
25	Spectrogram 1	1	12637.137925466	12637.465094161	6205.939	7527.575	0.3272	1321.635	-68.20	Birds
26	Spectrogram 1	1	12637.349002043	12637.697278397	4405.451	5918.627	0.3483	1513.177	-74.71	Birds
27	Spectrogram 1	1	12637.644509252	12638.003339435	6091.015	7565.883	0.3588	1474.868	-69.31	Birds
28	Spectrogram 1	1	12637.802816686	12638.309400472	4137.293	5899.473	0.5066	1762.180	-73.31	Birds
29	Spectrogram 1	1	12642.929852834	12643.161196037	6071.860	6493.251	0.2313	421.391	-75.12	Birds
30	Spectrogram 1	1	12644.011942010	12644.362688157	6033.552	6665.639	0.3507	632.086	-71.01	Birds
31	Spectrogram 1	1	12645.288060970	12645.765672745	5956.936	6895.488	0.4776	938.553	-70.40	Birds
32	Spectrogram 1	1	12644.198509110	12644.325374737	1992.030	2873.120	0.1269	881.090	-70.06	Birds
33	Spectrogram 1	1	12644.385076209	12644.534329889	1819.643	3064.661	0.1493	1245.019	-69.44	Birds
34	Spectrogram 1	1	12644.579105993	12644.743285040	1915.413	3141.278	0.1642	1225.865	-69.20	Birds
35	Spectrogram 1	1	12644.780598460	12644.922389455	1972.876	3275.357	0.1418	1302.481	-67.79	Birds
36	Spectrogram 1	1	12645.168658027	12645.332837074	1838.797	3237.049	0.1642	1398.252	-68.05	Birds
37	Spectrogram 1	1	12644.952240191	12645.116419239	1896.259	3256.203	0.1642	1359.944	-67.51	Birds
38	Spectrogram 1	1	12643.588975545	12643.917333640	3466.898	4711.917	0.3284	1245.019	-74.81	Birds
39	Spectrogram 1	1	12646.497793614	12646.863465129	6454.943	7316.879	0.3657	861.936	-68.04	Birds
40	Spectrogram 1	1	12646.557495086	12647.042569545	5554.699	5918.627	0.4851	363.929	-72.47	Birds
41	Spectrogram 1	1	12648.535106340	12648.856001751	6225.094	7431.804	0.3209	1206.710	-69.35	Birds
42	Spectrogram 1	1	12648.460479500	12648.669434651	3811.673	5133.308	0.2090	1321.635	-70.61	Birds
43	Spectrogram 1	1	12648.109733353	12648.408240712	4539.530	6512.406	0.2985	1972.876	-67.31	Birds
44	Spectrogram 1	1	12647.878390150	12648.117196037	5612.161	7623.345	0.2388	2011.184	-65.43	Birds
