Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	13140.000000000	13199.999979167	2513.514	2959.459	60.0000	445.946	-71.06	Amphibians
2	Spectrogram 1	1	13140.000000000	13199.999979167	6081.081	6851.351	60.0000	770.270	-55.51	Insects
3	Spectrogram 1	1	13140.000000000	13182.623985200	4337.838	5108.108	42.6240	770.270	-57.47	Insects
4	Spectrogram 1	1	13186.319983917	13199.999979167	4418.919	5270.270	13.6800	851.351	-57.67	Insects
5	Spectrogram 1	1	13140.000000000	13199.999979167	7297.297	8148.649	60.0000	851.351	-60.75	Insects
6	Spectrogram 1	1	13148.307087581	13148.485278428	3466.216	4195.946	0.1782	729.730	-68.56	Amphibians
7	Spectrogram 1	1	13150.384852973	13150.596984934	3587.838	4135.135	0.2121	547.297	-68.35	Amphibians
8	Spectrogram 1	1	13152.582540086	13152.811642604	3486.486	4175.676	0.2291	689.189	-67.50	Amphibians
9	Spectrogram 1	1	13154.771741921	13154.966903324	3506.757	4195.946	0.1952	689.189	-67.12	Amphibians
10	Spectrogram 1	1	13155.229946956	13155.781490054	3729.730	4033.784	0.5515	304.054	-73.62	Amphibians
11	Spectrogram 1	1	13156.078474799	13156.341518430	3750.000	3972.973	0.2630	222.973	-71.05	Amphibians
12	Spectrogram 1	1	13156.673401206	13157.275855975	3709.459	4013.514	0.6025	304.054	-67.94	Amphibians
13	Spectrogram 1	1	13157.326767645	13157.606781834	3709.459	4054.054	0.2800	344.595	-71.00	Amphibians
14	Spectrogram 1	1	13157.980134084	13158.328030500	3810.811	4074.324	0.3479	263.514	-70.13	Amphibians
15	Spectrogram 1	1	13158.735323864	13158.879573598	3810.811	4013.514	0.1442	202.703	-69.60	Amphibians
16	Spectrogram 1	1	13159.185043621	13159.414146139	3567.568	4236.486	0.2291	668.919	-65.22	Amphibians
17	Spectrogram 1	1	13161.170598773	13161.628803808	3547.297	4317.568	0.4582	770.270	-67.76	Amphibians
18	Spectrogram 1	1	13161.900332718	13162.265199690	3709.459	4114.865	0.3649	405.405	-70.94	Amphibians
19	Spectrogram 1	1	13162.680978333	13162.994933635	3709.459	4094.595	0.3140	385.135	-70.81	Amphibians
20	Spectrogram 1	1	13163.419197557	13163.792549807	3587.838	4135.135	0.3734	547.297	-66.71	Amphibians
21	Spectrogram 1	1	13164.193473001	13164.583795808	3770.270	4013.514	0.3903	243.243	-69.28	Amphibians
22	Spectrogram 1	1	13165.008059730	13165.288073918	3790.541	4033.784	0.2800	243.243	-70.44	Amphibians
23	Spectrogram 1	1	13165.686882004	13165.924469800	3567.568	4195.946	0.2376	628.378	-65.46	Amphibians
24	Spectrogram 1	1	13168.146817199	13168.435316666	3608.108	4195.946	0.2885	587.838	-66.29	Amphibians
25	Spectrogram 1	1	13170.191769300	13170.488754045	3567.568	4216.216	0.2970	648.649	-66.10	Amphibians
26	Spectrogram 1	1	13172.109442225	13172.397941691	3587.838	4094.595	0.2885	506.757	-65.63	Amphibians
27	Spectrogram 1	1	13174.595628804	13174.892613549	3527.027	4175.676	0.2970	648.649	-65.99	Amphibians
28	Spectrogram 1	1	13176.892027265	13177.248408959	3506.757	4155.405	0.3564	648.649	-66.64	Amphibians
29	Spectrogram 1	1	13179.038802708	13179.310331617	3587.838	4195.946	0.2715	608.108	-65.25	Amphibians
30	Spectrogram 1	1	13181.141545411	13181.413074320	3567.568	4317.568	0.2715	750.000	-65.62	Amphibians
31	Spectrogram 1	1	13183.016791943	13183.245894461	3587.838	4216.216	0.2291	628.378	-65.09	Amphibians
32	Spectrogram 1	1	13185.536919636	13185.791477989	3628.378	4175.676	0.2546	547.297	-65.07	Amphibians
33	Spectrogram 1	1	13187.649421691	13187.971862272	3587.838	4236.486	0.3224	648.649	-65.78	Amphibians
34	Spectrogram 1	1	13189.677403236	13189.991358538	3547.297	4195.946	0.3140	648.649	-65.73	Amphibians
35	Spectrogram 1	1	13193.026207892	13193.331677916	3486.486	4175.676	0.3055	689.189	-66.41	Amphibians
36	Spectrogram 1	1	13195.614217813	13195.877261444	3506.757	4175.676	0.2630	668.919	-65.08	Amphibians
37	Spectrogram 1	1	13197.905242989	13198.168286620	3567.568	4135.135	0.2630	567.568	-65.74	Amphibians
38	Spectrogram 1	1	13188.925718389	13189.765760954	222.973	587.838	0.8400	364.865	-68.44	Insects
39	Spectrogram 1	1	13196.638836480	13199.150478895	243.243	648.649	2.5116	405.405	-65.63	Insects
40	Spectrogram 1	1	13182.703183999	13186.394280116	4317.568	4662.162	3.6911	344.595	-63.33	Insects
