Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	30660.000000000	30719.999979167	5575.758	6157.576	60.0000	581.818	-54.76	Insects
2	Spectrogram 1	1	30660.000000000	30664.454771175	4041.885	4649.215	4.4548	607.330	-69.52	Amphibians
3	Spectrogram 1	1	30665.574827927	30666.508208554	4146.597	4586.387	0.9334	439.791	-71.04	Amphibians
4	Spectrogram 1	1	30669.113103579	30682.026801150	4104.712	4565.445	12.9137	460.733	-70.53	Amphibians
5	Spectrogram 1	1	30695.382342673	30704.868883955	4146.597	4628.272	9.4865	481.675	-70.78	Amphibians
6	Spectrogram 1	1	30705.495319247	30706.572949607	4188.482	4628.272	1.0776	439.791	-70.80	Amphibians
7	Spectrogram 1	1	30707.871197207	30710.637397974	4167.539	4837.696	2.7662	670.157	-71.83	Amphibians
8	Spectrogram 1	1	30712.068182249	30712.390622830	4167.539	4712.042	0.3224	544.503	-71.04	Amphibians
9	Spectrogram 1	1	30713.731296821	30719.246727800	4167.539	4712.042	5.5154	544.503	-71.63	Amphibians
10	Spectrogram 1	1	30660.000000000	30719.999979167	4795.812	5089.005	60.0000	293.194	-67.94	Unknown
12	Spectrogram 1	1	30660.000000000	30719.999979167	2386.044	2710.772	60.0000	324.728	-71.56	Amphibians
13	Spectrogram 1	1	30716.800229833	30717.376229633	6301.365	6843.866	0.5760	542.502	-71.74	Birds
14	Spectrogram 1	1	30715.042230444	30715.552230267	6426.557	6941.238	0.5100	514.681	-71.71	Birds
