Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	8460.000000000	8519.999979167	2490.939	2787.479	60.0000	296.540	-68.59	Amphibians
2	Spectrogram 1	1	8495.279987750	8495.711987600	9252.059	11031.301	0.4320	1779.242	-57.10	Birds
3	Spectrogram 1	1	8467.535997383	8467.917335346	1140.496	3795.717	0.3813	2655.221	-72.64	Birds
4	Spectrogram 1	1	8460.000000000	8519.999979167	3743.802	5380.165	60.0000	1636.364	-65.55	Insects
5	Spectrogram 1	1	8487.764185370	8488.016185283	1933.884	3644.628	0.2520	1710.744	-71.89	\Birds
6	Spectrogram 1	1	8493.179988324	8493.491988215	1983.471	3694.215	0.3120	1710.744	-68.74	Birds
7	Spectrogram 1	1	8499.001157026	8499.409156885	1512.397	3694.215	0.4080	2181.818	-70.09	Birds
8	Spectrogram 1	1	8504.253642950	8504.397642900	2181.818	3322.314	0.1440	1140.496	-73.01	Birds
9	Spectrogram 1	1	8506.859983506	8506.955983473	1785.124	3247.934	0.0960	1462.810	-71.85	Birds
10	Spectrogram 1	1	8517.577702635	8517.654070141	297.521	570.248	0.0764	272.727	-69.38	Domestic mammals
11	Spectrogram 1	1	8517.925599050	8518.065606144	148.760	619.835	0.1400	471.074	-70.28	Domestic mammals
12	Spectrogram 1	1	8519.656595850	8519.741448634	223.140	595.041	0.0849	371.901	-68.48	Domestic mammals
13	Spectrogram 1	1	8460.000000000	8519.999979167	5826.446	6793.388	60.0000	966.942	-51.75	Insects
14	Spectrogram 1	1	8504.328862643	8504.424862609	21296.831	22050.688	0.0960	753.858	-72.88	Possible bats
15	Spectrogram 1	1	8505.396862272	8505.588862205	21998.094	22751.951	0.1920	753.858	-75.49	Possible bats
16	Spectrogram 1	1	8508.396861230	8508.660861138	21454.615	22453.914	0.2640	999.300	-74.39	Possible bats
17	Spectrogram 1	1	8509.728860768	8509.956860688	21682.525	22594.167	0.2280	911.642	-77.01	Possible bats
18	Spectrogram 1	1	8510.424860526	8510.544860484	22015.625	22927.267	0.1200	911.642	-74.80	Possible bats
19	Spectrogram 1	1	8511.348860205	8511.468860163	21472.146	22296.130	0.1200	823.984	-70.71	Possible bats
20	Spectrogram 1	1	8514.868078464	8515.036078406	21261.767	22261.067	0.1680	999.300	-70.22	Possible bats
21	Spectrogram 1	1	8515.888078110	8516.044078056	21472.146	22138.346	0.1560	666.200	-69.06	Possible bats
22	Spectrogram 1	1	8516.908077756	8517.076077697	22226.004	23049.988	0.1680	823.984	-74.53	Possible bats
23	Spectrogram 1	1	8518.060077356	8518.324077264	21279.299	21980.562	0.2640	701.263	-72.78	Possible bats
24	Spectrogram 1	1	8519.776076760	8519.932076706	20911.136	21629.931	0.1560	718.794	-70.48	Possible bats
