Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	3360.000000000	3419.999979167	5915.152	8145.455	60.0000	2230.303	-53.19	Insects
2	Spectrogram 1	1	3360.000000000	3419.999979167	2618.182	2909.091	60.0000	290.909	-65.43	Amphibians
3	Spectrogram 1	1	3360.000000000	3419.999979167	4412.121	5090.909	60.0000	678.788	-59.14	Insects
4	Spectrogram 1	1	3360.887999692	3361.547999462	5333.333	5866.667	0.6600	533.333	-52.83	Birds
5	Spectrogram 1	1	3362.207999233	3362.783999033	5357.576	5890.909	0.5760	533.333	-51.38	Birds
6	Spectrogram 1	1	3363.227998879	3363.731998704	5260.606	5939.394	0.5040	678.788	-52.33	Birds
7	Spectrogram 1	1	3364.655998383	3365.243998179	5309.091	5915.152	0.5880	606.061	-53.49	Birds
8	Spectrogram 1	1	3365.987997921	3366.515997738	5406.061	5842.424	0.5280	436.364	-51.45	Birds
9	Spectrogram 1	1	3367.139997521	3367.523997388	5430.303	5866.667	0.3840	436.364	-50.01	Birds
10	Spectrogram 1	1	3384.569845122	3384.953844989	5454.545	5842.424	0.3840	387.879	-59.08	Birds
11	Spectrogram 1	1	3385.625844756	3386.093844593	5381.818	5939.394	0.4680	557.576	-59.79	Birds
12	Spectrogram 1	1	3386.357844501	3386.861844326	5454.545	5915.152	0.5040	460.606	-59.79	Birds
13	Spectrogram 1	1	3387.593844072	3388.013843926	5309.091	5939.394	0.4200	630.303	-59.12	Birds
14	Spectrogram 1	1	3388.985843589	3389.225843506	5478.788	5818.182	0.2400	339.394	-52.80	Birds
15	Spectrogram 1	1	3390.101843201	3390.473843072	5406.061	5866.667	0.3720	460.606	-50.98	Birds
16	Spectrogram 1	1	3391.409842747	3391.781842618	5406.061	6036.364	0.3720	630.303	-50.41	Birds
17	Spectrogram 1	1	3392.868573911	3393.276573769	5406.061	5915.152	0.4080	509.091	-50.62	Birds
18	Spectrogram 1	1	3394.248573432	3394.572573319	5551.515	5866.667	0.3240	315.152	-47.29	Birds
19	Spectrogram 1	1	3395.508572994	3395.928572848	5527.273	5915.152	0.4200	387.879	-50.01	Birds
20	Spectrogram 1	1	3397.056572457	3397.272572382	5381.818	5987.879	0.2160	606.061	-48.90	Birds
21	Spectrogram 1	1	3398.328572015	3398.676571894	5284.848	5915.152	0.3480	630.303	-50.96	Birds
22	Spectrogram 1	1	3400.794717465	3401.286717294	5357.576	5866.667	0.4920	509.091	-57.94	Birds
23	Spectrogram 1	1	3403.002716698	3403.458716540	5430.303	5939.394	0.4560	509.091	-52.82	Birds
24	Spectrogram 1	1	3404.070716328	3405.018715998	5357.576	6012.121	0.9480	654.545	-54.81	Birds
25	Spectrogram 1	1	3405.426715857	3406.422715511	5406.061	5963.636	0.9960	557.576	-53.82	Birds
26	Spectrogram 1	1	3406.866715357	3410.046714253	5381.818	5915.152	3.1800	533.333	-53.35	Birds
27	Spectrogram 1	1	3410.902226106	3411.250225985	5381.818	5987.879	0.3480	606.061	-50.60	Birds
28	Spectrogram 1	1	3411.766225806	3412.198225656	5381.818	5915.152	0.4320	533.333	-51.87	Birds
29	Spectrogram 1	1	3412.918225406	3413.782225106	5357.576	5915.152	0.8640	557.576	-52.34	Birds
30	Spectrogram 1	1	3414.154224977	3414.610224818	5309.091	5890.909	0.4560	581.818	-53.72	Birds
31	Spectrogram 1	1	3415.378224552	3415.858224385	5236.364	5939.394	0.4800	703.030	-53.74	Birds
32	Spectrogram 1	1	3416.566224139	3417.790223714	5260.606	5963.636	1.2240	703.030	-53.67	Birds
33	Spectrogram 1	1	3418.402223502	3419.999979167	5284.848	5987.879	1.5978	703.030	-54.99	Birds
34	Spectrogram 1	1	3402.408863204	3411.888859913	17579.937	20464.786	9.4800	2884.848	-61.60	Possible bats
35	Spectrogram 1	1	3385.721844607	3389.033843457	18864.786	20561.755	3.3120	1696.970	-62.41	Possible bats
