Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	5340.499537292	5340.707677830	7143.799	7628.672	0.2081	484.873	-68.22	Birds
2	Spectrogram 1	1	5340.929694404	5341.151710978	6852.875	8178.195	0.2220	1325.320	-66.79	Birds
3	Spectrogram 1	1	5341.262719266	5341.554116019	6852.875	7887.271	0.2914	1034.396	-66.28	Birds
4	Spectrogram 1	1	5342.476872405	5342.754393123	5818.479	6432.651	0.2775	614.173	-64.72	Birds
5	Spectrogram 1	1	5341.734504486	5341.977335114	3717.361	4363.859	0.2428	646.498	-60.62	Birds
6	Spectrogram 1	1	5341.665124306	5341.810822683	5365.930	7531.697	0.1457	2165.767	-68.13	Birds
7	Spectrogram 1	1	5342.948657626	5343.267806451	3943.636	4848.732	0.3191	905.097	-53.21	Birds
8	Spectrogram 1	1	5342.018963221	5342.754393123	2327.391	3103.189	0.7354	775.797	-60.65	Birds
9	Spectrogram 1	1	5342.657260872	5343.205364289	2133.442	2682.965	0.5481	549.523	-59.27	Birds
10	Spectrogram 1	1	5343.031913841	5343.288620505	1163.696	1745.544	0.2567	581.848	-59.42	Birds
11	Spectrogram 1	1	5343.212302307	5343.406566810	2198.092	7111.474	0.1943	4913.382	-56.65	Birds
12	Spectrogram 1	1	5343.378814738	5343.455132935	2392.041	8081.220	0.0763	5689.179	-54.14	Birds
13	Spectrogram 1	1	5343.469008971	5343.580017258	2618.315	8824.693	0.1110	6206.377	-53.52	Birds
14	Spectrogram 1	1	5343.586955276	5343.691025545	2101.117	8921.667	0.1041	6820.550	-54.84	Birds
15	Spectrogram 1	1	5343.732653653	5343.815909868	2165.767	8339.819	0.0833	6174.052	-55.52	Birds
16	Spectrogram 1	1	5343.829785904	5343.899166084	2327.391	7757.972	0.0694	5430.580	-56.77	Birds
17	Spectrogram 1	1	5343.892228066	5344.037926443	2165.767	7305.423	0.1457	5139.656	-52.71	Birds
19	Spectrogram 1	1	5344.100368604	5344.239128963	2198.092	6982.174	0.1388	4784.082	-48.10	Birds
20	Spectrogram 1	1	5344.364013286	5344.523587699	1939.493	5947.778	0.1596	4008.285	-53.12	Birds
21	Spectrogram 1	1	5344.454207519	5344.773356344	1519.269	5559.880	0.3191	4040.610	-55.36	Birds
22	Spectrogram 1	1	5344.842736524	5345.009248954	1131.371	5495.230	0.1665	4363.859	-56.53	Birds
23	Spectrogram 1	1	5345.064753098	5345.231265529	1292.995	5527.555	0.1665	4234.559	-54.98	Birds
24	Spectrogram 1	1	5345.231265529	5345.439406067	1292.995	5430.580	0.2081	4137.585	-58.36	Birds
25	Spectrogram 1	1	5345.522662282	5345.682236695	1486.945	5527.555	0.1596	4040.610	-59.22	Birds
26	Spectrogram 1	1	5346.154021915	5346.403790561	2682.965	4913.382	0.2498	2230.417	-63.40	Birds
27	Spectrogram 1	1	5346.417666597	5346.827009655	2553.666	3297.138	0.4093	743.472	-58.85	Birds
28	Spectrogram 1	1	5347.111468391	5347.486121360	2585.991	3264.813	0.3747	678.823	-58.51	Birds
29	Spectrogram 1	1	5347.796253503	5348.163968454	2618.315	3264.813	0.3677	646.498	-59.13	Birds
30	Spectrogram 1	1	5348.725947908	5349.072848805	2456.691	3297.138	0.3469	840.447	-60.16	Birds
31	Spectrogram 1	1	5349.690332402	5350.044171317	2553.666	3200.163	0.3538	646.498	-58.91	Birds
32	Spectrogram 1	1	5350.706513229	5350.852211606	2806.918	5646.100	0.1457	2839.182	-57.56	Birds
33	Spectrogram 1	1	5351.032600073	5351.323996826	7323.798	7710.959	0.2914	387.161	-68.00	Birds
34	Spectrogram 1	1	5351.157484396	5351.441943131	2548.811	3161.816	0.2845	613.005	-56.82	Birds
35	Spectrogram 1	1	5351.469695203	5351.830472136	2548.811	3419.923	0.3608	871.113	-57.15	Birds
36	Spectrogram 1	1	5351.823534118	5352.219001141	1871.279	5581.573	0.3955	3710.294	-57.52	Birds
37	Spectrogram 1	1	5352.073302764	5352.517335912	1968.069	5387.992	0.4440	3419.923	-54.45	Birds
38	Spectrogram 1	1	5352.343885464	5352.822608702	1839.015	5549.309	0.4787	3710.294	-56.80	Birds
39	Spectrogram 1	1	5352.635282217	5352.891988881	1129.220	1935.806	0.2567	806.586	-59.48	Birds
