Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	4560.000000000	4619.711979267	5575.758	6303.030	59.7120	727.273	-70.67	Insects
2	Spectrogram 1	1	4560.237587796	4560.364866972	8331.004	9770.930	0.1273	1439.927	-72.55	Birds
3	Spectrogram 1	1	4560.229102518	4560.407293365	3942.656	4971.175	0.1782	1028.519	-69.41	Birds
4	Spectrogram 1	1	4560.330925859	4560.627910604	1542.778	2434.162	0.2970	891.383	-69.42	Birds
5	Spectrogram 1	1	4560.755189780	4561.009748133	1131.371	2365.594	0.2546	1234.223	-72.10	Birds
6	Spectrogram 1	1	4561.374615105	4561.764937913	1234.223	4594.051	0.3903	3359.829	-59.99	Birds
7	Spectrogram 1	1	4562.206172391	4562.706803819	6376.818	10730.881	0.5006	4354.064	-68.49	Birds
8	Spectrogram 1	1	4562.477701301	4562.842568273	3599.816	6719.657	0.3649	3119.841	-69.58	Birds
9	Spectrogram 1	1	4562.868024109	4563.215920524	1714.198	4971.175	0.3479	3256.977	-54.03	Birds
10	Spectrogram 1	1	4564.590535630	4565.031770108	1817.050	5005.459	0.4412	3188.409	-62.49	Birds
11	Spectrogram 1	1	4564.675388414	4565.235416790	6273.966	10456.609	0.5600	4182.644	-67.25	Birds
12	Spectrogram 1	1	4565.057225943	4565.294813739	3805.520	6342.534	0.2376	2537.013	-67.46	Birds
13	Spectrogram 1	1	4565.897268507	4566.109400468	2571.297	4696.903	0.2121	2125.606	-69.79	Birds
14	Spectrogram 1	1	4565.651195433	4565.897268507	2708.433	3668.384	0.2461	959.951	-74.20	Birds
15	Spectrogram 1	1	4566.126371025	4566.508208554	1988.470	4868.323	0.3818	2879.853	-55.80	Birds
16	Spectrogram 1	1	4566.737311072	4567.042781095	4182.644	5211.163	0.3055	1028.519	-68.58	Birds
17	Spectrogram 1	1	4567.229457221	4567.433103903	3325.545	5142.595	0.2036	1817.050	-69.92	Birds
18	Spectrogram 1	1	4566.957928311	4567.161574993	2537.013	4525.483	0.2036	1988.470	-73.14	Birds
19	Spectrogram 1	1	4567.823426711	4568.171323126	2194.174	5074.027	0.3479	2879.853	-51.82	Birds
20	Spectrogram 1	1	4568.485278428	4569.062277361	3256.977	10696.597	0.5770	7439.620	-70.46	Birds
