Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	40321.815849584	40322.291025176	3186.885	5075.410	0.4752	1888.525	-61.63	Birds
2	Spectrogram 1	1	40324.174756987	40324.607506186	3068.852	5114.754	0.4327	2045.902	-61.98	Birds
3	Spectrogram 1	1	40325.948180178	40326.253650201	3383.607	4367.213	0.3055	983.607	-67.62	Birds
4	Spectrogram 1	1	40326.627002452	40327.076722209	2990.164	5114.754	0.4497	2124.590	-62.77	Birds
5	Spectrogram 1	1	40328.879468875	40329.397070859	3029.508	5114.754	0.5176	2085.246	-64.08	Birds
6	Spectrogram 1	1	40331.611728529	40332.061448286	2990.164	5036.066	0.4497	2045.902	-65.04	Birds
7	Spectrogram 1	1	40332.935431964	40333.470004505	2400.000	3659.016	0.5346	1259.016	-65.89	Birds
8	Spectrogram 1	1	40334.445811524	40334.912501838	3108.197	5114.754	0.4667	2006.557	-64.08	Birds
9	Spectrogram 1	1	40336.685925029	40337.076247837	3304.918	5311.475	0.3903	2006.557	-62.16	Birds
10	Spectrogram 1	1	40338.965584571	40339.389848492	3304.918	5193.443	0.4243	1888.525	-62.43	Birds
11	Spectrogram 1	1	40341.528138656	40341.986343691	3226.230	5311.475	0.4582	2085.246	-62.86	Birds
12	Spectrogram 1	1	40344.040158861	40344.532305010	3304.918	5390.164	0.4921	2085.246	-63.79	Birds
13	Spectrogram 1	1	40346.577257111	40347.018491590	2911.475	5154.098	0.4412	2242.623	-63.00	Birds
14	Spectrogram 1	1	40349.156781754	40349.547104561	3147.541	5311.475	0.3903	2163.934	-63.97	Birds
15	Spectrogram 1	1	40348.749488389	40349.165267032	2832.787	3422.951	0.4158	590.164	-64.91	Birds
16	Spectrogram 1	1	40352.310888282	40352.726666925	3304.918	4996.721	0.4158	1691.803	-63.80	Birds
17	Spectrogram 1	1	40354.924354038	40355.340132681	3344.262	5154.098	0.4158	1809.836	-63.71	Birds
18	Spectrogram 1	1	40358.749839900	40359.004398252	3816.393	5508.197	0.2546	1691.803	-64.94	Birds
19	Spectrogram 1	1	40362.706442244	40363.113735608	3777.049	5075.410	0.4073	1298.361	-64.95	Birds
20	Spectrogram 1	1	40363.928322337	40364.369556816	3265.574	5901.639	0.4412	2636.066	-63.30	Birds
21	Spectrogram 1	1	40366.049641944	40366.533302815	3265.574	5311.475	0.4837	2045.902	-64.34	Birds
22	Spectrogram 1	1	40367.593962618	40368.103079324	3068.852	5586.885	0.5091	2518.033	-63.94	Birds
23	Spectrogram 1	1	40370.017177013	40370.602661224	2990.164	6059.016	0.5855	3068.852	-62.38	Birds
24	Spectrogram 1	1	40372.342143302	40372.673069161	3501.639	4642.623	0.3309	1140.984	-67.17	Birds
25	Spectrogram 1	1	40374.302242619	40374.633168478	3304.918	5036.066	0.3309	1731.148	-66.12	Birds
26	Spectrogram 1	1	40375.634431332	40375.973842469	3501.639	4918.033	0.3394	1416.393	-60.23	Birds
