Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	41580.000000000	41639.999979167	4848.485	6351.515	60.0000	1503.030	-55.00	Insects
2	Spectrogram 1	1	41580.763675059	41581.001262855	3418.182	4509.091	0.2376	1090.909	-66.97	Birds
3	Spectrogram 1	1	41580.857013121	41581.255821207	3078.788	6933.333	0.3988	3854.545	-58.41	Birds
4	Spectrogram 1	1	41581.866761254	41582.299510454	1987.879	2981.818	0.4327	993.939	-59.26	Birds
5	Spectrogram 1	1	41581.756452635	41581.900702368	1818.182	2521.212	0.1442	703.030	-65.03	Birds
6	Spectrogram 1	1	41582.664377426	41583.046214956	1357.576	2812.121	0.3818	1454.545	-57.36	Birds
7	Spectrogram 1	1	41582.121319607	41582.358907403	1212.121	2230.303	0.2376	1018.182	-64.75	Birds
8	Spectrogram 1	1	41582.443760187	41582.655892148	1284.848	2472.727	0.2121	1187.879	-64.19	Birds
9	Spectrogram 1	1	41583.385626093	41583.640184446	1745.455	2836.364	0.2546	1090.909	-56.78	Birds
10	Spectrogram 1	1	41583.080156069	41583.317743865	1187.879	2424.242	0.2376	1236.364	-64.71	Birds
11	Spectrogram 1	1	41584.302036163	41585.006314272	1309.091	3127.273	0.7043	1818.182	-60.19	Birds
12	Spectrogram 1	1	41585.464519308	41585.965150735	1866.667	3612.121	0.5006	1745.455	-59.30	Birds
13	Spectrogram 1	1	41586.058488798	41586.355473543	1575.758	4727.273	0.2970	3151.515	-58.57	Birds
14	Spectrogram 1	1	41586.516693833	41588.256175910	1648.485	4242.424	1.7395	2593.939	-58.15	Birds
15	Spectrogram 1	1	41591.531176294	41591.845131595	3054.545	4678.788	0.3140	1624.242	-60.90	Birds
16	Spectrogram 1	1	41592.218483846	41592.362733579	3806.061	4581.818	0.1442	775.758	-69.29	Birds
17	Spectrogram 1	1	41592.803968058	41593.016100018	3393.939	4484.848	0.2121	1090.909	-65.80	Birds
18	Spectrogram 1	1	41593.380966991	41593.559157838	3515.152	4290.909	0.1782	775.758	-68.19	Birds
