Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.105538289	2.849533800	7741.935	10092.166	2.7440	2350.231	-77.72	Insects
2	Spectrogram 1	1	4.517038765	9.625091948	8073.733	9898.618	5.1081	1824.885	-76.70	Insects
3	Spectrogram 1	1	10.363859970	13.888838820	8149.254	9970.149	3.5250	1820.895	-77.27	Insects
4	Spectrogram 1	1	15.303051891	17.814863167	8000.000	9761.194	2.5118	1761.194	-76.23	Insects
5	Spectrogram 1	1	18.325964970	27.064535291	8000.000	9910.448	8.7386	1910.448	-76.87	Insects
6	Spectrogram 1	1	27.803303313	33.396832625	7910.448	9910.448	5.5935	2000.000	-76.82	Insects
7	Spectrogram 1	1	54.706139024	59.983053469	7910.448	9850.746	5.2769	1940.298	-78.76	Insects
8	Spectrogram 1	1	33.522783078	33.754967313	5223.881	9671.642	0.2322	4447.761	-71.34	Insects
9	Spectrogram 1	1	0.000000000	0.111940260	2406.274	3313.903	0.1119	907.629	-69.46	Birds
10	Spectrogram 1	1	2.104476881	2.231342509	2490.704	3440.549	0.1269	949.845	-65.19	Birds
11	Spectrogram 1	1	3.268655581	3.417909261	2511.812	3736.057	0.1493	1224.245	-65.35	Birds
12	Spectrogram 1	1	3.522386837	3.671640516	2638.458	4221.533	0.1493	1583.075	-67.34	Birds
13	Spectrogram 1	1	3.634327096	3.805968828	1097.599	2174.090	0.1716	1076.491	-71.98	Birds
14	Spectrogram 1	1	3.985073243	4.216416446	1203.137	2258.520	0.2313	1055.383	-73.19	Birds
15	Spectrogram 1	1	3.955222507	4.141789607	2743.996	4411.502	0.1866	1667.506	-71.78	Birds
16	Spectrogram 1	1	4.626864065	4.858207268	2554.027	4580.363	0.2313	2026.336	-70.89	Birds
17	Spectrogram 1	1	4.619401381	4.835819216	1160.922	2300.735	0.2164	1139.813	-73.56	Birds
18	Spectrogram 1	1	5.051191789	5.342236465	1266.460	4517.040	0.2910	3250.580	-70.29	Birds
19	Spectrogram 1	1	5.625818456	5.782534819	3187.257	4685.902	0.1567	1498.645	-67.93	Birds
20	Spectrogram 1	1	5.849698975	6.088504862	1308.675	4664.794	0.2388	3356.119	-67.80	Birds
21	Spectrogram 1	1	6.603430056	6.909400100	1266.460	4517.040	0.3060	3250.580	-69.03	Birds
22	Spectrogram 1	1	7.006414991	7.200444775	2617.350	3356.119	0.1940	738.769	-71.23	Birds
23	Spectrogram 1	1	6.103430230	6.521340533	2364.058	4474.825	0.4179	2110.767	-72.35	Birds
24	Spectrogram 1	1	7.939250488	8.245220531	1266.460	4538.148	0.3060	3271.688	-69.81	Birds
25	Spectrogram 1	1	8.401936895	8.633280098	2532.920	3820.487	0.2313	1287.567	-73.36	Birds
26	Spectrogram 1	1	9.911975729	10.128393564	2089.659	3335.011	0.2164	1245.352	-73.77	Birds
27	Spectrogram 1	1	10.165706984	10.307497980	2659.566	4453.717	0.1418	1794.151	-72.21	Birds
28	Spectrogram 1	1	10.479139711	10.785109754	1097.599	4010.456	0.3060	2912.857	-69.61	Birds
29	Spectrogram 1	1	12.837347847	12.956750791	1794.152	3229.473	0.1194	1435.321	-71.68	Birds
30	Spectrogram 1	1	17.571436309	17.862480984	2786.212	3335.011	0.2910	548.799	-73.58	Birds
31	Spectrogram 1	1	18.698301589	18.825167217	1815.259	2638.458	0.1269	823.199	-73.73	Birds
32	Spectrogram 1	1	21.350933246	21.410634717	2469.597	3208.365	0.0597	738.768	-70.61	Birds
33	Spectrogram 1	1	21.813619652	22.119589695	3503.872	4010.456	0.3060	506.584	-75.49	Birds
34	Spectrogram 1	1	22.350932898	22.470335842	2722.889	3377.226	0.1194	654.337	-70.95	Birds
35	Spectrogram 1	1	22.895708829	23.179290820	3461.657	3883.810	0.2836	422.153	-72.74	Birds
36	Spectrogram 1	1	24.134514369	24.313618784	2617.350	3841.595	0.1791	1224.245	-70.37	Birds
37	Spectrogram 1	1	23.000186404	23.209141556	1751.936	3102.827	0.2090	1350.891	-74.14	Birds
38	Spectrogram 1	1	24.641976879	24.731529087	1836.367	2279.628	0.0896	443.261	-68.80	Birds
39	Spectrogram 1	1	25.253916965	25.634513848	2786.212	3208.365	0.3806	422.153	-69.96	Birds
40	Spectrogram 1	1	25.925558523	26.418095665	2659.566	3440.549	0.4925	780.983	-68.17	Birds
41	Spectrogram 1	1	26.913403962	27.316388897	2765.104	3229.473	0.4030	464.369	-70.82	Birds
42	Spectrogram 1	1	27.099971062	27.308926213	3187.257	3461.657	0.2090	274.400	-71.37	Birds
43	Spectrogram 1	1	27.838776775	28.428328809	2596.243	3250.580	0.5896	654.337	-70.31	Birds
44	Spectrogram 1	1	28.823851060	28.973104740	2722.889	3503.872	0.1493	780.983	-70.02	Birds
45	Spectrogram 1	1	29.726835821	29.988029760	2638.458	3947.133	0.2612	1308.675	-67.85	Birds
