Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	8400.526087263	8400.687307553	4872.727	5793.939	0.1612	921.212	-63.54	Birds
2	Spectrogram 1	1	8400.644881161	8400.831557286	5284.848	6496.970	0.1867	1212.121	-71.97	Birds
3	Spectrogram 1	1	8401.153997866	8401.425526776	4290.909	5818.182	0.2715	1527.273	-59.95	Birds
4	Spectrogram 1	1	8400.738219223	8401.077630360	2690.909	4630.303	0.3394	1939.394	-63.43	Birds
5	Spectrogram 1	1	8401.366129827	8401.561291231	2181.818	3927.273	0.1952	1745.455	-66.40	Birds
6	Spectrogram 1	1	8402.537098250	8402.732259654	3175.758	5503.030	0.1952	2327.273	-77.89	Birds
7	Spectrogram 1	1	8402.358907403	8402.486186579	2812.121	3200.000	0.1273	387.879	-75.87	Birds
8	Spectrogram 1	1	8400.033941114	8404.081418924	9212.121	9963.636	4.0475	751.515	-66.82	Insects
9	Spectrogram 1	1	8403.470478877	8403.750493065	7296.970	7951.515	0.2800	654.545	-78.06	Birds
10	Spectrogram 1	1	8404.539623959	8405.634224876	2909.091	4048.485	1.0946	1139.394	-78.91	Birds
11	Spectrogram 1	1	8407.729524737	8407.848318635	4896.970	5309.091	0.1188	412.121	-73.23	Birds
12	Spectrogram 1	1	8407.958627254	8408.018024203	3975.758	4509.091	0.0594	533.333	-73.48	Birds
13	Spectrogram 1	1	8407.984083089	8408.298038391	2448.485	3224.242	0.3140	775.758	-66.15	Birds
14	Spectrogram 1	1	8408.340464783	8408.586537858	4290.909	5503.030	0.2461	1212.121	-71.42	Birds
15	Spectrogram 1	1	8408.569567301	8408.773213983	2206.061	4000.000	0.2036	1793.939	-74.40	Birds
16	Spectrogram 1	1	8406.719776604	8408.908978438	703.030	1260.606	2.1892	557.576	-74.79	Birds
17	Spectrogram 1	1	8405.769425420	8413.516484625	8945.455	9963.636	7.7471	1018.182	-71.32	Insects
18	Spectrogram 1	1	8407.245863866	8409.545374320	10206.061	10545.455	2.2995	339.394	-75.20	Insects
19	Spectrogram 1	1	8409.121357187	8414.679214557	266.667	630.303	5.5579	363.636	-66.41	Mammals
20	Spectrogram 1	1	8414.407685648	8414.585876495	4945.455	5503.030	0.1782	557.576	-73.11	Birds
21	Spectrogram 1	1	8414.594361773	8414.772552620	4266.667	4630.303	0.1782	363.636	-72.27	Birds
22	Spectrogram 1	1	8414.687699836	8414.933772910	2690.909	3612.121	0.2461	921.212	-65.08	Birds
23	Spectrogram 1	1	8415.027110973	8415.290154604	4193.939	5842.424	0.2630	1648.485	-65.75	Birds
24	Spectrogram 1	1	8415.307125161	8415.451374894	2569.697	3951.515	0.1442	1381.818	-68.65	Birds
25	Spectrogram 1	1	8414.534964824	8414.713155671	5357.576	6278.788	0.1782	921.212	-78.31	Birds
26	Spectrogram 1	1	8414.822205400	8417.452641713	8484.848	9454.545	2.6304	969.697	-74.50	Insects
27	Spectrogram 1	1	8413.931251165	8417.215053917	9963.636	10690.909	3.2838	727.273	-72.60	Insects
28	Spectrogram 1	1	8417.639317838	8421.118281994	10206.061	10787.879	3.4790	581.818	-70.63	Insects
29	Spectrogram 1	1	8417.944787862	8423.018984362	8751.515	9648.485	5.0742	896.970	-68.77	Insects
30	Spectrogram 1	1	8415.313077475	8415.474297765	509.091	775.758	0.1612	266.667	-73.00	Domestic mammals
31	Spectrogram 1	1	8416.195546432	8416.348281444	412.121	775.758	0.1527	363.636	-72.34	Domestic mammals
32	Spectrogram 1	1	8417.052559553	8417.179838730	412.121	896.970	0.1273	484.848	-71.87	Domestic mammals
33	Spectrogram 1	1	8417.892602117	8418.053822408	533.333	848.485	0.1612	315.152	-71.92	Domestic mammals
34	Spectrogram 1	1	8418.749615239	8418.927806086	436.364	727.273	0.1782	290.909	-73.11	Domestic mammals
