Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	15906.549488938	15906.799257584	636.042	1017.668	0.2498	381.625	-64.40	Birds
2	Spectrogram 1	1	15907.076778301	15907.229414696	657.244	932.862	0.1526	275.618	-64.03	Birds
3	Spectrogram 1	1	15908.672522428	15908.908415038	678.445	975.265	0.2359	296.820	-65.68	Birds
4	Spectrogram 1	1	15909.213687828	15909.407952330	551.237	932.862	0.1943	381.625	-67.58	Birds
5	Spectrogram 1	1	15910.518035201	15910.767803847	742.049	975.265	0.2498	233.216	-65.98	Birds
6	Spectrogram 1	1	15911.059200600	15911.156332852	763.251	911.661	0.0971	148.410	-63.30	Birds
7	Spectrogram 1	1	15913.057349768	15913.307118414	805.654	1060.071	0.2498	254.417	-66.53	Birds
8	Spectrogram 1	1	15913.584639131	15913.737275526	763.251	1017.668	0.1526	254.417	-67.29	Birds
9	Spectrogram 1	1	15904.787232380	15905.023124990	593.640	1081.272	0.2359	487.633	-68.23	Birds
10	Spectrogram 1	1	15905.286769672	15905.439406067	551.237	975.265	0.1526	424.028	-69.35	Birds
11	Spectrogram 1	1	15900.901942333	15901.165587014	1823.322	2204.947	0.2636	381.625	-68.65	Birds
12	Spectrogram 1	1	15901.262719266	15901.484735840	1780.919	2586.572	0.2220	805.654	-74.65	Birds
13	Spectrogram 1	1	15902.913967536	15903.163736182	1908.127	2204.947	0.2498	296.820	-64.95	Birds
14	Spectrogram 1	1	15903.302496541	15903.524513115	1759.717	2586.572	0.2220	826.855	-73.42	Birds
15	Spectrogram 1	1	15903.913042120	15904.759480309	1929.329	2586.572	0.8464	657.244	-74.12	Birds
16	Spectrogram 1	1	15905.148009313	15905.356149852	1717.314	2098.940	0.2081	381.625	-65.83	Birds
17	Spectrogram 1	1	15905.023124990	15905.758554892	1865.724	2734.982	0.7354	869.258	-71.72	Birds
18	Spectrogram 1	1	15906.049951646	15906.452356687	1780.919	2522.968	0.4024	742.049	-71.36	Birds
19	Spectrogram 1	1	15901.942645024	15902.345050065	1886.926	2840.989	0.4024	954.064	-77.22	Birds
20	Spectrogram 1	1	15907.382051091	15907.895464419	1844.523	2607.774	0.5134	763.251	-74.39	Birds
21	Spectrogram 1	1	15907.964844598	15908.852910895	2438.163	3031.802	0.8881	593.640	-76.21	Birds
22	Spectrogram 1	1	15909.598069602	15910.139235001	1823.322	2353.357	0.5412	530.035	-74.30	Birds
23	Spectrogram 1	1	15910.833036796	15911.055053370	1992.933	2862.191	0.2220	869.258	-73.38	Birds
24	Spectrogram 1	1	15912.761805784	15912.928318214	1717.314	2353.357	0.1665	636.042	-71.30	Birds
25	Spectrogram 1	1	15913.955144870	15914.510186305	1971.731	2565.371	0.5550	593.640	-73.82	Birds
26	Spectrogram 1	1	15912.081880025	15912.331648671	4727.915	5406.360	0.2498	678.445	-77.97	Birds
27	Spectrogram 1	1	15919.374188998	15919.554577464	657.244	1060.071	0.1804	402.827	-68.43	Birds
28	Spectrogram 1	1	15919.818222146	15920.095742864	636.042	1017.668	0.2775	381.625	-68.10	Birds
29	Spectrogram 1	1	15921.191949699	15921.483346452	657.244	996.466	0.2914	339.223	-66.28	Birds
30	Spectrogram 1	1	15921.663734919	15921.746991134	720.848	975.265	0.0833	254.417	-70.34	Birds
