Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	40380.686828735	40386.279577005	8251.429	8982.857	5.5927	731.429	-68.02	Insects
2	Spectrogram 1	1	40394.541145502	40399.486312394	8388.571	9142.857	4.9452	754.286	-69.58	Insects
3	Spectrogram 1	1	40408.383629470	40413.917506705	8297.143	9051.429	5.5339	754.286	-68.14	Insects
4	Spectrogram 1	1	40423.120405434	40428.222561750	8342.857	8960.000	5.1022	617.143	-68.82	Insects
5	Spectrogram 1	1	40436.436620114	40439.999979167	8411.429	8960.000	3.5634	548.571	-68.48	Insects
6	Spectrogram 1	1	40381.334410114	40382.040862527	6765.714	7268.571	0.7065	502.857	-71.94	Birds
7	Spectrogram 1	1	40380.333602528	40380.588710344	2765.714	3520.000	0.2551	754.286	-71.01	Birds
8	Spectrogram 1	1	40380.000000000	40380.117742069	2560.000	3085.714	0.1177	525.714	-70.01	Birds
9	Spectrogram 1	1	40383.394896318	40383.650004134	4800.000	5302.857	0.2551	502.857	-64.91	Birds
10	Spectrogram 1	1	40384.081725053	40384.474198616	3245.714	5965.714	0.3925	2720.000	-67.27	Birds
11	Spectrogram 1	1	40383.728498847	40384.062101375	3794.286	5302.857	0.3336	1508.571	-66.72	Birds
12	Spectrogram 1	1	40385.416135167	40385.631995626	4342.857	5462.857	0.2159	1120.000	-68.58	Birds
13	Spectrogram 1	1	40385.141403673	40385.533877236	4114.286	4662.857	0.3925	548.571	-67.72	Birds
14	Spectrogram 1	1	40385.710490339	40386.024469189	4160.000	4982.857	0.3140	822.857	-67.73	Birds
15	Spectrogram 1	1	40385.769361373	40386.259953327	2148.571	3520.000	0.4906	1371.429	-69.71	Birds
16	Spectrogram 1	1	40384.945166891	40385.219898385	5051.429	5417.143	0.2747	365.714	-72.82	Birds
17	Spectrogram 1	1	40384.199467122	40384.474198616	2491.429	3222.857	0.2747	731.429	-70.72	Birds
18	Spectrogram 1	1	40388.281192175	40388.497052635	3840.000	4434.286	0.2159	594.286	-72.08	Birds
19	Spectrogram 1	1	40390.930388724	40391.343159514	3382.857	4571.429	0.4128	1188.571	-72.06	Birds
20	Spectrogram 1	1	40394.718432154	40394.895045258	3245.714	3702.857	0.1766	457.143	-72.36	Birds
21	Spectrogram 1	1	40397.209247114	40397.425107573	4535.780	5460.550	0.2159	924.771	-72.15	Birds
22	Spectrogram 1	1	40392.359856892	40392.605152868	2642.202	4348.624	0.2453	1706.422	-72.88	Birds
23	Spectrogram 1	1	40396.942867555	40397.090045141	2972.477	3368.807	0.1472	396.330	-70.63	Birds
24	Spectrogram 1	1	40397.688567324	40397.806309393	4348.624	5097.248	0.1177	748.624	-69.68	Birds
25	Spectrogram 1	1	40397.904427784	40398.081040887	4139.450	4943.119	0.1766	803.670	-71.36	Birds
26	Spectrogram 1	1	40397.502142382	40397.816121232	2807.339	3148.624	0.3140	341.284	-70.01	Birds
27	Spectrogram 1	1	40399.238837898	40399.444886518	3930.275	4855.046	0.2060	924.771	-72.30	Birds
28	Spectrogram 1	1	40400.347575712	40400.484941459	4480.734	4855.046	0.1374	374.312	-68.47	Birds
29	Spectrogram 1	1	40400.592871689	40400.740049275	3699.083	4260.550	0.1472	561.468	-67.67	Birds
30	Spectrogram 1	1	40399.621499621	40400.131715253	4128.440	4744.954	0.5102	616.514	-69.93	Birds
31	Spectrogram 1	1	40400.445694103	40400.553624333	2906.422	3555.963	0.1079	649.541	-69.85	Birds
32	Spectrogram 1	1	40400.740049275	40400.808732149	2234.862	3126.606	0.0687	891.743	-71.51	Birds
33	Spectrogram 1	1	40395.127677327	40395.323914109	2433.028	2851.376	0.1962	418.349	-72.07	Birds
34	Spectrogram 1	1	40401.023764932	40401.524168725	6717.296	7223.718	0.5004	506.422	-71.79	Birds
35	Spectrogram 1	1	40399.330305559	40399.374458834	1790.472	3767.776	0.0442	1977.304	-68.95	Birds
36	Spectrogram 1	1	40399.448047627	40399.531448260	2864.756	3783.346	0.0834	918.590	-71.88	Birds
37	Spectrogram 1	1	40399.703155443	40399.845427110	2615.646	3907.900	0.1423	1292.254	-72.59	Birds
38	Spectrogram 1	1	40401.591303550	40401.841505446	3658.791	6663.671	0.2502	3004.879	-71.94	Birds
39	Spectrogram 1	1	40401.169394470	40401.517714757	3876.762	5807.358	0.3483	1930.596	-72.78	Birds
40	Spectrogram 1	1	40405.934968748	40406.474619897	3456.390	6554.685	0.5397	3098.295	-71.43	Birds
41	Spectrogram 1	1	40408.010172712	40408.559635699	6601.393	7177.458	0.5495	576.065	-71.36	Birds
42	Spectrogram 1	1	40380.201142701	40380.412097241	46.967	500.976	0.2110	454.010	-61.33	Domestic mammals
43	Spectrogram 1	1	40383.399802238	40383.802087640	62.622	532.287	0.4023	469.665	-57.20	Domestic mammals
44	Spectrogram 1	1	40383.949265226	40384.645905800	62.622	532.287	0.6966	469.665	-56.51	Domestic mammals
45	Spectrogram 1	1	40384.879146400	40385.212748928	0.000	532.287	0.3336	532.287	-60.29	Domestic mammals
46	Spectrogram 1	1	40386.944538524	40387.577402144	78.278	673.187	0.6329	594.909	-59.26	Domestic mammals
47	Spectrogram 1	1	40387.685332374	40388.234795362	46.967	532.287	0.5495	485.321	-59.79	Domestic mammals
