Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	16320.000000000	16379.999979167	4178.914	4638.978	60.0000	460.064	-48.79	Amphibians
2	Spectrogram 1	1	16320.817244091	16321.678426035	4849.840	5252.396	0.8612	402.556	-56.24	Insects
3	Spectrogram 1	1	16322.838385390	16323.602904055	4849.840	5252.396	0.7645	402.556	-55.96	insects
4	Spectrogram 1	1	16326.933393413	16327.891238637	4830.671	5367.412	0.9578	536.741	-57.05	Insects
5	Spectrogram 1	1	16328.763423227	16329.826719301	4773.163	5309.904	1.0633	536.741	-56.77	Insects
6	Spectrogram 1	1	16330.942740801	16331.742409750	4869.010	5329.073	0.7997	460.064	-55.81	Insects
7	Spectrogram 1	1	16332.796918254	16333.622949915	4926.518	5329.073	0.8260	402.556	-55.22	Insects
8	Spectrogram 1	1	16334.905541735	16335.696423113	4869.010	5309.904	0.7909	440.895	-55.61	insects
9	Spectrogram 1	1	16336.803657042	16337.787864979	4926.518	5290.735	0.9842	364.217	-54.97	Insects
10	Spectrogram 1	1	16338.692984778	16339.650830003	4926.518	5309.904	0.9578	383.387	-55.51	Insects
11	Spectrogram 1	1	16340.820373535	16341.866094468	4945.687	5348.243	1.0457	402.556	-56.78	Insects
12	Spectrogram 1	1	16342.753639126	16343.500582649	4964.856	5348.243	0.7469	383.387	-55.89	Insects
13	Spectrogram 1	1	16344.511153299	16345.381122815	4964.856	5348.243	0.8700	383.387	-56.34	Insects
14	Spectrogram 1	1	16346.330637065	16347.270907148	4907.348	5290.735	0.9403	383.387	-55.43	Insects
15	Spectrogram 1	1	16348.079363668	16348.922970471	4926.518	5233.227	0.8436	306.709	-53.89	Insects
16	Spectrogram 1	1	16350.526675379	16351.264831332	4964.856	5329.073	0.7382	364.217	-54.08	Insects
17	Spectrogram 1	1	16352.336914977	16353.242034777	4907.348	5309.904	0.9051	402.556	-55.19	Insects
18	Spectrogram 1	1	16354.120510081	16354.920179030	4926.518	5290.735	0.7997	364.217	-54.61	Insects
19	Spectrogram 1	1	16355.860449112	16356.835869478	4964.856	5290.735	0.9754	325.879	-55.38	Insects
20	Spectrogram 1	1	16357.793714703	16358.672471789	4926.518	5252.396	0.8788	325.879	-54.90	Insects
21	Spectrogram 1	1	16359.511376283	16360.337407944	4984.026	5309.904	0.8260	325.879	-55.95	Insects
22	Spectrogram 1	1	16361.339191023	16362.094922117	4888.179	5271.565	0.7557	383.387	-55.09	Insects
23	Spectrogram 1	1	16363.087917625	16364.151213700	4888.179	5367.412	1.0633	479.233	-56.83	Insects
24	Spectrogram 1	1	16364.948900684	16365.801295058	4945.687	5271.565	0.8524	325.879	-54.80	insects
25	Spectrogram 1	1	16366.820653278	16367.637897369	4907.348	5329.073	0.8172	421.725	-55.06	Insects
26	Spectrogram 1	1	16368.832273436	16369.640729956	4926.518	5194.888	0.8085	268.371	-53.81	insects
27	Spectrogram 1	1	16370.721601173	16371.644296113	4964.856	5271.565	0.9227	306.709	-54.98	Insects
28	Spectrogram 1	1	16372.646079192	16373.507261137	4926.518	5290.735	0.8612	364.217	-54.38	Insects
