Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	17820.000000000	17879.999979167	2424.242	2812.121	60.0000	387.879	-63.71	Amphibians
2	Spectrogram 1	1	17873.058316949	17878.146315183	2957.576	3442.424	5.0880	484.848	-65.18	Amphibians
3	Spectrogram 1	1	17878.962314899	17879.999979167	3030.303	3345.455	1.0377	315.152	-64.99	Amphibians
4	Spectrogram 1	1	17820.000000000	17872.847981650	3054.545	3393.939	52.8480	339.394	-71.36	Amphibians
5	Spectrogram 1	1	17820.000000000	17879.999979167	3418.182	3927.273	60.0000	509.091	-72.07	Amphibians
6	Spectrogram 1	1	17820.000000000	17879.999979167	5477.835	6352.076	60.0000	874.241	-45.07	Insects
7	Spectrogram 1	1	17828.008149065	17828.534236328	479.976	874.241	0.5261	394.266	-68.57	Domestic mammals
8	Spectrogram 1	1	17829.993704217	17830.180380343	565.685	1062.803	0.1867	497.117	-68.11	Domestic mammals
9	Spectrogram 1	1	17833.154311854	17833.400384928	548.543	1079.945	0.2461	531.401	-71.83	Domestic mammals
10	Spectrogram 1	1	17822.223142948	17822.299510454	702.821	1079.945	0.0764	377.124	-68.79	Domestic mammals
11	Spectrogram 1	1	17850.042524171	17850.118891676	411.408	977.093	0.0764	565.685	-63.21	Birds
12	Spectrogram 1	1	17850.721346445	17850.797713951	325.698	1937.044	0.0764	1611.346	-62.72	Birds
13	Spectrogram 1	1	17855.159147063	17855.235514568	445.692	1354.217	0.0764	908.525	-65.12	Birds
14	Spectrogram 1	1	17852.359005181	17852.418402130	908.525	1799.908	0.0594	891.383	-68.33	Birds
15	Spectrogram 1	1	17851.434109833	17851.501992060	497.117	1028.519	0.0679	531.401	-68.13	Birds
16	Spectrogram 1	1	17858.078344846	17858.163197631	565.685	2074.180	0.0849	1508.494	-61.22	Birds
17	Spectrogram 1	1	17858.766456200	17858.953132325	565.685	1114.229	0.1867	548.543	-71.33	Birds
18	Spectrogram 1	1	17859.513160701	17859.759233776	617.111	1045.661	0.2461	428.550	-70.41	Birds
19	Spectrogram 1	1	17861.413863069	17861.693877257	359.982	1114.229	0.2800	754.247	-69.42	Domestic mammals
20	Spectrogram 1	1	17860.947172756	17861.218701665	479.976	959.951	0.2715	479.976	-70.78	Domestic mammals
21	Spectrogram 1	1	17865.409054522	17866.885492969	497.117	994.235	1.4764	497.117	-67.81	Domestic mammals
22	Spectrogram 1	1	17865.824833165	17865.918171228	428.550	1354.217	0.0933	925.667	-62.40	Birds
23	Spectrogram 1	1	17870.603928422	17870.790604547	514.259	1045.661	0.1867	531.401	-69.34	Domestic mammals
24	Spectrogram 1	1	17871.393059316	17871.486397379	668.537	994.235	0.0933	325.698	-72.18	Domestic mammals
25	Spectrogram 1	1	17872.165219653	17872.360381057	411.408	891.383	0.1952	479.976	-70.87	Domestic  mammals
26	Spectrogram 1	1	17872.945865268	17873.047688609	479.976	891.383	0.1018	411.408	-66.41	Domestic mammals
27	Spectrogram 1	1	17873.573775872	17873.684084491	599.969	891.383	0.1103	291.414	-68.98	Domestic mammals
28	Spectrogram 1	1	17875.287802114	17875.432051848	411.408	1011.377	0.1442	599.969	-70.63	Domestic mammals
29	Spectrogram 1	1	17874.244359689	17874.380124144	599.969	1079.945	0.1358	479.976	-70.55	Domestic mammals
30	Spectrogram 1	1	17876.221429562	17876.331738182	771.389	1079.945	0.1103	308.556	-69.81	Domestic mammals 
31	Spectrogram 1	1	17820.287999900	17877.359980083	9551.515	13915.152	57.0720	4363.636	-63.87	Insects
32	Spectrogram 1	1	17820.047999983	17879.999979167	6513.953	6822.509	59.9520	308.556	-51.53	Insects
33	Spectrogram 1	1	17822.715289097	17822.935906336	20042.883	22900.773	0.2206	2857.890	-69.85	Possible bats
34	Spectrogram 1	1	17828.880511278	17828.982334620	20234.391	23431.103	0.1018	3196.712	-71.58	Possible bats
35	Spectrogram 1	1	17835.346293440	17835.439631503	19821.912	23313.252	0.0933	3491.340	-71.54	Possible bats
