Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	18420.000000000	18479.999979167	2327.273	2957.576	60.0000	630.303	-68.70	Amphibians
2	Spectrogram 1	1	18420.000000000	18479.999979167	5866.667	7854.545	60.0000	1987.879	-57.59	Insects
3	Spectrogram 1	1	18420.593969490	18420.746704502	1081.457	1691.510	0.1527	610.053	-70.86	Amphibians
4	Spectrogram 1	1	18421.247335929	18421.357644548	1053.728	1802.429	0.1103	748.701	-70.98	Amphibians
5	Spectrogram 1	1	18421.858275976	18421.960099317	1164.646	1830.159	0.1018	665.512	-70.00	Amphibians
6	Spectrogram 1	1	18422.825597717	18422.927421058	1220.106	1774.699	0.1018	554.594	-69.42	Amphibians
7	Spectrogram 1	1	18423.207435246	18423.385626093	1192.376	1857.888	0.1782	665.512	-63.20	Amphibians
8	Spectrogram 1	1	18423.487449434	18423.648669724	1109.187	1857.888	0.1612	748.701	-71.42	Amphibians
9	Spectrogram 1	1	18425.108137614	18425.201475676	1164.646	1719.240	0.0933	554.594	-69.43	Amphibians
10	Spectrogram 1	1	18425.727562939	18425.769989331	998.268	1802.429	0.0424	804.161	-68.26	Amphibians
11	Spectrogram 1	1	18426.270620758	18426.355473543	1109.187	1830.159	0.0849	720.972	-69.68	Amphibians
12	Spectrogram 1	1	18426.856104970	18426.940957754	1136.917	1830.159	0.0849	693.242	-68.96	Amphibians
13	Spectrogram 1	1	18427.212486664	18427.331280562	1220.106	1746.970	0.1188	526.864	-71.38	Amphibians
14	Spectrogram 1	1	18427.687662256	18427.781000318	1358.754	1746.970	0.0933	388.215	-68.19	Amphibians
15	Spectrogram 1	1	18428.222234797	18428.374969808	1358.754	1774.699	0.1527	415.945	-70.00	Amphibians
16	Spectrogram 1	1	18430.380784063	18430.474122125	1136.917	1746.970	0.0933	610.053	-68.88	Amphibians
17	Spectrogram 1	1	18430.932327160	18431.051121058	970.539	1691.510	0.1188	720.972	-70.10	Amphibians
18	Spectrogram 1	1	18431.628119991	18431.696002219	1081.457	1691.510	0.0679	610.053	-69.06	Amphibians
19	Spectrogram 1	1	18432.247545317	18432.306942266	1358.754	1774.699	0.0594	415.945	-67.45	Amphibians
20	Spectrogram 1	1	18432.833029528	18432.917882313	1303.295	1746.970	0.0849	443.675	-69.39	Amphibians
21	Spectrogram 1	1	18433.410028461	18433.503366524	1192.376	1719.240	0.0933	526.864	-69.95	Amphibians
22	Spectrogram 1	1	18434.003997951	18434.122791849	1192.376	1857.888	0.1188	665.512	-68.97	Amphibians
23	Spectrogram 1	1	18434.597967441	18434.682820226	1192.376	1719.240	0.0849	526.864	-69.47	Amphibians
24	Spectrogram 1	1	18435.166481096	18435.234363323	1081.457	1830.159	0.0679	748.701	-69.39	Amphibians
25	Spectrogram 1	1	18436.210170343	18436.278052570	1081.457	1691.510	0.0679	610.053	-68.78	Amphibians
26	Spectrogram 1	1	18436.795654554	18436.888992617	1220.106	1746.970	0.0933	526.864	-68.21	Amphibians
27	Spectrogram 1	1	18437.610241283	18437.686608789	1164.646	1746.970	0.0764	582.323	-69.34	Amphibians
28	Spectrogram 1	1	18438.188081315	18438.264448821	1220.106	1663.781	0.0764	443.675	-67.98	Amphibians
29	Spectrogram 1	1	18438.968726931	18439.036609158	1109.187	1746.970	0.0679	637.783	-69.23	Amphibians
30	Spectrogram 1	1	18439.562696421	18439.647549205	1136.917	1802.429	0.0849	665.512	-68.26	Amphibians
31	Spectrogram 1	1	18440.589415110	18440.657297338	1081.457	1774.699	0.0679	693.242	-68.65	Amphibians
32	Spectrogram 1	1	18441.149443487	18441.276722663	1053.728	1719.240	0.1273	665.512	-70.79	Amphibians
33	Spectrogram 1	1	18441.879177431	18442.023427165	1164.646	1830.159	0.1442	665.512	-70.24	Amphibians
34	Spectrogram 1	1	18442.439205808	18442.524058592	1053.728	1746.970	0.0849	693.242	-69.58	Amphibians
35	Spectrogram 1	1	18443.016204741	18443.084086968	1220.106	1885.618	0.0679	665.512	-69.09	Amphibians
36	Spectrogram 1	1	18443.720482850	18443.847762027	970.539	1691.510	0.1273	720.972	-70.23	Amphibians
37	Spectrogram 1	1	18444.306692375	18444.408515716	1109.187	1746.970	0.1018	637.783	-69.39	Amphibians
38	Spectrogram 1	1	18446.105571402	18446.207394743	1441.943	1719.240	0.1018	277.297	-69.73	Amphibians
39	Spectrogram 1	1	18446.716511448	18446.818334789	1164.646	1830.159	0.1018	665.512	-70.02	Amphibians
40	Spectrogram 1	1	18452.310656710	18452.471877000	1025.998	1885.618	0.1612	859.620	-71.36	Amphibians
41	Spectrogram 1	1	18456.239340622	18456.612692873	998.268	1774.699	0.3734	776.431	-72.98	Amphibians
42	Spectrogram 1	1	18456.892707061	18457.316970983	1081.457	1802.429	0.4243	720.972	-72.29	Amphibians
43	Spectrogram 1	1	18457.789845347	18458.027433143	915.079	1830.159	0.2376	915.079	-71.80	Amphibians
44	Spectrogram 1	1	18458.570490962	18458.808078758	1025.998	1719.240	0.2376	693.242	-72.04	Amphibians
45	Spectrogram 1	1	18459.970561903	18460.140267471	831.890	1774.699	0.1697	942.809	-72.23	Amphibians
46	Spectrogram 1	1	18461.421544514	18461.548823690	887.350	1830.159	0.1273	942.809	-72.30	Amphibians
47	Spectrogram 1	1	18462.270072357	18462.448263204	1109.187	1913.348	0.1782	804.161	-72.46	Amphibians
48	Spectrogram 1	1	18462.974350466	18463.084659086	610.053	1857.888	0.1103	1247.835	-70.70	Amphibians
49	Spectrogram 1	1	18463.653172741	18463.805907752	1192.376	2024.266	0.1527	831.890	-72.10	Amphibians
50	Spectrogram 1	1	18464.281083344	18464.484730026	776.431	1941.077	0.2036	1164.646	-71.29	Amphibians
51	Spectrogram 1	1	18465.002593982	18465.274122892	1025.998	1746.970	0.2715	720.972	-72.35	Amphibians
52	Spectrogram 1	1	18465.630504586	18465.834151268	859.620	1885.618	0.2036	1025.998	-72.04	Amphibians
53	Spectrogram 1	1	18466.292356303	18466.606311605	831.890	1774.699	0.3140	942.809	-72.62	Amphibians
54	Spectrogram 1	1	18467.870618091	18468.057294216	1109.187	1857.888	0.1867	748.701	-70.87	Amphibians
55	Spectrogram 1	1	18468.532469808	18468.837939832	471.405	1830.159	0.3055	1358.754	-70.29	Amphibians
56	Spectrogram 1	1	18469.287659588	18469.499791549	1247.835	1968.807	0.2121	720.972	-71.24	Amphibians
57	Spectrogram 1	1	18469.720408788	18470.365289949	859.620	1719.240	0.6449	859.620	-72.14	Amphibians
58	Spectrogram 1	1	18470.848950819	18470.950774160	1247.835	1802.429	0.1018	554.594	-69.35	Amphibians
59	Spectrogram 1	1	18471.352739723	18471.488504178	970.539	1746.970	0.1358	776.431	-71.18	Amphibians
60	Spectrogram 1	1	18471.989135606	18472.065503111	887.350	1913.348	0.0764	1025.998	-69.65	Amphibians
61	Spectrogram 1	1	18472.515222868	18472.642502044	831.890	1857.888	0.1273	1025.998	-70.13	Amphibians
62	Spectrogram 1	1	18473.703161848	18473.974690758	1136.917	1774.699	0.2715	637.783	-72.74	Amphibians
63	Spectrogram 1	1	18474.551689691	18475.230511965	1025.998	1830.159	0.6788	804.161	-72.84	Amphibians
64	Spectrogram 1	1	18475.643279251	18475.728132035	1331.025	1830.159	0.0849	499.134	-70.25	Amphibians
65	Spectrogram 1	1	18476.585145156	18476.703939054	887.350	1691.510	0.1188	804.161	-70.35	Amphibians
66	Spectrogram 1	1	18476.899100458	18477.009409078	804.161	1746.970	0.1103	942.809	-71.81	Amphibians
67	Spectrogram 1	1	18477.238511595	18477.331849658	998.268	1774.699	0.0933	776.431	-69.17	Amphibians
