Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	6301.707259998	6302.933739882	3031.802	3943.463	1.2265	911.661	-71.72	Birds
2	Spectrogram 1	1	6300.098118391	6300.255107816	1523.156	2572.899	0.1570	1049.743	-66.16	Birds
3	Spectrogram 1	1	6300.382661724	6300.470968275	2737.564	3046.312	0.0883	308.748	-63.73	Birds
4	Spectrogram 1	1	6300.598522183	6300.853629999	2511.149	2943.396	0.2551	432.247	-64.55	Birds
5	Spectrogram 1	1	6300.323790689	6300.500403793	1708.405	2408.233	0.1766	699.828	-66.34	Birds
6	Spectrogram 1	1	6300.578898505	6300.716264252	1646.655	2387.650	0.1374	740.995	-65.14	Birds
7	Spectrogram 1	1	6301.471775861	6301.638577125	1708.405	3046.312	0.1668	1337.907	-68.40	Birds
8	Spectrogram 1	1	6301.697448159	6301.805378389	1543.739	2881.647	0.1079	1337.907	-66.58	Birds
9	Spectrogram 1	1	6301.874061262	6302.001615170	1584.906	2902.230	0.1276	1317.324	-67.49	Birds
10	Spectrogram 1	1	6300.019623678	6300.255107816	1770.154	3704.974	0.2355	1934.820	-67.30	Birds
11	Spectrogram 1	1	6304.495718966	6304.633084713	1708.405	2922.813	0.1374	1214.408	-70.26	Birds
12	Spectrogram 1	1	6304.770450460	6304.976499081	1811.321	2943.396	0.2060	1132.075	-71.10	Birds
13	Spectrogram 1	1	6305.025558276	6305.182547701	1708.405	2840.480	0.1570	1132.075	-69.43	Birds
14	Spectrogram 1	1	6305.162924023	6305.418031839	1728.988	2984.563	0.2551	1255.575	-69.70	Birds
15	Spectrogram 1	1	6305.555397586	6305.849752758	2552.316	3581.475	0.2944	1029.160	-70.93	Birds
16	Spectrogram 1	1	6304.986310920	6307.360775975	0.000	493.997	2.3745	493.997	-67.54	Domestic mammals
17	Spectrogram 1	1	6306.752441953	6306.919243217	2099.485	2902.230	0.1668	802.744	-70.69	Birds
18	Spectrogram 1	1	6308.096663905	6308.597067698	1523.156	2140.652	0.5004	617.496	-61.44	Birds
19	Spectrogram 1	1	6307.370587814	6307.498141722	1687.822	3190.395	0.1276	1502.573	-70.59	Birds
20	Spectrogram 1	1	6307.566824595	6307.674754825	1770.154	2984.563	0.1079	1214.408	-69.90	Birds
21	Spectrogram 1	1	6307.674754825	6307.870991607	1728.988	2963.979	0.1962	1234.991	-70.40	Birds
22	Spectrogram 1	1	6309.076957765	6309.371312937	2902.230	3684.391	0.2944	782.161	-69.37	Birds
23	Spectrogram 1	1	6312.030321325	6312.785832934	3108.062	3828.473	0.7555	720.412	-72.59	Birds
24	Spectrogram 1	1	6312.825080290	6313.217553853	2758.148	3581.475	0.3925	823.328	-68.73	Birds
25	Spectrogram 1	1	6316.121858218	6316.514331781	2408.233	3519.726	0.3925	1111.492	-71.75	Birds
26	Spectrogram 1	1	6311.706530636	6312.059756843	4322.470	5269.297	0.3532	946.827	-75.23	Birds
27	Spectrogram 1	1	6313.031128911	6313.413790634	4281.304	5289.880	0.3827	1008.576	-75.22	Birds
28	Spectrogram 1	1	6312.766209256	6313.217553853	5722.127	6236.707	0.4513	514.580	-75.06	Birds
29	Spectrogram 1	1	6313.080188106	6313.610027416	6051.458	7718.696	0.5298	1667.238	-74.01	Birds
30	Spectrogram 1	1	6314.179114082	6314.483281093	4898.799	7060.034	0.3042	2161.235	-74.97	Birds
31	Spectrogram 1	1	6313.040940750	6313.570780059	205.832	576.329	0.5298	370.497	-68.69	Mammals
32	Spectrogram 1	1	6314.208549599	6314.964061207	205.832	638.079	0.7555	432.247	-68.74	Mammals
33	Spectrogram 1	1	6318.988046692	6319.282401864	2675.815	3704.974	0.2944	1029.160	-69.84	Birds
34	Spectrogram 1	1	6318.477831060	6318.713315198	3437.393	6813.036	0.2355	3375.643	-75.65	Birds
