Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	5820.000000000	5879.999979167	5705.660	5977.358	60.0000	271.698	-58.82	Insects
2	Spectrogram 1	1	5820.191999933	5822.111999267	6203.774	7109.434	1.9200	905.660	-65.17	Insects
3	Spectrogram 1	1	5825.039998250	5828.831996933	6249.057	7064.151	3.7920	815.094	-70.28	Insects
4	Spectrogram 1	1	5833.583995283	5836.175994383	6158.491	7064.151	2.5920	905.660	-68.53	Insects
5	Spectrogram 1	1	5839.967993067	5842.031992350	6339.623	7290.566	2.0640	950.943	-68.92	Insects
6	Spectrogram 1	1	5849.423989783	5860.751985850	6203.774	7516.981	11.3280	1313.208	-71.22	Insects
7	Spectrogram 1	1	5870.735982383	5879.231979433	6294.340	7154.717	8.4960	860.377	-68.82	Insects
8	Spectrogram 1	1	5861.519985583	5870.591982433	6249.057	7290.566	9.0720	1041.509	-71.69	Insects
9	Spectrogram 1	1	5820.305470023	5820.746704502	2083.019	5275.472	0.4412	3192.453	-63.79	Birds
10	Spectrogram 1	1	5820.610940047	5820.941865906	3260.377	3645.283	0.3309	384.906	-62.83	Birds
11	Spectrogram 1	1	5821.612202901	5821.917672925	3283.019	3600.000	0.3055	316.981	-61.60	Birds
12	Spectrogram 1	1	5822.672862705	5823.003788563	3305.660	3554.717	0.3309	249.057	-63.23	Birds
13	Spectrogram 1	1	5820.823072008	5821.060659803	1335.849	1924.528	0.2376	588.679	-55.15	Birds
14	Spectrogram 1	1	5821.204909537	5821.510379560	928.302	2649.057	0.3055	1720.755	-57.42	Birds
15	Spectrogram 1	1	5821.841305419	5822.214657670	1403.774	2173.585	0.3734	769.811	-54.86	Birds
16	Spectrogram 1	1	5822.011010987	5822.112834329	4505.660	5139.623	0.1018	633.962	-68.45	Birds
17	Spectrogram 1	1	5823.682610838	5823.962625026	3328.302	3622.642	0.2800	294.340	-61.42	Birds
18	Spectrogram 1	1	5823.920198634	5824.157786430	1267.925	1924.528	0.2376	656.604	-58.57	Birds
19	Spectrogram 1	1	5824.624476743	5824.921461488	3237.736	3667.925	0.2970	430.189	-63.43	Birds
20	Spectrogram 1	1	5823.784434179	5824.013536696	4143.396	4935.849	0.2291	792.453	-71.45	Birds
21	Spectrogram 1	1	5824.870549818	5825.260872625	2037.736	5479.245	0.3903	3441.509	-63.52	Birds
