Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	25861.055999633	25862.663999075	2157.576	2400.000	1.6080	242.424	-67.49	Amphibians
2	Spectrogram 1	1	25863.767998692	25865.447998108	2084.848	2400.000	1.6800	315.152	-68.52	Amphibians
3	Spectrogram 1	1	25866.431997767	25868.063997200	2084.848	2424.242	1.6320	339.394	-68.43	Amphibians
4	Spectrogram 1	1	25869.047996858	25870.703996283	2157.576	2472.727	1.6560	315.152	-68.83	Amphibians
5	Spectrogram 1	1	25871.903995867	25873.583995283	2133.333	2424.242	1.6800	290.909	-68.51	Amphibians
6	Spectrogram 1	1	25874.375995008	25876.415994300	2084.848	2400.000	2.0400	315.152	-69.07	Amphibians
7	Spectrogram 1	1	25877.279994000	25879.007993400	2060.606	2448.485	1.7280	387.879	-70.12	Amphibians
8	Spectrogram 1	1	25879.943993075	25881.791992433	2036.364	2424.242	1.8480	387.879	-69.77	Amphibians
9	Spectrogram 1	1	25882.775992092	25884.599991458	2133.333	2448.485	1.8240	315.152	-69.54	Amphibians
10	Spectrogram 1	1	25885.415991175	25887.503990450	2181.818	2375.758	2.0880	193.939	-68.29	Amphibians
11	Spectrogram 1	1	25888.327279849	25890.175279208	2109.091	2400.000	1.8480	290.909	-68.81	Amphibians
12	Spectrogram 1	1	25891.015278916	25892.647278349	2060.606	2448.485	1.6320	387.879	-70.00	Amphibians
13	Spectrogram 1	1	25893.727277974	25895.263277441	2109.091	2472.727	1.5360	363.636	-69.12	Amphibians
14	Spectrogram 1	1	25896.319277074	25898.095276458	2060.606	2448.485	1.7760	387.879	-70.22	Amphibians
15	Spectrogram 1	1	25899.079276116	25900.879275491	2109.091	2400.000	1.8000	290.909	-68.69	Amphibians
16	Spectrogram 1	1	25901.839275158	25903.807274474	1939.394	2521.212	1.9680	581.818	-71.05	Amphibians
17	Spectrogram 1	1	25904.527274224	25906.255273624	2181.818	2496.970	1.7280	315.152	-68.92	Amphibians
18	Spectrogram 1	1	25907.191273299	25908.943272691	2109.091	2351.515	1.7520	242.424	-68.64	Amphibians
19	Spectrogram 1	1	25910.143272274	25912.351271508	2036.364	2424.242	2.2080	387.879	-70.30	Amphibians
20	Spectrogram 1	1	25912.855271333	25914.727270683	2084.848	2424.242	1.8720	339.394	-68.84	Amphibians
21	Spectrogram 1	1	25915.567270391	25917.271269799	2181.818	2496.970	1.7040	315.152	-68.89	Amphibians
22	Spectrogram 1	1	25918.137736753	25919.793736178	2157.576	2448.485	1.6560	290.909	-68.94	Amphibians
23	Spectrogram 1	1	25916.793737220	25919.985736111	3515.152	3781.818	3.1920	266.667	-65.83	Amphibians
24	Spectrogram 1	1	25914.057738170	25916.649737270	3345.455	3830.303	2.5920	484.848	-67.42	Amphibians
25	Spectrogram 1	1	25911.249739145	25913.649738311	3490.909	3854.545	2.4000	363.636	-66.61	Amphibians
26	Spectrogram 1	1	25908.609740061	25911.009739228	3418.182	3733.333	2.4000	315.152	-65.99	Amphibians
27	Spectrogram 1	1	25905.657741086	25908.561740078	3490.909	3806.061	2.9040	315.152	-66.12	Amphibians
28	Spectrogram 1	1	25903.137741961	25905.297741211	3442.424	3830.303	2.1600	387.879	-66.16	Amphibians
29	Spectrogram 1	1	25900.281742953	25902.825742070	3490.909	3830.303	2.5440	339.394	-65.84	Amphibians
30	Spectrogram 1	1	25897.521743911	25900.113743011	3466.667	3757.576	2.5920	290.909	-66.58	Amphibians
31	Spectrogram 1	1	25894.849333636	25897.297332786	3490.909	3878.788	2.4480	387.879	-66.65	Amphibians
32	Spectrogram 1	1	25891.993334628	25894.657333703	3515.152	3781.818	2.6640	266.667	-65.94	Amphibians
33	Spectrogram 1	1	25889.401335528	25892.065334603	3539.394	3757.576	2.6640	218.182	-65.96	Amphibians
34	Spectrogram 1	1	25886.689336469	25889.137335619	3466.667	3806.061	2.4480	339.394	-66.45	Amphibians
35	Spectrogram 1	1	25884.061449526	25886.437448701	3393.939	3806.061	2.3760	412.121	-66.42	Amphibians
36	Spectrogram 1	1	25881.061450567	25883.869449592	3418.182	3830.303	2.8080	412.121	-66.75	Amphibians
37	Spectrogram 1	1	25878.565451434	25880.917450617	3466.667	3830.303	2.3520	363.636	-66.37	Amphibians
38	Spectrogram 1	1	25875.733452417	25878.181451567	3466.667	3781.818	2.4480	315.152	-66.45	Amphibians
39	Spectrogram 1	1	25873.055995467	25875.479994625	3442.424	3927.273	2.4240	484.848	-67.08	Amphibians
40	Spectrogram 1	1	25870.343996408	25872.671995600	3490.909	3830.303	2.3280	339.394	-65.63	Amphibians
41	Spectrogram 1	1	25867.583997367	25870.319996417	3418.182	3733.333	2.7360	315.152	-66.29	Amphibians
42	Spectrogram 1	1	25864.895998300	25867.463997408	3418.182	3878.788	2.5680	460.606	-67.22	Amphibians
43	Spectrogram 1	1	25862.159999250	25864.559998417	3393.939	3781.818	2.4000	387.879	-66.42	Amphibians
44	Spectrogram 1	1	25860.119999958	25861.559999458	3442.424	3806.061	1.4400	363.636	-66.71	Amphibians
45	Spectrogram 1	1	25860.000000000	25919.999979167	2708.433	3034.131	60.0000	325.698	-65.79	Amphibians
46	Spectrogram 1	1	25860.000000000	25919.999979167	4963.453	5563.422	60.0000	599.969	-60.51	Insects
47	Spectrogram 1	1	25878.143993700	25878.527993567	3437.816	3866.366	0.3840	428.550	-69.95	Amphibians
48	Spectrogram 1	1	25860.000000000	25919.999979167	4157.780	4654.897	60.0000	497.117	-63.62	Unknown
