Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	17700.000000000	17759.999979167	5333.333	6351.515	60.0000	1018.182	-44.02	Insects
2	Spectrogram 1	1	17701.871999350	17744.063984700	2084.848	2400.000	42.1920	315.152	-62.76	Amphibians
3	Spectrogram 1	1	17746.175983967	17759.999979167	2084.848	2424.242	13.8240	339.394	-63.36	Amphibians
4	Spectrogram 1	1	17700.000000000	17759.999979167	3006.061	3296.970	60.0000	290.909	-71.11	Amphibians
5	Spectrogram 1	1	17700.000000000	17704.511998433	2327.273	2715.152	4.5120	387.879	-68.77	Amphibians
6	Spectrogram 1	1	17706.959997583	17710.415996383	2472.727	2690.909	3.4560	218.182	-67.63	Amphibians
7	Spectrogram 1	1	17712.191995767	17722.799992083	2448.485	2715.152	10.6080	266.667	-68.76	Amphibians
8	Spectrogram 1	1	17725.487991150	17731.247989150	2400.000	2666.667	5.7600	266.667	-68.05	Amphibians
9	Spectrogram 1	1	17734.415988050	17740.943985783	2448.485	2787.879	6.5280	339.394	-69.74	Amphibians
10	Spectrogram 1	1	17742.191985350	17743.775984800	2424.242	2715.152	1.5840	290.909	-69.93	Amphibians
11	Spectrogram 1	1	17700.000000000	17759.999979167	3878.788	4872.727	60.0000	993.939	-58.61	Insects
12	Spectrogram 1	1	17700.152735012	17701.221880094	6526.228	7398.955	1.0691	872.727	-63.99	Birds
13	Spectrogram 1	1	17702.104349050	17703.037729677	6380.773	7301.985	0.9334	921.212	-61.78	Birds
14	Spectrogram 1	1	17703.461993599	17704.089904202	6429.258	6986.834	0.6279	557.576	-62.17	Birds
15	Spectrogram 1	1	17704.548109237	17705.328754853	6623.197	7544.410	0.7806	921.212	-62.94	Birds
16	Spectrogram 1	1	17706.126371025	17706.703369958	6332.288	7398.955	0.5770	1066.667	-61.16	Birds
17	Spectrogram 1	1	17707.246427777	17708.094955620	6598.955	7520.167	0.8485	921.212	-62.64	Birds
18	Spectrogram 1	1	17708.434366757	17708.977424577	6453.501	6962.591	0.5431	509.091	-61.09	Birds
19	Spectrogram 1	1	17709.198041816	17709.825952420	6550.470	7398.955	0.6279	848.485	-61.43	Birds
20	Spectrogram 1	1	17709.893834647	17710.385980796	6598.955	6962.591	0.4921	363.636	-63.28	Birds
21	Spectrogram 1	1	17711.183596968	17712.643064858	6332.288	7374.713	1.4595	1042.424	-61.71	Birds
22	Spectrogram 1	1	17713.321887132	17713.661298269	6405.016	6962.591	0.3394	557.576	-59.52	Birds
23	Spectrogram 1	1	17713.932827179	17714.611649453	6356.531	7471.682	0.6788	1115.152	-60.45	Birds
24	Spectrogram 1	1	17714.747413908	17715.256530613	6405.016	7180.773	0.5091	775.758	-64.96	Birds
25	Spectrogram 1	1	17715.409265625	17716.223852354	6429.258	7374.713	0.8146	945.455	-59.67	Birds
26	Spectrogram 1	1	17717.086963801	17719.089489510	6380.773	7398.955	2.0025	1018.182	-62.31	Birds
27	Spectrogram 1	1	17719.293136192	17719.785282341	6501.985	6841.379	0.4921	339.394	-58.89	Birds
28	Spectrogram 1	1	17720.039840694	17720.582898513	6574.713	7374.713	0.5431	800.000	-58.79	Birds
29	Spectrogram 1	1	17720.582898513	17721.210809117	6429.258	6889.864	0.6279	460.606	-59.96	Birds
30	Spectrogram 1	1	17721.516279140	17722.415718654	6453.501	7423.197	0.8994	969.697	-60.28	Birds
31	Spectrogram 1	1	17723.009688144	17723.603657634	6501.985	7301.985	0.5940	800.000	-58.25	Birds
32	Spectrogram 1	1	17724.231568237	17724.808567170	6574.713	7374.713	0.5770	800.000	-60.13	Birds
33	Spectrogram 1	1	17725.147978307	17725.928623923	6453.501	7471.682	0.7806	1018.182	-60.35	Birds
34	Spectrogram 1	1	17726.030447264	17726.997769005	6623.197	7568.652	0.9673	945.455	-62.07	Birds
35	Spectrogram 1	1	17727.184445130	17727.829326291	6550.470	7495.925	0.6449	945.455	-58.57	Birds
36	Spectrogram 1	1	17728.202678541	17728.660883577	6647.440	7374.713	0.4582	727.273	-58.98	Birds
37	Spectrogram 1	1	17729.000294714	17729.950645898	6453.501	7301.985	0.9504	848.485	-60.24	Birds
