CONTRACT,Latitude,Longitude
PSA0034-2013,10.045647,-85.461327
PSA0055-2018,10.053912,-85.465612
PSA0254-2011,10.06177,-85.462971
PSA0077-2013,10.057821,-85.45511
PSA0193-2013,10.079726,-85.459654
PSA0042-2017,10.126571,-85.469901
PSA0168-2016,10.101928,-85.507895
Pasture1,10.104182,-85.510615
PSA0166-2016,10.096192,-85.509244
PSA0183-2017,10.104767,-85.504834
PSA0035-2017,10.140004,-85.486832
PSA0418-2013,10.132322,-85.4932
PSA0027-2020,10.090037,-85.452717
PSA0033-2020,10.087477,-85.447221
Pasture2,10.090074,-85.457174
Pasture3,9.764995,-84.985257
PSA0009-2018,9.775404,-84.973242
PSA0431-2013,9.769693,-84.968224
Pasture4,9.804164,-84.9158
PSA0004-2017,9.799708,-84.926071
PSA0093-2018,9.789404,-84.953989
Pasture5,9.781169,-84.941979
PSA0019-2015,9.779873,-85.242605
PSA0025-2015,9.747684,-85.227633
PSA0022-2015,9.781293,-85.198617
PSA0171-2016,9.898696,-85.233648
PSA0170-2016,9.905932,-85.233058
PSA0229-2012,9.91418,-85.231469
PSA0093-2010,9.893221,-85.209029
PSA0099-2013,9.901812,-85.600705
PSA0095-2013,9.900368,-85.581984
PSA0290-2012,9.937965,-85.59733
PSA0096-2013,9.933043,-85.603672
PSA0289-2012,9.929276,-85.59998
PSA0094-2013,9.916368,-85.617281
PSA0098-2013,9.937638,-85.618012
PSA0292-2012,9.931769,-85.610853
PSA0089-2016,10.162636,-85.568514
PSA0099-2019,10.148668,-85.562963
PSA0135-2020,10.145904,-85.571727
RefForest2,10.162399,-85.585746
PSA0251-2012,10.161155,-85.595423
PSA0202-2016,10.13587,-85.583758
PSA0175-2013,10.108876,-85.609188
PSA0074-2020,10.11715,-85.611326
PSA0159-2020,10.133546,-85.633209
PSA0051-2018,10.38309,-85.462417
PSA0050-2018,10.393508,-85.425324
PSA0001-2019,10.379425,-85.409103
PSA0059-2012,10.412013,-85.418279
PSA0179-2013,10.350383,-85.509869
RefForest3,10.00431,-85.406399
PSA0161-2017,10.021751,-85.385217
PSA0112-2019,10.020067,-85.391844
PSA0156-2015,10.013394,-85.395731
PSA0022-2013,9.998987,-85.378776
PSA0026-2020,10.014405,-85.403351
PSA0280-2012,10.418507,-85.586667
Pasture6,10.339856,-85.680419
Pasture7,10.348789,-85.663378
Pasture8,10.351177,-85.653687
Pasture9,10.339296,-85.651035
Pasture10,10.337677,-85.66185
PSA0377-2011,10.39411,-85.669684
PSA0131-2018,10.000483,-85.396116
PSA0153-2012,9.980546,-85.322406
PSA0116-2019,9.996286,-85.300947
PSA0006-2020,9.866769,-84.985991
PSA0061-2012,9.867144,-84.974713
PSA0165-2021,9.871347,-84.96811
PSA0152-2013,9.859385,-84.958925
PSA0010-2010,9.862926,-84.951467
RefForest1,9.781682,-84.929703
PSA0341-2012,9.837511,-84.972004
PSA0027-2018,9.908203,-84.961265
PSA0001-2016,9.863355,-85.063985
PSA0003-2016,9.867775,-85.07248
PSA0132-2013,9.878548,-85.091081
PSA0161-2016,9.903031,-85.067956
PSA0123-2018,9.900988,-85.058166
PSA0194-2013,9.920338,-85.004743
RefForest4,9.930764,-85.008129
PSA0151-2016,9.941921,-85.03513
PSA0429-2012,10.061398,-85.49633
PSA0373-2011,10.026163,-85.493021
PSA0287-2011,10.016946,-85.471404
PSA0374-2012,10.048363,-85.427338
PSA0087-2013,10.042089,-85.420343
PSA0350-2012,10.015324,-85.417598
PSA0285-2011,10.005537,-85.432393
PSA0400-2013,10.013978,-85.441603
PSA0351-2012,10.022188,-85.446894
PSA0078-2013,10.357884,-85.614469
PSA0331-2012,10.360031,-85.604238
PSA0401-2011,10.349981,-85.606619
Pasture11,10.176849,-85.396653
RefForest5,10.173025,-85.362946
PSA0192-2009,10.173365,-85.37455
PSA0049-2013,10.150723,-85.365235
Pasture12,10.144528,-85.358152
PSA0397-2012,10.042171,-85.294174
PSA0189-2007,10.036689,-85.302987
PSA0375-2012,10.057577,-85.303775
PSA0388-2012,10.077634,-85.384929
PSA0355-2013,10.074065,-85.394653
PSA0003-2013,10.04629,-85.253998
PSA0310-2011,10.063286,-85.246904
PSA0313-2012,10.058171,-85.236168
PSA0332-2012,10.051912,-85.229422
Pasture13,10.053013,-85.24409
Pasture14,10.037295,-85.250538
Pasture15,10.045399,-85.240204
PSA0342-2013,10.042576,-85.212849
RefForest6,9.954842,-85.20542
RefForest7,9.891859,-84.956505
PSA0045-2013,9.908067,-85.509921
PSA0243-2011,9.906234,-85.520948
RefForest8.1,9.900216,-85.511873
PSA0259-2012,9.914917,-85.513311
PSA0166-2010,9.91583,-85.505179
PSA0167-2010,9.923814,-85.519319
PSA0380-2011,9.916817,-85.528727
PSA0001-2013,9.956385,-85.489432
PSA0483-2013,9.984975,-85.500986
RefForest8.2,10.130734,-85.462651
RefForest9,10.128029,-85.455111
RefForest10,10.130953,-85.443589
Pasture16,10.400919,-85.607955
Pasture17,10.39388,-85.603231
Pasture18,10.342164,-85.566773
Pasture19,10.323734,-85.57586
Pasture20,10.315655,-85.5794
RefForest11,10.288491,-85.58583
RefForest12,10.190503,-85.597397
RefForest13,10.201002,-85.601973
RefForest14,10.196744,-85.608737
RefForest15,10.324198,-85.721857
RefForest16,10.367994,-85.793354
RefForest17,10.342749,-85.851379
RefForest18,10.394641,-85.816081
RefForest19,10.240592,-85.549164
RefForest20,10.107121,-85.363015
