Site,Latitude,Longitude,Recording Failure,Recorder,Mean Canopy Height,Land Use Type,Microphone Deployment Date,Minutes Annotated,Mean Annual Percipitation,Enhanced Vegitation Index (EVI),Elevation,Human Footprint,distanceToRoad,Forest Condition
Pasture1,10.104182,-85.510615,Yes,RFX8,0,Pasture,17.05.2022,0,2327.836,21593,191.5,14.429082,NA,"Degraded, Some Trees"
Pasture10,10.337677,-85.66185,No,RFX25,4.2167,Pasture,08.06.2022,3,1756.1447,52539,25.5,17.775066,9,"Degraded, No Trees"
Pasture11,10.176849,-85.396653,No,RFX5,0,Pasture,15.06.2022,2,1935.4069,94139,87.5,14.554067,137,"Degraded, Some Trees"
Pasture12,10.144528,-85.358152,No,RFX12,1.038333333,Pasture,15.06.2022,0,1917.0602,52199,44,14.022539,152,"Degraded, No Trees"
Pasture13,10.053013,-85.24409,No,ZH3,0.488,Pasture,20.06.2022,0,1927.7869,340274,22.5,12.864779,36,"Degraded, No Trees"
Pasture14,10.037295,-85.250538,No,RFX17,4.188333333,Pasture,20.06.2022,0,2042.0912,65105,36,17.03864,164,"Degraded, No Trees"
Pasture15,10.045399,-85.240204,No,ZH8,0.527333333,Pasture,20.06.2022,1,1924.251,51310,20,16.845182,73,"Degraded, No Trees"
Pasture16,10.400919,-85.607955,No,RFX5,0,Pasture,23.06.2022,1,2042.5372,86356,84,18.817608,349,"Degraded, No Trees"
Pasture17,10.39388,-85.603231,No,RFX25,1.369333333,Pasture,23.06.2022,3,2013.5728,98926,44,16.587946,520,"Degraded, Some Trees"
Pasture18,10.342164,-85.566773,No,RFX16.,1.458333333,Pasture,23.06.2022,2,1810.1372,48763,20,19.568386,258,"Degraded, Some Trees"
Pasture19,10.323734,-85.57586,No,RFX12,0.531,Pasture,23.06.2022,4,1775.1581,61693,30.5,19.905758,169,"Degraded, No Trees"
Pasture2,10.090074,-85.457174,No,ZH9,0,Pasture,18.05.2022,0,2220.6848,144976,181,11.079244,114,"Degraded, Some Trees"
Pasture20,10.315655,-85.5794,No,ZH20,0,Pasture,23.06.2022,2,1781.033,122910,32,16.165415,229,"Degraded, No Trees"
Pasture3,9.764995,-84.985257,No,RFX25,1.769666667,Pasture,19.05.2022,0,2404.0603,116782,54,11.932692,183,"Degraded, Some Trees"
Pasture4,9.804164,-84.9158,No,ZH3,0.514,Pasture,19.05.2022,2,2333.6626,268919,30.5,12.124244,726,"Degraded, Some Trees"
Pasture5,9.781169,-84.941979,No,ZH20,7.423,Pasture,19.05.2022,3,2439.5886,150726,39,19.480232,302,"Degraded, Some Trees"
Pasture6,10.339856,-85.680419,No,RFX12,0.894666667,Pasture,08.06.2022,0,1800.5444,77176,81,15.124346,130,"Degraded, No Trees"
Pasture7,10.348789,-85.663378,No,RFX13,0,Pasture,08.06.2022,3,1752.3843,137734,21,15.892147,0,"Degraded, No Trees"
Pasture8,10.351177,-85.653687,No,ZH1,0,Pasture,08.06.2022,2,1766.0342,154185,52,14.292229,9,"Degraded, No Trees"
Pasture9,10.339296,-85.651035,No,ZH4,0,Pasture,08.06.2022,2,1750.9915,71029,18,14.283366,78,"Degraded, No Trees"
PSA0001-2013,9.956385,-85.489432,No,RFX26,10.10866667,Plantation,22.06.2022,0,2465.622,132983,399.5,15.003385,12,Monoculture
PSA0001-2016,9.863355,-85.063985,Yes,ZH5,6.262666667,Natural Regeneration,11.06.2022,0,2579.7283,67643,262.5,11.665117,NA,"Secondary, Regenerating"
