system:index,CGIAR_Aridity_Index,CHELSA_BIO_Annual_Mean_Temperature,CHELSA_BIO_Annual_Precipitation,CHELSA_exBIO_NPP,EarthEnvTexture_Contrast_EVI,EarthEnvTopoMed_Elevation,SG_Soil_pH_H2O_000cm,WCS_Human_Footprint_2009,Site,.geo
00000000000000000000_0,10880,257.3994431,2219.1926,22750.422,100126,202,58.122883,17.267532,PSA0034-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,11096,255.4495898,2204.8176,22683.988,66822,248,58.9331,15,PSA0055-2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,10609,257.3991691,2195.3628,22639.172,60940,213,59.32515,15,PSA0254-2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,10491,250.4991646,2227.5403,22789.11,65314,367,57.697758,15,PSA0077-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,9945,256.5830148,2209.1545,22704.182,202721,213.5,60.224285,14.793601,PSA0193-2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,9906,257.4353785,2320.0278,23203.37,27845,235,57.712902,16.849218,PSA0042-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,10408,254.5161641,2312.6038,23171.443,36383,299,57.220932,14.1626005,PSA0168-2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,9983,259.4175573,2327.836,23237.164,21593,191.5,58.03596,14.429082,Pasture1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,10138,257.4827347,2322.7734,23215.557,39196,230.5,58.156204,12.467585,PSA0166-2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,10408,254.5161641,2312.6038,23171.443,36383,299,57.220932,14.1626005,PSA0183-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,10249,247.5351001,2401.6902,23549.705,81379,443.5,56.39705,15.413744,PSA0035-2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
