ID,Type
0034-2013,R
0055-2018,C
0254-2011,R
0077-2013,R
0193-2013,C
0042-2017,C
0168-2016,C
0166-2016,C
0183-2017,C
0035-2017,C
0418-2013,C
0027-2020,C
0033-2020,C
0009-2018,C
0431-2013,C
0004-2017,C
0093-2018,C
0019-2015,R
0025-2015,R
0022-2015,R
0171-2016,C
0170-2016,C
0229-2012,C
0093-2010,R
0099-2013,R
0095-2013,R
0290-2012,R
0096-2013,R
0289-2012,R
0094-2013,R
0098-2013,R
0292-2012,R
0089-2016,C
0099-2019,C
0135-2020,C
0251-2012,C
0202-2016,C
0175-2013,C
0074-2020,C
0159-2020,C
0051-2018,C
0050-2018,C
0001-2019,C
0059-2012,C
0179-2013,C
0161-2017,C
0112-2019,C
0156-2015,C
0022-2013,R
0026-2020,C
0280-2012,R
0377-2011,R
0131-2018,C
0153-2012,C
0116-2019,C
0006-2020,C
0061-2012,C
0165-2021,C
0152-2013,C
0010-2010,R
0341-2012,C
0027-2018,C
0001-2016,C
0003-2016,C
0132-2013,C
0161-2016,C
0123-2018,C
0194-2013,C
0151-2016,C
0429-2012,R
0373-2011,R
0287-2011,R
0374-2012,R
0087-2013,R
0350-2012,R
0285-2011,R
0400-2013,R
0351-2012,R
0078-2013,R
0331-2012,R
0401-2011,R
0192-2009,R
0049-2013,R
0397-2012,R
0189-2007,R
0375-2012,R
0388-2012,R
0355-2013,R
0003-2013,R
0310-2011,R
0313-2012,R
0332-2012,R
0342-2013,R
0045-2013,R
0243-2011,R
0259-2012,R
0166-2010,R
0167-2010,R
0380-2011,R
0001-2013,R
0483-2013,R
