"","nearest_10","include"
"1",970,TRUE
"2",1000,TRUE
"3",1010,TRUE
"4",1040,TRUE
"5",1060,TRUE
"6",1070,TRUE
"7",1080,TRUE
"8",1090,TRUE
"9",1100,TRUE
"10",1110,TRUE
"11",1120,TRUE
"12",1130,TRUE
"13",1140,TRUE
"14",1150,TRUE
"15",1160,TRUE
"16",1170,TRUE
"17",1180,TRUE
"18",1190,TRUE
"19",1200,TRUE
"20",1210,TRUE
"21",1220,TRUE
"22",1230,TRUE
"23",1240,TRUE
"24",1250,TRUE
"25",1260,TRUE
"26",1270,TRUE
"27",1280,TRUE
"28",1290,TRUE
"29",1300,TRUE
"30",1310,TRUE
"31",1320,TRUE
"32",1330,TRUE
"33",1340,TRUE
"34",1350,TRUE
"35",1360,TRUE
"36",1370,TRUE
"37",1380,TRUE
"38",1390,TRUE
"39",1400,TRUE
"40",1410,TRUE
"41",1420,TRUE
"42",1430,TRUE
"43",1440,TRUE
"44",0,TRUE
"45",10,TRUE
"46",20,TRUE
"47",30,TRUE
"48",40,TRUE
"49",50,TRUE
"50",60,TRUE
"51",70,TRUE
"52",80,TRUE
"53",90,TRUE
"54",100,TRUE
"55",110,TRUE
"56",120,TRUE
"57",130,TRUE
"58",140,TRUE
"59",150,TRUE
"60",160,TRUE
"61",170,TRUE
"62",180,TRUE
"63",190,TRUE
"64",200,TRUE
"65",210,TRUE
"66",220,TRUE
"67",230,TRUE
"68",240,TRUE
"69",250,TRUE
"70",260,TRUE
"71",270,TRUE
"72",280,TRUE
"73",290,TRUE
"74",300,TRUE
"75",310,TRUE
"76",320,TRUE
"77",330,TRUE
"78",340,TRUE
"79",350,TRUE
"80",360,TRUE
"81",370,TRUE
"82",380,TRUE
"83",390,TRUE
"84",400,TRUE
"85",410,TRUE
"86",420,TRUE
"87",440,TRUE
"88",460,TRUE
"89",470,TRUE
"90",620,TRUE
"91",630,TRUE
"92",640,TRUE
"93",650,TRUE
"94",660,TRUE
"95",670,TRUE
"96",680,TRUE
"97",690,TRUE
"98",700,TRUE
"99",710,TRUE
"100",760,TRUE
"101",770,TRUE
"102",780,TRUE
"103",790,TRUE
"104",800,TRUE
"105",840,TRUE
"106",850,TRUE
"107",860,TRUE
"108",870,TRUE
"109",910,TRUE
"110",920,TRUE
