geometry,Site,Type,distanceToRoad,latitude,longitude
POINT (-85.66185 10.337677),Pasture10,Pasture,9,10.337677,-85.66185
POINT (-85.396653 10.176849),Pasture11,Pasture,137,10.176849,-85.396653
POINT (-85.358152 10.144528),Pasture12,Pasture,152,10.144528,-85.358152
POINT (-85.24409 10.053013),Pasture13,Pasture,36,10.053013,-85.24409
POINT (-85.250538 10.037295),Pasture14,Pasture,164,10.037295,-85.250538
POINT (-85.240204 10.045399),Pasture15,Pasture,73,10.045399,-85.240204
POINT (-85.607955 10.400919),Pasture16,Pasture,349,10.400919,-85.607955
POINT (-85.603231 10.39388),Pasture17,Pasture,520,10.39388,-85.603231
POINT (-85.566773 10.342164),Pasture18,Pasture,258,10.342164,-85.566773
POINT (-85.57586 10.323734),Pasture19,Pasture,169,10.323734,-85.57586
POINT (-85.457174 10.090074),Pasture2,Pasture,114,10.090074,-85.457174
POINT (-85.5794 10.315655),Pasture20,Pasture,229,10.315655,-85.5794
POINT (-84.985257 9.764995),Pasture3,Pasture,183,9.764995,-84.985257
POINT (-84.9158 9.804164),Pasture4,Pasture,726,9.804164,-84.9158
POINT (-84.941979 9.781169),Pasture5,Pasture,302,9.781169,-84.941979
POINT (-85.680419 10.339856),Pasture6,Pasture,130,10.339856,-85.680419
POINT (-85.663378 10.348789),Pasture7,Pasture,0,10.348789,-85.663378
POINT (-85.653687 10.351177),Pasture8,Pasture,9,10.351177,-85.653687
POINT (-85.651035 10.339296),Pasture9,Pasture,78,10.339296,-85.651035
POINT (-85.489432 9.956385),PSA0001-2013,Plantation,12,9.956385,-85.489432
POINT (-85.409103 10.379425),PSA0001-2019,Natural_Regeneration,92,10.379425,-85.409103
POINT (-85.253998 10.04629),PSA0003-2013,Plantation,149,10.04629,-85.253998
POINT (-85.07248 9.867775),PSA0003-2016,Natural_Regeneration,25,9.867775,-85.07248
POINT (-84.926071 9.799708),PSA0004-2017,Natural_Regeneration,528,9.799708,-84.926071
