Site,MicType,Type,Latitude,Longitude
Pasture10,Gen1.1,Pasture,10.337677,-85.66185
Pasture11,Gen1.1,Pasture,10.176849,-85.396653
Pasture12,Gen1.1,Pasture,10.144528,-85.358152
Pasture13,Gen1.2,Pasture,10.053013,-85.24409
Pasture14,Gen1.1,Pasture,10.037295,-85.250538
Pasture15,Gen1.2,Pasture,10.045399,-85.240204
Pasture16,Gen1.1,Pasture,10.400919,-85.607955
Pasture17,Gen1.1,Pasture,10.39388,-85.603231
Pasture18,Gen1.1,Pasture,10.342164,-85.566773
Pasture19,Gen1.1,Pasture,10.323734,-85.57586
Pasture2,Gen1.2,Pasture,10.090074,-85.457174
Pasture20,Gen1.2,Pasture,10.315655,-85.5794
Pasture3,Gen1.1,Pasture,9.764995,-84.985257
Pasture4,Gen1.2,Pasture,9.804164,-84.9158
Pasture5,Gen1.2,Pasture,9.781169,-84.941979
Pasture6,Gen1.1,Pasture,10.339856,-85.680419
Pasture7,Gen1.1,Pasture,10.348789,-85.663378
Pasture8,Gen1.2,Pasture,10.351177,-85.653687
Pasture9,Gen1.2,Pasture,10.339296,-85.651035
PSA0001-2013,Gen1.1,Plantation,9.956385,-85.489432
PSA0001-2019,Gen1.2,Natural_Regeneration,10.379425,-85.409103
PSA0003-2013,Gen1.1,Plantation,10.04629,-85.253998
PSA0003-2016,Gen1.1,Natural_Regeneration,9.867775,-85.07248
PSA0004-2017,Gen1.1,Natural_Regeneration,9.799708,-84.926071
PSA0006-2020,Gen1.1,Natural_Regeneration,9.866769,-84.985991
PSA0009-2018,Gen1.2,Natural_Regeneration,9.775404,-84.973242
PSA0010-2010,Gen1.1,Plantation,9.862926,-84.951467
PSA0019-2015,Gen1.2,Plantation,9.779873,-85.242605
PSA0022-2013,Gen1.2,Plantation,9.998987,-85.378776
PSA0022-2015,Gen1.2,Plantation,9.781293,-85.198617
PSA0025-2015,Gen1.1,Plantation,9.747684,-85.227633
PSA0026-2020,Gen1.1,Natural_Regeneration,10.014405,-85.403351
PSA0027-2018,Gen1.2,Natural_Regeneration,9.908203,-84.961265
PSA0027-2020,Gen1.2,Natural_Regeneration,10.090037,-85.452717
PSA0033-2020,Gen1.2,Natural_Regeneration,10.087477,-85.447221
PSA0034-2013,Gen1.2,Plantation,10.045647,-85.461327
PSA0035-2017,Gen1.2,Natural_Regeneration,10.140004,-85.486832
PSA0042-2017,Gen1.1,Natural_Regeneration,10.126571,-85.469901
