Site,EarthEnvTopoMed_Slope
PSA0003-2016,11.120543
PSA0004-2017,6.3598995
PSA0006-2020,11.985277
PSA0026-2020,12.523174
PSA0042-2017,8.282835
PSA0059-2012,5.6245966
PSA0074-2020,24.478657
PSA0089-2016,12.153812
PSA0151-2016,2.0927377
PSA0159-2020,21.980461
PSA0161-2016,12.515257
PSA0165-2021,7.6380053
PSA0179-2013,1.4221253
PSA0183-2017,9.4636345
PSA0193-2013,8.656762
PSA0341-2012,6.418464
PSA0418-2013,10.42083
PSA0431-2013,5.157921
Pasture10,1.1080897
Pasture11,2.313816
Pasture12,1.2561057
Pasture14,1.0468774
Pasture16,7.0047746
Pasture17,0.641328
Pasture18,0.39914632
Pasture19,0.821193
Pasture3,5.52778
Pasture6,5.928684
Pasture7,0.9039712
PSA0001-2013,11.653282
PSA0003-2013,0.7121719
PSA0010-2010,4.435197
PSA0025-2015,0.7916238
PSA0045-2013,5.306849
PSA0078-2013,1.2745504
PSA0087-2013,1.7463756
PSA0093-2010,1.6305394
PSA0095-2013,2.276651
PSA0167-2010,3.6693478
PSA0189-2007,4.808727
PSA0192-2009,10.142193
PSA0259-2012,4.081753
PSA0280-2012,5.6557984
PSA0285-2011,6.6152625
PSA0289-2012,3.3097491
PSA0290-2012,5.7269855
PSA0331-2012,8.077938
PSA0332-2012,10.678228
PSA0342-2013,6.9078755
PSA0374-2012,2.5168657
PSA0380-2011,3.1118183
PSA0400-2013,3.8963795
PSA0429-2012,0.8363495
PSA0483-2013,11.2481785
RefForest8.1,5.306849
PSA0001-2019,0.8383992
PSA0009-2018,10.547546
PSA0027-2018,9.444889
PSA0027-2020,2.680209
PSA0033-2020,4.4257927
PSA0035-2017,6.4143157
PSA0051-2018,0.3014317
PSA0061-2012,7.6380053
PSA0093-2018,6.1320624
PSA0099-2019,9.940644
PSA0116-2019,6.9133697
PSA0123-2018,5.1991606
PSA0131-2018,9.858407
PSA0132-2013,7.902074
PSA0135-2020,7.548996
PSA0152-2013,6.722061
PSA0166-2016,6.3312426
PSA0168-2016,9.4636345
PSA0170-2016,3.7712379
PSA0175-2013,13.07531
PSA0229-2012,12.741041
Pasture13,4.24195
Pasture15,0.36327264
Pasture2,2.680209
Pasture20,0.55931425
Pasture4,7.4196553
Pasture5,5.551737
Pasture8,4.8071136
Pasture9,0.4383019
PSA0019-2015,7.239104
PSA0022-2013,4.45487
PSA0022-2015,7.0162916
PSA0034-2013,5.2377234
PSA0049-2013,4.8791027
PSA0077-2013,9.76119
PSA0094-2013,0.9883902
PSA0096-2013,2.6037774
PSA0099-2013,2.6848164
PSA0254-2011,4.0537815
PSA0292-2012,4.2814994
PSA0310-2011,3.4815302
PSA0313-2012,4.4294744
PSA0350-2012,13.858962
PSA0351-2012,8.839483
PSA0373-2011,8.726723
PSA0377-2011,1.1590554
PSA0401-2011,3.8496737
RefForest1,10.777237
RefForest10,11.517035
RefForest11,0.5695957
RefForest12,4.968528
RefForest13,10.225211
RefForest14,10.319986
RefForest15,1.1461627
RefForest16,1.7226958
RefForest17,1.2882998
RefForest18,1.7469962
RefForest19,0.9609572
RefForest4,1.6677189
RefForest5,10.652999
RefForest6,12.826527
RefForest7,6.010303
RefForest8.2,10.953546
RefForest9,17.02423
