nearest_10,distance_nat,distance_ref,distance_plant,closest_type,freq_category
0,28290.552516291,13420.7661458211,52339.9988061811,Reference_Forest,0-1 kHz
10,25460.3058714046,29983.7622815321,54536.3943052863,Natural_Regeneration,0-1 kHz
20,11593.1348966134,21926.4521093652,65913.4917144511,Natural_Regeneration,0-1 kHz
30,13215.4701720327,24759.924749523,63089.7112657691,Natural_Regeneration,0-1 kHz
40,13888.5659183627,29930.9166818673,64274.8832223752,Natural_Regeneration,0-1 kHz
50,14719.3031467714,15569.9852959677,73635.3923158925,Natural_Regeneration,0-1 kHz
60,16490.1543539435,29241.6240254685,57536.266955017,Natural_Regeneration,0-1 kHz
70,20563.1944073075,26505.0050082012,40198.6358571389,Natural_Regeneration,0-1 kHz
80,23766.5127183166,24557.8854737582,43191.9158816566,Natural_Regeneration,0-1 kHz
90,37449.5611871247,38002.8343379514,44730.1423715399,Natural_Regeneration,0-1 kHz
100,35712.1388813023,46470.0489000915,52980.5747764674,Natural_Regeneration,0-1 kHz
110,40181.0503297663,37500.6808761246,59721.422532045,Reference_Forest,0-1 kHz
120,28615.9391807181,29548.2968599759,80150.4913907513,Natural_Regeneration,0-1 kHz
130,25607.592812239,31141.3382305727,66913.0409856121,Natural_Regeneration,0-1 kHz
140,23029.767518168,32413.7357183046,69134.0117123534,Natural_Regeneration,0-1 kHz
150,18513.7681614328,27885.9832525122,66112.0108819812,Natural_Regeneration,0-1 kHz
160,24480.1862389598,37185.3877139452,66206.87441145,Natural_Regeneration,0-1 kHz
170,26789.8055412667,46347.1788061459,62739.4551841941,Natural_Regeneration,0-1 kHz
180,19888.1473592964,54715.8277319393,65661.9568454966,Natural_Regeneration,0-1 kHz
190,16870.0177079432,36447.715171878,64980.2148395544,Natural_Regeneration,0-1 kHz
200,15752.7460568415,52273.3354242208,54707.351792246,Natural_Regeneration,0-1 kHz
210,15483.3953072147,40715.3930644318,41857.6508541774,Natural_Regeneration,0-1 kHz
220,19063.1786495814,41346.682339865,36094.7193324761,Natural_Regeneration,0-1 kHz
230,23426.162434439,59387.4938117531,33611.7521693271,Natural_Regeneration,0-1 kHz
240,18546.3598486782,49071.6032372605,36591.2560161287,Natural_Regeneration,0-1 kHz
250,41816.8806725053,44827.4692997315,43989.4056299607,Natural_Regeneration,0-1 kHz
260,27187.7743145593,51871.9999524523,49525.8479570041,Natural_Regeneration,0-1 kHz
270,20253.9207926428,47427.0188585807,35955.8109839901,Natural_Regeneration,0-1 kHz
280,25814.7886471302,32712.5559526203,43906.5931929963,Natural_Regeneration,0-1 kHz
290,84639.7348332839,51207.4859109485,86402.8528594728,Reference_Forest,0-1 kHz
300,76169.2232224452,49814.9114301367,91294.3525896083,Reference_Forest,0-1 kHz
310,92013.2380703423,60970.5294376975,84495.8078732954,Reference_Forest,0-1 kHz
320,64767.1670781942,47483.8150141419,56474.9719107249,Reference_Forest,0-1 kHz
330,39695.1586027523,71329.6332639599,25302.3272110047,Plantation,0-1 kHz
340,17313.1475742748,45593.8670371443,27125.3957607574,Natural_Regeneration,0-1 kHz
350,24780.0286093652,29116.922145873,33892.5391232783,Natural_Regeneration,0-1 kHz
360,30737.0602388988,20301.3010763392,39069.7457749616,Reference_Forest,0-1 kHz
370,50817.6514601604,27838.5408343377,50457.2834786396,Reference_Forest,0-1 kHz
380,42318.4825946257,47675.4462621928,35843.686354678,Plantation,0-1 kHz
390,28676.4009968789,50402.6412127989,25389.7482531421,Plantation,0-1 kHz
400,34352.3674527506,69131.4465187839,40391.8032512463,Natural_Regeneration,0-1 kHz
410,33992.5286989903,34649.9426004509,37875.4439204766,Natural_Regeneration,0-1 kHz
420,53653.22111774,36472.5194391102,57451.8114309505,Reference_Forest,0-1 kHz
430,59190.999674522,45933.6116071137,73385.2661832458,Reference_Forest,0-1 kHz
440,45256.3161005314,64643.7470361955,48597.8251870105,Natural_Regeneration,0-1 kHz
450,57394.0414072937,48501.9197402948,58033.8214175645,Reference_Forest,0-1 kHz
460,91026.3671876576,62436.0314399415,94523.3980291263,Reference_Forest,0-1 kHz
470,91734.7816145141,60525.9251312422,81557.8256940293,Reference_Forest,0-1 kHz
480,106721.224200284,52737.2719900913,90776.0232482005,Reference_Forest,0-1 kHz
490,122231.134730648,68799.2820691569,105531.827263581,Reference_Forest,0-1 kHz
500,126051.642640794,74405.3290949456,100696.076108556,Reference_Forest,0-1 kHz
510,150351.952812783,104321.720418357,137694.653422686,Reference_Forest,0-1 kHz
520,165288.57134743,106712.289896151,131168.32761152,Reference_Forest,0-1 kHz
530,167905.935257006,86090.0590729037,137448.072927514,Reference_Forest,0-1 kHz
540,150419.808495171,76180.7124534015,111833.738044226,Reference_Forest,0-1 kHz
550,174611.378787694,127909.93143536,143602.829429935,Reference_Forest,0-1 kHz
560,164448.240916198,100524.223194273,134889.953601463,Reference_Forest,0-1 kHz
570,174768.955496318,111230.940476553,157928.024977635,Reference_Forest,0-1 kHz
580,182308.509031627,108363.479930158,164142.279913412,Reference_Forest,0-1 kHz
590,189271.674541248,122759.235559494,167158.987939708,Reference_Forest,0-1 kHz
600,203012.490839985,130887.59441583,172951.100870496,Reference_Forest,0-1 kHz
