nearest_10,distance_nat,distance_past,distance_plant,closest_type,freq_category
0,36747.091431288,13420.7661458211,52784.3837277855,Pasture,0-1 kHz
10,40359.4635273502,29983.7622815321,52781.5206932494,Pasture,0-1 kHz
20,25573.6075782131,21926.4521093652,62390.851887628,Pasture,0-1 kHz
30,27713.3644253744,24759.924749523,56369.1479298204,Pasture,0-1 kHz
40,33696.7307054116,29930.9166818673,61601.0942624611,Pasture,0-1 kHz
50,22211.7918965473,15569.9852959677,70566.2777704211,Pasture,0-1 kHz
60,28247.678189162,29241.6240254685,63632.5372774396,Natural_Regeneration,0-1 kHz
70,20890.3737272279,26505.0050082012,52350.9613073901,Natural_Regeneration,0-1 kHz
80,21306.732306912,24557.8854737582,53949.1251801124,Natural_Regeneration,0-1 kHz
90,27082.7175152585,38002.8343379514,73422.3026937585,Natural_Regeneration,0-1 kHz
100,23720.1791519619,46470.0489000915,81705.377746284,Natural_Regeneration,0-1 kHz
110,27969.7184452873,37500.6808761246,95836.8139484957,Natural_Regeneration,0-1 kHz
120,36555.7044258427,29548.2968599759,77261.2326537208,Pasture,0-1 kHz
130,26022.613329355,31141.3382305727,75574.5307211315,Natural_Regeneration,0-1 kHz
140,23896.9083768511,32413.7357183046,90772.5397694193,Natural_Regeneration,0-1 kHz
150,35448.4324239784,27885.9832525122,72696.8771959819,Pasture,0-1 kHz
160,33496.2975849683,37185.3877139452,66056.3179240948,Natural_Regeneration,0-1 kHz
170,40615.0190674188,46347.1788061459,64807.0954162838,Natural_Regeneration,0-1 kHz
180,48560.5052529165,54715.8277319393,58107.368334293,Natural_Regeneration,0-1 kHz
190,32764.0082665892,36447.715171878,64295.6698833888,Natural_Regeneration,0-1 kHz
200,44635.3504084424,52273.3354242208,56836.9412925549,Natural_Regeneration,0-1 kHz
210,38588.8828347195,40715.3930644318,57988.4947137644,Natural_Regeneration,0-1 kHz
220,46297.8553929037,41346.682339865,55584.1603654837,Pasture,0-1 kHz
230,67461.5684322606,59387.4938117531,68632.2330157711,Pasture,0-1 kHz
240,59160.8955914857,49071.6032372605,69843.6518359871,Pasture,0-1 kHz
250,63240.4556573063,44827.4692997315,76741.7708187035,Pasture,0-1 kHz
260,75053.9375928747,51871.9999524523,92800.9885143215,Pasture,0-1 kHz
270,61104.3358590585,47427.0188585807,75091.7664899402,Pasture,0-1 kHz
280,42475.8599091509,32712.5559526203,69539.3511103548,Pasture,0-1 kHz
290,104301.367103748,51207.4859109485,113000.707100952,Pasture,0-1 kHz
300,124061.352399766,49814.9114301367,138815.112575597,Pasture,0-1 kHz
310,96416.4337707291,60970.5294376975,94104.4742797208,Pasture,0-1 kHz
320,82515.4916709423,47483.8150141419,78680.010766779,Pasture,0-1 kHz
330,52659.5077908243,71329.6332639599,72337.2070003278,Natural_Regeneration,0-1 kHz
340,44499.7855633859,45593.8670371443,57772.6769138955,Natural_Regeneration,0-1 kHz
350,33201.5073806005,29116.922145873,33400.1577959138,Pasture,0-1 kHz
360,29531.3713114644,20301.3010763392,40541.6771783187,Pasture,0-1 kHz
370,31492.6926255878,27838.5408343377,35798.135761488,Pasture,0-1 kHz
380,29512.6090488593,47675.4462621928,42534.446161393,Natural_Regeneration,0-1 kHz
390,30031.0615322071,50402.6412127989,45245.4620989158,Natural_Regeneration,0-1 kHz
400,50901.2828133473,69131.4465187839,63008.0823928835,Natural_Regeneration,0-1 kHz
410,34318.2301363178,34649.9426004509,47899.0275970056,Natural_Regeneration,0-1 kHz
420,30801.7851174426,36472.5194391102,40997.1009644297,Natural_Regeneration,0-1 kHz
430,36852.7831283717,45933.6116071137,50175.2926323744,Natural_Regeneration,0-1 kHz
440,59691.3640083006,64643.7470361955,60021.3047465348,Natural_Regeneration,0-1 kHz
450,71711.413645494,48501.9197402948,70255.2819744605,Pasture,0-1 kHz
460,54986.4254660902,62436.0314399415,54757.1072275808,Plantation,0-1 kHz
470,57550.0527246756,60525.9251312422,48229.4112284156,Plantation,0-1 kHz
480,61620.3529915597,52737.2719900913,46697.1574453634,Plantation,0-1 kHz
490,53431.8526614908,68799.2820691569,37452.7101296614,Plantation,0-1 kHz
500,52723.4678756952,74405.3290949456,31965.590974755,Plantation,0-1 kHz
510,48584.2708892447,104321.720418357,41356.4033917805,Plantation,0-1 kHz
520,62610.0854401811,106712.289896151,29101.28842895,Plantation,0-1 kHz
530,81815.8761841022,86090.0590729037,58210.2861301962,Plantation,0-1 kHz
540,74282.4993371275,76180.7124534015,40979.0733090612,Plantation,0-1 kHz
550,52288.8622239913,127909.93143536,29819.8556518984,Plantation,0-1 kHz
560,63945.8379039238,100524.223194273,38128.3898489029,Plantation,0-1 kHz
570,63538.0150197652,111230.940476553,47523.4466948743,Plantation,0-1 kHz
580,73945.0291014691,108363.479930158,55786.8767474492,Plantation,0-1 kHz
590,67055.8065346246,122759.235559494,49091.0744689186,Plantation,0-1 kHz
600,72124.8964241551,130887.59441583,43895.0848338415,Plantation,0-1 kHz
610,70951.3197969562,134835.290065497,43516.5191224092,Plantation,0-1 kHz
620,70596.403451937,151791.041180719,46349.6676053533,Plantation,0-1 kHz
630,84264.9964883059,174322.520866962,60168.0835084188,Plantation,0-1 kHz
640,41885.592417778,185137.313812807,39825.8640957261,Plantation,0-1 kHz
650,50894.9520802989,177468.538506938,37590.4507922267,Plantation,0-1 kHz
660,52651.6327585905,167296.945660674,51726.8641605038,Plantation,0-1 kHz
670,54006.9967526608,197522.475488844,44541.6984397,Plantation,0-1 kHz
680,69939.6441699765,198408.384005726,55039.9843920619,Plantation,0-1 kHz
690,58080.7992206305,203808.193802171,43526.110113384,Plantation,0-1 kHz
700,80630.835111752,170245.283445803,61194.1476385409,Plantation,0-1 kHz
710,62633.2223850244,219947.401881193,53537.9112319975,Plantation,0-1 kHz
720,63875.366608933,167323.380225438,37746.0823951595,Plantation,0-1 kHz
730,57134.6502347365,188378.641141455,37603.4172834881,Plantation,0-1 kHz
740,53134.4372426323,177605.843988491,43833.4227362167,Plantation,0-1 kHz
750,41167.6531757081,182964.578199027,39208.2975584956,Plantation,0-1 kHz
760,70675.9705710184,178281.61360705,44138.4279177119,Plantation,0-1 kHz
770,48284.5111282747,211027.706844851,32923.67351663,Plantation,0-1 kHz
780,36001.7360743806,169339.139377851,30881.0339616211,Plantation,0-1 kHz
790,49825.0009214632,174249.240923902,28763.9762916881,Plantation,0-1 kHz
800,38129.5427517795,199511.154923265,30997.1339845153,Plantation,0-1 kHz
810,44828.205184936,173045.087279596,20598.0061291943,Plantation,0-1 kHz
820,28698.048446257,183280.183693107,18734.6363656705,Plantation,0-1 kHz
830,23798.9894871461,182977.970200527,27706.1082288667,Natural_Regeneration,0-1 kHz
840,35794.0628695168,181185.432646523,24222.8659421582,Plantation,0-1 kHz
850,34610.2118757214,189314.203060551,22086.0594391299,Plantation,0-1 kHz
860,46214.129390976,187484.941689931,16689.8537527459,Plantation,0-1 kHz
870,41783.0880018524,184038.491407958,15350.6098668899,Plantation,0-1 kHz
880,30864.6065542834,180204.228522635,29654.012841741,Plantation,0-1 kHz
890,36072.6468520984,182359.747546911,28632.0805244407,Plantation,0-1 kHz
900,45763.9860955888,140651.209890722,27798.3024776862,Plantation,0-1 kHz
910,36581.9953906165,147255.339195197,39965.1526337562,Natural_Regeneration,0-1 kHz
920,20508.8367647026,152458.79495172,29245.8786812736,Natural_Regeneration,0-1 kHz
930,24666.285513128,142329.385058928,32380.6346440747,Natural_Regeneration,0-1 kHz
940,45581.7535347406,171954.016790822,35099.1089772881,Plantation,0-1 kHz
950,71670.2662960267,162965.92785472,36969.710611203,Plantation,0-1 kHz
960,76566.5090967712,129740.622581115,41982.3434406883,Plantation,0-1 kHz
970,73541.4232051549,152864.116978951,44720.3686253818,Plantation,0-1 kHz
980,85726.7488036906,127524.668371423,51620.8450395165,Plantation,0-1 kHz
990,106577.18950497,79912.8753972044,64623.0117726993,Plantation,0-1 kHz
1000,94172.2013050049,79389.2733703751,56992.2948478968,Plantation,0-1 kHz
1010,78906.4228133103,70665.6289089727,42707.7369555846,Plantation,0-1 kHz
1020,52641.5338240101,86134.823513242,20025.4137088612,Plantation,0-1 kHz
1030,46029.3715669298,77759.5734316387,23783.9947821071,Plantation,0-1 kHz
1040,42313.3472620592,90350.5143304348,29266.5544142492,Plantation,0-1 kHz
1050,29084.6951753897,109297.052988706,48729.812799203,Natural_Regeneration,0-1 kHz
1060,27546.4698158744,87417.8673101685,44100.6492997244,Natural_Regeneration,0-1 kHz
1070,19573.8017449637,89145.051027484,46786.6537307114,Natural_Regeneration,0-1 kHz
1080,40199.4869247254,55178.2962606881,24297.7140977371,Plantation,0-1 kHz
1090,36157.0048402715,49770.2838613297,21874.0142025046,Plantation,0-1 kHz
1100,42093.1683108262,96302.0028443472,34529.9372398097,Plantation,0-1 kHz
1110,54223.9349096667,116163.251356309,53068.1050163602,Plantation,0-1 kHz
1120,35686.3068539359,115725.764938238,62326.9677763619,Natural_Regeneration,0-1 kHz
1130,26550.934032359,124434.67534121,59647.1767553367,Natural_Regeneration,0-1 kHz
1140,41792.6795397803,112700.746538876,36883.4420531221,Plantation,0-1 kHz
1150,29104.1146323493,98118.8678525536,46920.5356012519,Natural_Regeneration,0-1 kHz
1160,40812.1553279101,86239.290467627,34951.0503439081,Plantation,0-1 kHz
1170,35343.5281235304,89502.9360501855,46125.3777315597,Natural_Regeneration,0-1 kHz
1180,13848.9666139217,101991.305835727,72445.5389167867,Natural_Regeneration,0-1 kHz
1190,15829.189711219,107207.431796752,73245.0862153343,Natural_Regeneration,0-1 kHz
1200,14820.0413313528,91012.1634548195,70945.2164642609,Natural_Regeneration,0-1 kHz
1210,18483.873657463,103744.46398713,69930.5994187679,Natural_Regeneration,0-1 kHz
1220,20498.7756596166,92096.9191426788,58260.4842588805,Natural_Regeneration,0-1 kHz
1230,11949.392831266,100671.24556576,75651.8570877244,Natural_Regeneration,0-1 kHz
1240,20271.8091656737,82018.6819662335,63227.9294707762,Natural_Regeneration,0-1 kHz
1250,23419.6104090505,74486.0384682036,48789.778031482,Natural_Regeneration,0-1 kHz
1260,21365.7890312245,57047.7192151767,44370.2075641046,Natural_Regeneration,0-1 kHz
