nearest_10,distance_nat,distance_past,distance_plant,closest_type
0,219599.446213942,60091.0979058021,234023.953817806,Pasture
10,433626.330394258,99003.3265508394,449891.316221965,Pasture
20,588930.69162402,178342.066634424,611850.15393225,Pasture
30,462529.501774757,137586.180965047,466630.824226294,Pasture
40,548716.509962158,208255.275483607,540236.694615423,Pasture
50,407256.345101863,174958.105613967,427643.561755195,Pasture
60,447782.562664259,151475.069002455,513025.403985737,Pasture
70,391345.665609269,196724.326666079,432343.928555355,Pasture
80,458209.86672146,136774.30724366,552702.406902447,Pasture
90,414432.236688845,104564.126004419,478023.442546505,Pasture
100,533567.311665894,241670.840461232,636547.001259998,Pasture
110,488563.866259293,211558.77999493,541704.824546235,Pasture
120,574164.594618566,235847.095168346,602746.023481419,Pasture
130,454094.635963737,233952.105359898,517300.510262322,Pasture
140,550684.08680271,262724.371716099,641549.239445145,Pasture
150,397696.793224958,167142.884030141,448006.874418901,Pasture
160,441282.313440726,189660.288968202,502774.589531838,Pasture
170,382481.551234797,157921.853947672,456191.965854677,Pasture
180,518883.489616131,226551.189144421,587185.602201942,Pasture
190,389706.447675712,142507.565555064,432936.048482317,Pasture
200,503861.612453461,185601.877158247,566120.366435933,Pasture
210,387810.628621887,151831.29822468,494442.645257614,Pasture
220,522041.035059198,237894.167511718,654964.071384543,Pasture
230,450398.61324153,215756.598161981,549805.180973757,Pasture
240,520488.707630585,259598.353519662,659183.119828508,Pasture
250,364873.992473765,115038.180854906,459783.673838201,Pasture
260,477324.524905375,207733.299362406,576439.930446559,Pasture
270,396865.876976022,189600.481852946,475697.28183791,Pasture
280,420557.785032973,201073.537812564,554416.766973731,Pasture
290,297861.632712827,68810.9733972391,393743.128826153,Pasture
300,237350.77278367,261687.359700688,440864.492804642,Natural_Regeneration
310,328374.737433937,911249.297043145,1033429.33335191,Natural_Regeneration
320,1712190.41427282,2768095.5251925,2314752.51257053,Natural_Regeneration
330,958283.675197023,1559856.55391019,1344094.37142245,Natural_Regeneration
340,987705.054801862,1596048.67471417,1382449.5500107,Natural_Regeneration
350,613626.110670955,1065801.93618597,926083.009398026,Natural_Regeneration
360,580671.737373463,1100129.16271631,981691.852425915,Natural_Regeneration
370,473376.915071732,1006326.10919811,876820.631906597,Natural_Regeneration
380,643850.482002707,1125554.49750605,1056942.51496466,Natural_Regeneration
390,592915.259506732,853429.209804298,864174.811112219,Natural_Regeneration
400,648889.885923407,1158878.199962,1084812.93067793,Natural_Regeneration
410,537438.900497667,856655.586587041,820147.926543375,Natural_Regeneration
420,498969.331048798,930430.265569245,924907.280168314,Natural_Regeneration
430,373637.418762799,642852.648846864,606781.79164465,Natural_Regeneration
440,564016.926418211,1057109.46615258,1013306.8559819,Natural_Regeneration
450,507772.570388219,829407.284168336,879373.033837543,Natural_Regeneration
460,382503.310795585,710317.555524455,701185.350534502,Natural_Regeneration
470,262418.424478948,564845.755521746,639701.450217675,Natural_Regeneration
480,255813.616638037,891595.153774035,826670.069263551,Natural_Regeneration
490,260953.642128727,807723.986431801,678213.80857491,Natural_Regeneration
500,335547.929038024,1023793.57039459,842030.022849336,Natural_Regeneration
510,283832.596916366,832028.167013895,728354.688814733,Natural_Regeneration
520,302377.168004153,1014811.02066766,867411.777606393,Natural_Regeneration
530,365389.817868148,783999.512392168,688691.093909678,Natural_Regeneration
540,482780.797874225,1017385.21301121,864219.101515786,Natural_Regeneration
550,342467.983291822,624604.941621035,687727.646319637,Natural_Regeneration
560,372006.571868179,695897.668591958,787130.107776746,Natural_Regeneration
570,380400.917129313,908069.863765476,783597.55933458,Natural_Regeneration
580,516046.757555159,1082977.4339209,961241.926578482,Natural_Regeneration
590,365479.962965664,750679.745628878,717579.184711557,Natural_Regeneration
600,394906.255373475,854030.420502529,845668.246190902,Natural_Regeneration
610,312961.048798744,740039.511961518,673185.388444787,Natural_Regeneration
620,525930.531727444,974380.568858626,890964.059165223,Natural_Regeneration
630,453200.551475341,514204.025885576,736328.769828477,Natural_Regeneration
640,344685.056684011,599342.889402722,809974.098281433,Natural_Regeneration
650,255431.605931682,370857.784505716,577197.840884265,Natural_Regeneration
660,286518.777815367,568239.805939812,741257.468219108,Natural_Regeneration
670,394998.20403222,410307.363752976,687375.533537311,Natural_Regeneration
680,507364.698771958,533429.891855972,826913.034464491,Natural_Regeneration
690,335346.230376872,456034.024947639,538835.538633542,Natural_Regeneration
700,347559.213718038,360323.284537227,810758.01638891,Natural_Regeneration
710,340552.830569058,346436.581569964,574882.254906421,Natural_Regeneration
720,302261.794699988,512012.490064582,628660.612478787,Natural_Regeneration
730,207105.464297016,423858.242956792,461748.561963723,Natural_Regeneration
740,141997.287852674,290303.640880525,457694.15549376,Natural_Regeneration
750,268816.99770009,386359.876152202,525005.318590931,Natural_Regeneration
760,422863.625025623,472094.336105538,789604.559200321,Natural_Regeneration
770,308695.407644389,308227.465097108,564426.952938758,Pasture
780,433902.306690468,439971.352824072,696493.569750377,Natural_Regeneration
790,332798.966251077,260240.102996154,589711.935259376,Pasture
800,308523.828832095,320599.888383038,676555.771637645,Natural_Regeneration
810,280668.131947293,254613.532892543,524732.225185221,Pasture
820,360767.124108273,356320.614854573,704782.89065153,Pasture
830,172050.912030276,157057.575676062,452814.302512663,Pasture
840,272814.609724522,162760.953847369,599582.99285359,Pasture
850,317252.943842703,155469.227791727,568192.473937166,Pasture
860,411015.806967722,181777.32163451,496674.733320046,Pasture
870,356952.808908486,172680.408434528,509275.805899171,Pasture
880,539580.410323035,211215.235447185,821798.11705685,Pasture
890,388781.99428906,227349.66474015,722261.183742447,Pasture
900,481497.632843209,360216.398368046,855856.974455668,Pasture
910,284305.63171176,211462.345094044,707166.328478714,Pasture
920,455917.904151051,321436.465262086,926748.174474898,Pasture
930,297911.67244505,201794.831420476,498639.078304211,Pasture
940,299899.668921787,213852.304157496,653360.244598995,Pasture
950,234635.182201859,191325.075689618,531905.896879216,Pasture
960,359619.990099452,246652.720561157,659382.425990367,Pasture
970,256492.292042877,169675.679748397,427866.840194996,Pasture
980,348581.509185471,147125.025637712,621601.721009076,Pasture
990,354675.97787393,249684.777976794,527380.856493186,Pasture
1000,376099.059303509,138238.387389155,531940.515782039,Pasture
1010,368015.234716239,150853.272707324,576381.210754893,Pasture
1020,361185.265957722,131066.454778411,530792.651151554,Pasture
1030,190474.855670235,158513.138331544,326314.967473968,Pasture
1040,279669.090314714,376765.014886071,434315.516334383,Natural_Regeneration
