Site,Type,Ann_Precip,EVI,Elevation,Human.footprint,AvgCanopyHeight,nearest_10,MeanPMN,MeanNoise,Level
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,940,1031160.83931241,-12882.1953613082,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,950,1048531.25993396,-12907.9090394614,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,960,1009874.33321975,-12734.6238481793,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,970,1034993.32639951,-12770.9985455349,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,980,1051013.94578687,-12828.4292000346,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,990,1009398.20235993,-12517.008636426,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1000,1071123.02555973,-12546.2485698031,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1010,1052311.03472395,-12616.1540069616,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1020,1008902.51457957,-12468.7179726697,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1030,1044855.01457099,-12141.9119592323,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1040,1009157.23481394,-12140.541778022,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1050,989945.406970319,-11857.1101070979,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1060,980211.28954236,-11865.9701957339,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1070,1011895.05423679,-11681.9795071898,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1080,987766.313581693,-11525.2019472572,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1090,961306.878933453,-11346.3162983245,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1100,1028868.91533586,-11787.570344674,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1110,1170612.20558677,-12138.8943313337,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1120,1301976.67735385,-12072.1540998688,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1130,1393516.53481572,-11743.9450922574,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1140,1385899.62133276,-11250.1009111883,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1150,1397665.00682202,-11101.9196606306,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1160,1361449.67824555,-11132.4881882354,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1170,1431562.97754541,-11018.637393827,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1180,1361343.04618072,-10821.3118027535,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1190,1385479.33216423,-10859.5485239687,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1200,1352376.13824294,-10827.8668627098,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1210,1402698.90607479,-10804.8183897945,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1220,1365641.42300454,-10820.6397289969,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1230,1280456.36732752,-10747.0115310689,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1240,1205983.54302798,-10648.9998404398,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1250,1261410.68624709,-10694.8505598908,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1260,1236518.87757312,-10554.001934096,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1270,1154244.46988,-10427.3594911735,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1280,1200444.94003128,-10422.7562898492,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1290,1156917.15016209,-10241.7871703622,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1300,1197577.51108091,-10370.8216389159,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1310,1214960.33803929,-10400.1371142577,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1320,1122689.40729878,-10124.9438557476,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1330,1108210.44177864,-10173.9204048586,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1340,1087068.64760987,-10226.3197962299,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1350,1102465.66714705,-10364.4066572685,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1360,1164716.92794513,-10413.1184681793,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1370,1094225.28173543,-10388.0949599423,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1380,1013020.97415656,-10403.6712733339,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1390,1088778.29925612,-10525.2779852346,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1400,1010724.9785304,-10171.4389501369,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1410,1035607.35434348,-10094.4632799513,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1420,1076003.18911006,-9940.67698861064,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1430,1027874.46341434,-9711.3761436806,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,1440,1042427.24454032,-9669.48376951321,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,0,1089060.29406344,-9873.29381013473,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,10,1045227.57150534,-9808.04454966849,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,20,945608.255939405,-9660.09222880199,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,30,1009026.91958629,-9833.03191988735,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,40,982254.504197241,-9768.14079413391,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,50,994456.628885405,-9717.27141812207,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,60,1020562.4404246,-9785.77202104585,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,70,1003713.15862231,-9936.87503484304,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,80,968141.007435679,-9922.30567700007,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,90,1009006.8133089,-10023.6591654591,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,100,952931.683348648,-10065.0462409024,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,110,956649.863598849,-10026.7345365626,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,120,952441.660108147,-9854.30375761156,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,130,906299.686510596,-9931.76521685926,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,140,895911.26052492,-9956.21127484234,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,150,929430.796329206,-9909.70713467516,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,160,951483.921627242,-10016.2579902038,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,170,1006579.17354865,-10107.9667188573,High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,180,958725.526207797,-9911.22886796399,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,190,965336.249799837,-9903.25264613984,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,200,946803.826553349,-9999.5595776996,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,210,965463.31474384,-9908.37314901977,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,220,987824.505311395,-10064.1978889671,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,230,928064.392554577,-10040.0857743562,Medium High
Pasture6,Pasture,-1.58639081745666,-0.247215764998114,-0.58783052915362,0.0981288477068043,-1.32068513282705,240,911270.375251212,-10126.4611591554,Medium High
